0,,,,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time
ss,,,,1,2,3,4,5,6,7,8,9,10,11,12,13
No.,Crew,Group,Race,,,,,,,,,,,,,
1,Paddon  Ha,RC2,Roma Capitale,00:00:59.0,00:06:39.7,00:19:38.2,00:04:20.3,00:06:39.8,00:19:51.8,00:04:19.1,00:03:43.4,00:04:26.0,00:17:21.2,00:04:25.6,00:17:21.6,00:03:43.3
2,Llarena  E,RC2,Roma Capitale,00:01:00.8,00:06:41.4,00:19:46.2,00:04:22.5,00:06:41.1,00:19:45.7,00:04:21.3,00:03:43.4,00:04:29.0,00:17:42.3,00:04:30.9,00:17:39.5,00:03:45.6
3,Mabellini ,RC2,Roma Capitale,00:00:58.1,00:06:40.4,00:19:47.6,00:04:20.3,00:06:39.6,00:19:42.6,00:04:19.8,00:03:43.9,00:04:30.0,00:17:33.6,00:04:27.1,00:20:24.9,00:03:41.4
4,Lukyanuk  ,RC2,Roma Capitale,00:00:57.5,00:06:41.0,00:19:44.6,00:04:18.7,00:11:40.4,00:19:42.9,00:04:17.2,00:03:49.7,00:04:32.4,00:21:55.9,00:04:29.8,00:17:29.1,00:03:43.1
5,Sesks  M. ,RC2,Roma Capitale,00:00:59.1,00:06:42.0,00:19:53.6,00:14:16.9,00:16:35.5,00:29:22.9,00:14:15.7,-,-,-,-,-,-
6,Franceschi,RC2,Roma Capitale,00:01:00.5,00:06:45.5,00:20:03.6,00:04:24.9,00:06:42.9,00:19:45.6,00:04:21.6,00:03:46.2,00:04:33.7,00:17:52.6,00:04:28.2,00:18:18.0,-
7,Heikkilä  ,RC2,Roma Capitale,00:01:02.6,00:06:47.8,00:19:55.6,00:04:22.5,00:06:43.2,00:19:48.3,00:04:22.2,00:03:45.9,00:04:30.9,-,-,-,-
8,Bonato  Yo,RC2,Roma Capitale,00:00:58.3,00:06:36.5,00:19:34.0,00:04:19.8,00:06:38.5,00:19:29.9,00:04:18.5,00:03:41.4,00:04:26.6,00:17:18.2,00:04:27.1,00:19:16.4,00:03:42.4
9,Mareš  Fil,RC2,Roma Capitale,00:00:59.2,00:06:42.9,00:19:50.2,00:04:18.7,00:06:39.4,00:19:38.2,00:04:17.6,00:03:43.7,00:04:31.4,00:17:38.4,00:04:27.6,00:19:52.2,00:03:42.8
10,Wagner  Si,RC2,Roma Capitale,00:01:00.0,00:06:44.2,00:19:59.5,00:04:24.4,00:06:44.9,00:19:50.9,00:04:21.8,00:03:45.5,00:04:30.2,00:17:35.0,00:04:28.6,00:17:30.6,00:03:45.8
11,Joona  Lau,RC2,Roma Capitale,00:01:00.4,00:06:43.7,00:20:12.7,00:04:22.4,00:06:47.4,00:20:00.9,00:04:21.4,00:03:47.5,00:04:34.2,00:18:04.8,00:04:32.6,00:20:48.7,00:03:45.3
12,Tempestini,RC2,Roma Capitale,00:01:02.1,00:06:45.0,00:20:04.3,00:04:24.4,00:06:44.5,00:19:56.3,00:04:21.4,00:03:48.9,00:04:36.3,00:17:42.1,00:04:30.5,00:21:23.6,00:03:46.7
14,Grzyb  Grz,RC2,Roma Capitale,00:01:01.9,00:06:41.6,00:19:58.6,00:04:21.3,00:06:41.4,00:19:52.3,00:04:20.3,00:03:44.4,00:04:32.5,00:17:40.7,00:04:29.5,00:17:40.7,00:03:43.4
15,Campedelli,RC2,Roma Capitale,00:00:58.8,00:06:40.4,00:19:52.0,00:04:20.7,00:06:37.9,00:19:39.2,00:04:18.5,00:03:44.4,00:04:29.3,00:17:29.3,00:04:23.8,00:20:37.7,00:03:43.0
16,Csomós  Mi,RC2,Roma Capitale,00:01:01.5,00:06:41.6,00:19:58.9,00:04:20.5,00:07:08.2,00:19:48.0,00:04:19.4,00:03:45.1,00:04:35.3,00:17:34.2,00:04:27.9,00:17:24.8,00:03:42.2
18,Battistoll,RC2,Roma Capitale,00:00:59.8,00:06:45.9,00:20:03.4,00:04:24.4,00:06:44.1,00:19:54.5,00:04:22.1,00:03:46.4,00:04:32.2,00:17:49.8,00:04:28.8,00:21:57.4,00:03:43.7
19,László  Ma,RC2,Roma Capitale,00:01:01.3,00:06:52.4,00:20:25.8,00:04:28.9,00:06:50.4,00:20:18.4,00:04:26.1,00:03:51.5,00:04:40.8,00:18:09.9,00:04:38.7,-,-
20,O'Brien  P,RC2,Roma Capitale,00:01:02.6,00:06:55.3,00:21:31.3,00:04:34.6,00:06:56.2,00:20:48.4,00:04:32.1,00:03:55.6,00:04:54.9,00:18:29.6,00:04:43.0,00:18:22.6,00:03:54.0
21,Basso  G. ,RC2,Roma Capitale,00:00:57.8,00:06:39.0,00:19:35.5,00:04:18.5,00:06:36.7,00:19:27.8,00:04:16.7,00:03:41.9,00:04:27.1,00:17:22.9,00:04:24.8,00:17:24.2,00:03:45.4
22,De Tommaso,RC2,Roma Capitale,00:10:57.2,-,-,-,-,-,-,-,-,-,-,-,-
23,Andolfi  F,RC2,Roma Capitale,00:00:58.3,00:06:45.0,00:20:09.6,00:04:53.0,00:06:41.3,00:19:46.9,00:04:20.6,00:03:45.1,00:04:31.1,00:17:25.7,00:04:27.8,-,-
24,Crugnola  ,RC2,Roma Capitale,00:00:57.2,00:06:35.0,00:19:28.6,00:04:16.9,00:06:35.5,00:19:22.9,00:04:15.7,00:03:41.8,00:04:26.7,00:17:17.7,00:04:25.7,00:17:26.2,00:03:45.3
25,Mazzocchi ,RC2,Roma Capitale,00:01:01.8,00:06:45.8,00:21:25.7,00:04:24.7,00:06:43.4,00:19:59.0,00:04:25.0,00:03:48.6,00:04:39.7,00:17:43.7,00:04:34.6,00:21:26.6,00:03:47.6
26,Rusce  Ant,RC2,Roma Capitale,00:01:02.0,00:06:50.9,00:20:30.1,00:04:28.1,00:06:50.9,00:24:42.4,00:04:27.0,00:03:50.5,00:04:40.5,00:18:23.3,00:04:37.8,00:18:17.8,00:03:51.3
27,von Thurn ,RC2,Roma Capitale,00:01:02.5,00:06:55.7,00:20:30.4,00:04:27.7,00:06:50.7,00:20:12.0,00:04:25.5,00:03:49.8,00:04:37.6,00:17:56.1,00:04:34.2,00:17:52.4,00:03:46.7
28,Scattolon ,RC2,Roma Capitale,00:00:59.3,00:06:50.6,00:20:06.7,00:04:24.1,00:06:45.9,00:20:00.8,00:04:23.3,00:03:45.5,00:04:35.1,-,-,-,-
29,Somaschini,RC2,Roma Capitale,00:01:04.4,00:07:03.2,00:21:07.4,00:04:36.7,00:07:05.7,00:21:24.5,00:04:38.3,00:03:55.4,00:05:01.1,00:18:46.5,00:04:55.5,00:18:49.4,00:03:53.3
30,Cuzma  Bog,RC2,Roma Capitale,00:01:06.0,00:07:20.7,00:21:49.3,00:04:42.3,00:07:09.5,00:21:27.7,00:04:43.2,00:03:56.7,00:04:52.8,00:18:50.6,00:04:49.6,00:18:57.6,00:03:57.0
31,Kołtun  J.,RC2,Roma Capitale,00:01:05.3,00:06:59.6,00:21:10.9,00:04:31.8,00:07:56.6,00:20:53.1,00:14:15.7,-,-,-,-,-,-
32,Armstrong ,RC3,Roma Capitale,00:01:00.5,00:07:01.8,00:20:39.5,00:04:32.1,00:06:59.3,00:20:25.8,00:04:30.9,00:03:54.7,00:04:38.3,00:18:12.3,00:04:37.6,00:18:13.8,00:03:53.5
