Pos.,No.,Driver / Co-driver Vehicle,Group,SS time,Aver. speed sec/km,Diff.Leader Diff.Prev.,ss
1,14,Csomós  Miklós  /  Bán  Viktor  Škoda Fabia Rally2 Evo,RC2,00:06:19.0,103.16 0.00,00:00:00.0 00:00:00.0,3
2,2,Østberg  Mads  /  Barth  Patrik  Citroën C3 Rally2,RC2,00:06:21.2,102.56 0.20,00:00:02.2 00:00:02.2,3
3,19,Ingram  Chris  /  Kihurani  A.  Volkswagen Polo Gti R5,RC2,00:06:21.3,102.53 0.21,00:00:02.3 00:00:00.1,3
4,11,Cais  Erik  /  Bacigál  Igor  Škoda Fabia RS Rally2,RC2,00:06:21.6,102.45 0.24,00:00:02.6 00:00:00.3,3
5,10,Wagner  Simon  /  Winter  Gerald  Škoda Fabia RS Rally2,RC2,00:06:21.7,102.43 0.25,00:00:02.7 00:00:00.1,3
6,18,Kopecký  Jan  /  Hloušek  Jan  Škoda Fabia RS Rally2,RC2,00:06:22.7,102.16 0.34,00:00:03.7 00:00:01.0,3
7,9,Mareš  Filip  /  Bucha  Radovan  Škoda Fabia Rally2 Evo,RC2,00:06:23.7,101.89 0.43,00:00:04.7 00:00:01.0,3
8,1,Paddon  Hayden  /  Kennard  John  Hyundai i20 N Rally2,RC2,00:06:23.9,101.84 0.45,00:00:04.9 00:00:00.2,3
9,76,Pech  Václav  /  Uhel  Petr  Ford Focus WRC,RN9,00:06:24.7,101.63 0.52,00:00:05.7 00:00:00.8,3
10,5,Lukyanuk  Alexey  /  Chervonenko  Y.  Škoda Fabia RS Rally2,RC2,00:06:25.5,101.42 0.60,00:00:06.5 00:00:00.8,3
11,3,Llarena  Efrén  /  Fernandez  Sara  Škoda Fabia R5,RC2,00:06:27.6,100.87 0.79,00:00:08.6 00:00:02.1,3
12,20,Stříteský  D.  /  Hovorka  Jiří  Škoda Fabia R5,RC2,00:06:27.8,100.81 0.81,00:00:08.8 00:00:00.2,3
13,21,Březík  Adam  /  Krajča  Ondřej  Škoda Fabia Rally2 Evo,RC2,00:06:28.1,100.74 0.84,00:00:09.1 00:00:00.3,3
14,7,Franceschi  M.  /  Malfoy  Andy  Škoda Fabia RS Rally2,RC2,00:06:29.3,100.43 0.95,00:00:10.3 00:00:01.2,3
15,12,McErlean  Joshua  /  Fulton  James  Hyundai i20 N Rally2,RC2,00:06:30.5,100.12 1.06,00:00:11.5 00:00:01.2,3
16,15,Tempestini  S.  /  Itu  Sergiu  Škoda Fabia Rally2 Evo,RC2,00:06:30.8,100.04 1.09,00:00:11.8 00:00:00.3,3
17,26,Armstrong  Jon  /  Fair  Cameron  Ford Fiesta Rally3,RC3,00:06:32.0,99.73 1.20,00:00:13.0 00:00:01.2,3
18,6,Sesks  M.  /  Francis  Renārs  Škoda Fabia RS Rally2,RC2,00:06:32.4,99.63 1.23,00:00:13.4 00:00:00.4,3
19,16,von Thurn und Taxis  A.  /  Hain  Jara  Škoda Fabia RS Rally2,RC2,00:06:34.2,99.18 1.40,00:00:15.2 00:00:01.8,3
20,22,Vlček  Martin  /  Kunst  Jakub  Hyundai i20 R5,RC2,00:06:42.5,97.13 2.16,00:00:23.5 00:00:08.3,3
21,45,Cvrček  V.  /  Těšínský  P.  Škoda Fabia R5,RC2,00:06:43.6,96.87 2.27,00:00:24.6 00:00:01.1,3
22,46,Jirásek  Aleš  /  Machů  Petr  Škoda Fabia R5,RC2,00:06:44.2,96.72 2.32,00:00:25.2 00:00:00.6,3
23,33,Schulz  Timo  /  Wenzel  Michael  Opel Corsa Rally4,RC4,00:06:47.8,95.87 2.65,00:00:28.8 00:00:03.6,3
24,23,Kołtun  J.  /  Pleskot  I.  Ford Fiesta Rally2 MkII,RC2,00:06:49.8,95.40 2.84,00:00:30.8 00:00:02.0,3
25,32,McRae  Max  /  Kierans  M.  Opel Corsa Rally4,RC4,00:06:51.8,94.94 3.02,00:00:32.8 00:00:02.0,3
26,41,Tarabus  J.  /  Trunkát  Daniel  Peugeot 208 Rally4,RC4 I,00:06:54.1,94.41 3.23,00:00:35.1 00:00:02.3,3
27,37,Škulj  Mark  /  Šumer  Pia  Opel Corsa Rally4,RC4,00:06:54.9,94.23 3.31,00:00:35.9 00:00:00.8,3
28,38,Zeiringer  F.  /  Letz  Angelika  Opel Corsa Rally4,RC4,00:06:55.9,94.00 3.40,00:00:36.9 00:00:01.0,3
29,47,Jirovec  Jakub  /  Jindra  Petr  Škoda Fabia R5,RC2,00:06:56.2,93.94 3.43,00:00:37.2 00:00:00.3,3
30,30,Daprà  Roberto  /  Guglielmetti  L.  Peugeot 208 Rally4,RC4,00:06:56.4,93.89 3.44,00:00:37.4 00:00:00.2,3
31,49,Kurka  Tomáš  /  Vajík  Karel  Škoda Fabia RS Rally2,RC2,00:06:56.9,93.78 3.49,00:00:37.9 00:00:00.5,3
32,29,Maior  Norbert  /  Maior  Francesca  Peugeot 208 Rally4,RC4,00:06:57.6,93.62 3.55,00:00:38.6 00:00:00.7,3
33,35,Johansson  Mille  /  Grönvall  Johan  Ford Fiesta Rally4,RC4,00:06:58.5,93.42 3.64,00:00:39.5 00:00:00.9,3
34,17,László  Martin  /  Berendi  Dávid  Škoda Fabia Rally2 Evo,RC2,00:06:59.7,93.15 3.75,00:00:40.7 00:00:01.2,3
35,40,Rossi  Ghjuvanni  /  Sarmezan  Kylian  Peugeot 208 Rally4,RC4,00:07:06.1,91.75 4.34,00:00:47.1 00:00:06.4,3
36,25,Cuzma  Bogdan  /  Magalhães  Hugo  Škoda Fabia RS Rally2,RC2,00:07:07.0,91.56 4.42,00:00:48.0 00:00:00.9,3
37,77,Enge  Tomáš  /  Engová  Lucie  Toyota Yaris GR,RN9,00:07:07.2,91.52 4.44,00:00:48.2 00:00:00.2,3
38,31,Hansen  Victor  /  Johansson  V.  Peugeot 208 Rally4,RC4,00:07:07.7,91.41 4.48,00:00:48.7 00:00:00.5,3
39,48,Trnovec  Petr  /  Staněk  M.  Škoda Fabia R5,RC2,00:07:07.8,91.39 4.49,00:00:48.8 00:00:00.1,3
40,50,Zedník  Petr  /  Zedníková  O.  Ford Fiesta Rally2 MkII,RC2,00:07:12.2,90.46 4.90,00:00:53.2 00:00:04.4,3
41,78,Nešetřil  Petr  /  Černoch  Jiří  Porsche 997 GT3,RN9,00:07:12.6,90.37 4.94,00:00:53.6 00:00:00.4,3
42,80,Číž  Miroslav  /  Novák  Jaroslav  Peugeot 208 R2,RC4 II,00:07:15.1,89.86 5.17,00:00:56.1 00:00:02.5,3
43,79,Ševčík  Pavel  /  Vajdák  Luděk  Mitsubishi Lancer Evo IX,RN9,00:07:15.3,89.81 5.18,00:00:56.3 00:00:00.2,3
44,58,Štefan  David  /  Vichtora  O.  Peugeot 208 Rally4,RC4 I,00:07:15.6,89.75 5.21,00:00:56.6 00:00:00.3,3
45,51,Vlček  Marek  /  Plachý  Tomáš  Škoda Fabia Rally2 Evo,RC2,00:07:17.6,89.34 5.40,00:00:58.6 00:00:02.0,3
46,34,Zanin  Mattia  /  De Guio  Elia  Peugeot 208 Rally4,RC4,00:07:18.6,89.14 5.49,00:00:59.6 00:00:01.0,3
47,68,Pohlídal  J.  /  Kubala  Jan  Peugeot 208 R2,RC4 II,00:07:20.2,88.81 5.64,00:01:01.2 00:00:01.6,3
48,39,Kreuter  Norman  /  Seidl  A.  Peugeot 208 Rally4,RC4,00:07:21.6,88.53 5.76,00:01:02.6 00:00:01.4,3
49,54,László  Z.  /  Begala  Tamás  Škoda Fabia Rally2 Evo,RC2,00:07:22.8,88.29 5.87,00:01:03.8 00:00:01.2,3
50,66,Vaňhara  Michal  /  Navrátil  Jakub  Renault Clio Rally4,RC4 I,00:07:25.4,87.78 6.11,00:01:06.4 00:00:02.6,3
51,36,Raftery  Aoife  /  Comerford  Ronan  Peugeot 208 Rally4,RC4,00:07:26.0,87.66 6.17,00:01:07.0 00:00:00.6,3
52,53,Windisch  Enrico  /  Huber  Kurt  Audi A1 R4,RC2,00:07:26.8,87.50 6.24,00:01:07.8 00:00:00.8,3
53,67,Kruťa  Adam  /  Haferník  J.  Peugeot 208 Rally4,RC4 I,00:07:30.3,86.82 6.57,00:01:11.3 00:00:03.5,3
54,24,Somaschini  R.  /  Arena  Nicola  Citroën C3 Rally2,RC2,00:07:32.8,86.34 6.80,00:01:13.8 00:00:02.5,3
55,56,Widłak  Igor  /  Pawłowski  M.  Ford Fiesta Rally3,RC3,00:07:35.1,85.91 7.01,00:01:16.1 00:00:02.3,3
56,60,Surovič  Peter  /  Růžička  J.  Opel Corsa Rally4,RC4 I,00:07:36.5,85.64 7.14,00:01:17.5 00:00:01.4,3
56,62,Jatel  Radek  /  Omelka  Zdeněk  Peugeot 208 R2,RC4 II,00:07:36.5,85.64 7.14,00:01:17.5 00:00:00.0,3
58,55,Titov  Anton  /  Spirov  A.  Škoda Fabia R5,RC2,00:07:36.8,85.59 7.16,00:01:17.8 00:00:00.3,3
59,65,Lukašík  Petr  /  Lukašíková Mikulášková  M.  Ford Fiesta Rally4,RC4 II,00:07:38.5,85.27 7.32,00:01:19.5 00:00:01.7,3
60,70,Vogel  Adrienn  /  Maricsek  M.  Peugeot 208 Rally4,RC4,00:07:38.8,85.21 7.35,00:01:19.8 00:00:00.3,3
61,119,Kowalczyk  H.  /  Hryniuk  J.  Peugeot 208 Rally4,RC4 I,00:07:40.1,84.97 7.47,00:01:21.1 00:00:01.3,3
62,82,Tuček  Marcel  /  Dufek  Petr  Mitsubishi Lancer Evo IX,RN9,00:07:40.2,84.95 7.48,00:01:21.2 00:00:00.1,3
63,63,Nwelati  Dominik  /  Stross  Jiří  Opel Adam R2,RC4 II,00:07:41.1,84.79 7.56,00:01:22.1 00:00:00.9,3
64,98,Vyvlečka  T.  /  Zábojník  R.  Honda Civic Vti,RN10,00:07:42.9,84.46 7.73,00:01:23.9 00:00:01.8,3
65,69,Bartúnek  D.  /  Fabián  Martin  Ford Fiesta Rally4,RC4 II,00:07:47.1,83.70 8.11,00:01:28.1 00:00:04.2,3
66,85,Kuba  Filip  /  Jurčík  Jan  Peugeot 208 Rally4,RC4 I,00:07:47.9,83.56 8.19,00:01:28.9 00:00:00.8,3
67,104,Směja  David  /  Matulík  Jan  Honda Civic Vti,RN6,00:07:48.3,83.48 8.22,00:01:29.3 00:00:00.4,3
68,71,Stratieva  E.  /  Avramov  Georgi  Opel Corsa Rally4,RC4,00:07:48.4,83.47 8.23,00:01:29.4 00:00:00.1,3
69,84,Navrátil  Josef  /  Hamšík  Daniel  Renault Clio Rally5,RC5,00:07:50.9,83.02 8.46,00:01:31.9 00:00:02.5,3
70,86,Čabaj  Miroslav  /  Štindl  V.  Škoda Fabia TDI,RN8,00:07:51.1,82.99 8.48,00:01:32.1 00:00:00.2,3
71,57,Rada  Martin  /  Jugas  Jaroslav  Fiat 124 Abarth RGT,RGT,00:07:51.4,82.94 8.51,00:01:32.4 00:00:00.3,3
72,88,Daňhel  V.  /  Osička  V.  Renault Clio R3,RN8,00:07:52.7,82.71 8.63,00:01:33.7 00:00:01.3,3
73,89,Kravec  Michal  /  Mastacan  Jan  Renault Clio R3,RN8,00:07:59.3,81.57 9.24,00:01:40.3 00:00:06.6,3
74,72,Ševčík  David  /  Rakušan  Martin  Opel Corsa Rally4,RC4 I,00:08:01.2,81.25 9.41,00:01:42.2 00:00:01.9,3
75,99,Pavič  Petr  /  Matyáš  David  Peugeot 206 XS,RN10,00:08:01.7,81.16 9.46,00:01:42.7 00:00:00.5,3
76,73,Vlček  Jakub  /  Krajča  J.  Renault Clio Rally4,RC4 I,00:08:02.2,81.08 9.50,00:01:43.2 00:00:00.5,3
77,115,Gajdošík  T.  /  Lambor  Jiří  Lada 2103,RN10,00:08:02.4,81.04 9.52,00:01:43.4 00:00:00.2,3
78,91,Fridrich  Jakub  /  Sedláček  L.  Alfa Romeo 147,RN7,00:08:04.1,80.76 9.68,00:01:45.1 00:00:01.7,3
79,101,Šivic  Pavel  /  Tarabus  L.  Škoda Felicia,RN6,00:08:05.5,80.53 9.81,00:01:46.5 00:00:01.4,3
80,93,Kolář  Michal  /  Gerych  Jiří  Opel Adam Cup,RN7,00:08:06.4,80.38 9.89,00:01:47.4 00:00:00.9,3
81,83,Klepáč  Martin  /  Krčma  Petr  Citroën Xsara Kit Car,RN10,00:08:06.5,80.36 9.90,00:01:47.5 00:00:00.1,3
82,87,Mandaus  J.  /  Dohnal  Miloš  Škoda Fabia TDI,RN8,00:08:08.2,80.08 10.06,00:01:49.2 00:00:01.7,3
83,95,Štěpánek  P.  /  Švec  Roman  Opel Corsa Rally4,RC4 I,00:08:09.5,79.87 10.17,00:01:50.5 00:00:01.3,3
84,96,Babička  Michal  /  Novotný  T.  Ford Fiesta Rally4,RC4 II,00:08:12.3,79.41 10.43,00:01:53.3 00:00:02.8,3
85,94,Orava  Radim  /  Mudrák  V.  Opel Adam Cup,RN7,00:08:12.8,79.33 10.48,00:01:53.8 00:00:00.5,3
86,108,Slavíková  E.  /  Slavík  Jan  Škoda Fabia,RN6,00:08:14.2,79.11 10.61,00:01:55.2 00:00:01.4,3
87,90,Macek  Karel  /  Vondříčková  L.  Toyota Yaris GR,RN9,00:08:15.0,78.98 10.68,00:01:56.0 00:00:00.8,3
88,110,Bartha  Nándor  /  Farkas  Martin  Peugeot 206 RC,,00:08:21.0,78.04 11.23,00:02:02.0 00:00:06.0,3
89,44,Oprea  Cristiana  /  Parteni  Alexia  Opel Corsa Rally4,RC4,00:08:24.0,77.57 11.51,00:02:05.0 00:00:03.0,3
90,100,Janota  Tomáš  /  Zapletal  T.  Citroën C2 VTS,RN10,00:08:24.9,77.43 11.59,00:02:05.9 00:00:00.9,3
91,106,Konšel  L.  /  Frič  Pavel  Lada VFTS,RN10,00:08:25.3,77.37 11.63,00:02:06.3 00:00:00.4,3
92,107,Mechl  Viktor  /  Martinisko  R.  Honda Civic Vti,RN6,00:08:26.0,77.26 11.69,00:02:07.0 00:00:00.7,3
93,116,Chlud  Ivan  /  Mechl  Matěj  Honda Civic,RN6,00:08:42.8,74.78 13.24,00:02:23.8 00:00:16.8,3
94,117,Valla  Rudolf  /  Valla  Tomáš  Škoda Fabia,RN6,00:08:59.6,72.45 14.79,00:02:40.6 00:00:16.8,3
95,109,Zeman  Milan  /  Vytasil  J.  Škoda Fabia,RN6,00:09:02.0,72.13 15.01,00:02:43.0 00:00:02.4,3
96,114,Hock  Karel  /  Novák  Lukáš  Škoda 130 RS,RN10,00:09:03.0,72.00 15.10,00:02:44.0 00:00:01.0,3
97,118,Liška  Milan  /  Šanta  Martin  Dacia Logan,RN10,00:09:21.8,69.59 16.83,00:03:02.8 00:00:18.8,3
98,97,Pernica  Libor  /  Oral  Jakub  Ford Fiesta Rally4,RC4 II,00:09:51.9,66.05 19.60,00:03:32.9 00:00:30.1,3
99,105,Heřman  Pavel  /  Pfajfr  Tomáš  Škoda Favorit 136 L,RN10,00:09:52.0,66.04 19.61,00:03:33.0 00:00:00.1,3
100,27,Matulka  Jakub  /  Dymurski  Daniel  Ford Fiesta Rally3,RC3,00:16:32.0,39.41 56.45,00:10:13.0 00:06:40.0,3
101,59,Ocelka  Filip  /  Blažek  J.  Renault Clio Rally4,RC4 I,00:16:47.8,38.79 57.90,00:10:28.8 00:00:15.8,3
102,113,Karban  Miloš  /  Karban  Aleš  Ford Escort RS 2000,RN10,00:17:42.9,36.78 62.97,00:11:23.9 00:00:55.1,3
103,92,Pilka  Marek  /  Chovanec  O.  Renault Clio Sport,RN7,00:18:04.1,36.06 64.93,00:11:45.1 00:00:21.2,3
103,112,Andrys  F.  /  Kreslová  Lenka  Renault Clio Sport,RN7,00:18:04.1,36.06 64.93,00:11:45.1 00:00:00.0,3
