0,,,,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.
ss,,,,1,2,3,4,5,6,7
No.,Crew,Group,Race,,,,,,,
1,Paddon  Ha,RC2,Czech Barum,9,10,8,11,8,4,5
2,Østberg  M,RC2,Czech Barum,8,7,2,4,29,89,86
3,Llarena  E,RC2,Czech Barum,12,14,11,10,11,9,11
5,Lukyanuk  ,RC2,Czech Barum,3,2,10,9,3,4,43
6,Sesks  M. ,RC2,Czech Barum,16,18,18,18,14,15,14
7,Franceschi,RC2,Czech Barum,13,12,14,14,8,11,10
9,Mareš  Fil,RC2,Czech Barum,6,9,7,15,6,3,9
10,Wagner  Si,RC2,Czech Barum,1,8,5,7,5,7,8
11,Cais  Erik,RC2,Czech Barum,4,6,4,1,10,88,1
12,McErlean  ,RC2,Czech Barum,17,13,15,13,13,10,12
14,Csomós  Mi,RC2,Czech Barum,5,3,1,5,7,4,4
15,Tempestini,RC2,Czech Barum,14,16,16,17,15,13,13
16,von Thurn ,RC2,Czech Barum,18,19,19,19,17,14,18
17,László  Ma,RC2,Czech Barum,19,24,34,96,-,-,-
18,Kopecký  J,RC2,Czech Barum,2,4,6,2,2,1,1
19,Ingram  Ch,RC2,Czech Barum,15,11,3,12,-,-,-
20,Stříteský ,RC2,Czech Barum,6,15,12,8,11,8,7
21,Březík  Ad,RC2,Czech Barum,10,5,13,6,4,12,6
22,Vlček  Mar,RC2,Czech Barum,21,20,20,21,19,16,16
23,Kołtun  J.,RC2,Czech Barum,25,27,24,27,22,17,19
24,Somaschini,RC2,Czech Barum,41,44,54,47,36,87,38
25,Cuzma  Bog,RC2,Czech Barum,28,43,36,38,26,86,32
26,Armstrong ,RC3,Czech Barum,24,25,17,16,21,-,-
27,Matulka  J,RC3,Czech Barum,33,104,100,97,91,90,88
29,Maior  Nor,RC4,Czech Barum,42,40,32,32,31,17,27
30,Daprà  Rob,RC4,Czech Barum,34,38,30,30,37,17,24
31,Hansen  Vi,RC4,Czech Barum,51,50,38,36,43,17,33
32,McRae  Max,RC4,Czech Barum,31,31,25,34,27,17,22
33,Schulz  Ti,RC4,Czech Barum,32,28,23,25,25,17,20
34,Zanin  Mat,RC4,Czech Barum,48,57,46,54,52,17,36
35,Johansson ,RC4,Czech Barum,45,36,33,26,35,17,23
36,Raftery  A,RC4,Czech Barum,93,60,51,44,49,17,51
37,Škulj  Mar,RC4,Czech Barum,35,46,27,33,34,17,31
38,Zeiringer ,RC4,Czech Barum,39,33,28,29,32,17,28
39,Kreuter  N,RC4,Czech Barum,53,49,48,48,50,17,46
40,Rossi  Ghj,RC4,Czech Barum,40,42,35,40,40,17,87
41,Tarabus  J,RC4 I,Czech Barum,29,30,26,23,28,17,21
44,Oprea  Cri,RC4,Czech Barum,74,76,89,81,66,17,64
45,Cvrček  V.,RC2,Czech Barum,23,17,21,20,18,17,15
46,Jirásek  A,RC2,Czech Barum,20,21,22,22,16,17,17
47,Jirovec  J,RC2,Czech Barum,22,22,29,28,23,17,29
48,Trnovec  P,RC2,Czech Barum,26,26,39,35,24,17,30
49,Kurka  Tom,RC2,Czech Barum,27,23,31,24,20,17,25
50,Zedník  Pe,RC2,Czech Barum,37,29,40,37,30,17,34
51,Vlček  Mar,RC2,Czech Barum,29,34,45,50,39,17,37
53,Windisch  ,RC2,Czech Barum,56,53,52,58,-,-,-
54,László  Z.,RC2,Czech Barum,38,35,49,49,38,17,41
55,Titov  Ant,RC2,Czech Barum,50,58,58,57,45,17,55
56,Widłak  Ig,RC3,Czech Barum,49,48,55,46,41,17,45
57,Rada  Mart,RGT,Czech Barum,54,64,71,61,56,17,59
58,Štefan  Da,RC4 I,Czech Barum,46,44,44,41,42,17,35
59,Ocelka  Fi,RC4 I,Czech Barum,47,41,101,98,-,-,-
60,Surovič  P,RC4 I,Czech Barum,63,47,56,42,46,17,40
62,Jatel  Rad,RC4 II,Czech Barum,73,63,56,56,58,17,52
