,,,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time
ss,,,1,2,3,4,5,6,7
No,Crew,Gr/Cl,,,,,,,
#11,Brandes Michael  - Sebralla Peter Opel Calibra Turbo 4x4,G5,-,-,-,-,-,-,5:47.8
#13,Schaufel Dirk  - Schwedler René Opel Kadett E,F12,-,-,-,-,-,-,6:05.8
#14,Sauerland Michael  - Heer Stefan Opel Kadett E,F12,-,-,-,-,-,-,5:53.2
#16,Markmann Gerrit  - Koscielski S. Volkswagen Golf III GTi,F12,-,-,-,-,-,-,6:05.8
#17,Maarfeld Rolf  - Reich Ernst-Otto Opel Manta 200,F12,-,-,-,-,-,-,6:32.0
#18,Eckstein Ulrich  - Liedigk Sylke Volkswagen Golf I GTI,F12,-,-,-,-,-,-,5:58.0
#19,Beierle Carsten  - Buschmann M. Volkswagen Golf,F12,-,-,-,-,-,-,5:59.8
#2,Bonde Ralf  - Köplin Marco BMW M3 E30,F13,-,-,-,-,-,-,5:41.1
#20,Nolting Frank  - Riepe Jörg Opel Corsa A GSi,F11,-,-,-,-,-,-,5:54.0
#201,Liburdi Stefano  - Silvaggi V. Hyundai i20 N Rally2,R5/Rally2,6:57.9,6:57.9,13:55.8,7:13.7,-,-,-
#202,Di Iuorio Riccardo  - Maini D. Škoda Fabia R5,R5/Rally2,6:58.0,6:58.0,13:56.0,6:56.9,6:56.9,9:19.7,-
#203,D'Alto Gianluca  - Liburdi Mirko Škoda Fabia Rally2 evo,R5/Rally2,7:05.3,7:05.3,14:10.6,6:57.6,6:57.6,9:14.8,-
#204,Bucciarelli Antonio  - Roma V. Škoda Fabia R5,R5/Rally2,6:58.5,6:58.5,13:57.0,7:09.7,7:09.7,9:14.1,-
#206,Trotta Mario  - Germani Federico Renault Clio S1600,S1600,7:20.3,7:20.3,14:40.6,7:20.5,7:20.5,10:11.8,-
#207,Dell'Elce Marco  - Del Sordo F. Renault Clio S1600,S1600,7:23.0,7:23.0,14:46.0,7:23.7,7:23.7,9:48.3,-
#209,Massaro Vittorio  - Massaro Angelo Renault Clio R3,R3,8:30.9,8:30.9,17:01.8,-,-,-,-
#210,Sorci Oscar  - Cicciarelli F. Renault Clio R3,R3 Over 55,7:46.9,7:46.9,15:33.8,7:53.7,7:53.7,10:18.0,-
#211,Zenobio R.  - Panella C. Renault Clio R3,R3 Over 55,8:34.8,8:34.8,17:09.6,8:42.0,8:42.0,13:42.9,-
#212,Di Giovanni S.  - Colapietro A. Toyota GR Yaris,R1T 4x4 Naz,7:24.3,7:24.3,14:48.6,-,-,-,-
#214,Stracqualursi Dennis  - Belotta L. Peugeot 208 Rally4,Rally4 Under 25,7:15.8,7:15.8,14:31.6,7:10.5,7:10.5,9:47.1,-
#215,Taglienti Simone  - Sigismondi G. Peugeot 208 Rally4,Rally4,7:16.7,7:16.7,14:33.4,7:15.1,7:15.1,9:42.7,-
#216,Trotta Antonio  - Lepore Marco Peugeot 208 Rally4,Rally4,7:25.5,7:25.5,14:51.0,7:30.0,7:30.0,9:55.5,-
#218,Di Giorgio Cesare  - Menerella G. Peugeot 208 Rally4,Rally4,7:29.6,7:29.6,14:59.2,7:42.1,7:42.1,10:06.4,-
#219,Oddi Marco  - Bruni Antonio Peugeot 208 R2,Rally4/R2,8:11.9,8:11.9,16:23.8,8:11.6,8:11.6,11:03.4,-
#220,Laudati Massimiliano  - Ascione G. Renault Twingo RS,Rally4/R2,7:51.9,-,-,-,-,-,-
#221,Fiori Fabrizio  - Cotrufo Saverio Opel Astra GSi 16V,A7 Over 55,9:09.8,9:09.8,18:19.6,9:32.8,9:32.8,13:18.6,-
#224,D'Avelli Alessandro  - Cipriani M. Renault Clio Rally5,Rally5 Under 25,12:17.3,12:17.3,24:34.6,7:37.3,7:37.3,10:07.3,-
#225,Giammasi Luigi  - Aiezza Venanzio Peugeot 106 Maxi,K10,8:27.1,8:27.1,16:54.2,8:45.4,8:45.4,11:35.3,-
#226,Finguerra Luca  - Passaseo Antonio Opel Corsa A GSi,A6,9:03.2,9:03.2,18:06.4,9:06.8,9:06.8,12:01.2,-
#227,Franchini Silvia  - Deidda N. Mini Cooper S,RSTB 1.6 Female,8:34.3,8:34.3,17:08.6,8:45.4,8:45.4,11:33.0,-
#228,Bruno Gabriele  - Agagiù Marco Fiat Abarth Grande Punto,RSTB 1.4,10:28.1,10:28.1,20:56.2,-,-,-,-
#229,Ferilli D.  - Vincenti S. Citroën Saxo VTS,RS 1.6 Plus,9:08.5,9:08.5,18:17.0,-,-,-,-
#23,Behrens Achim  - Klinger Dieter Opel Corsa A GSi,F11,-,-,-,-,-,-,6:20.7
#230,Ballarino Liberato  - Di Crosta V. Peugeot 106,A5,9:26.7,9:26.7,19:03.4 0:10,9:38.1,9:38.1,13:06.1,-
#231,D'Agostino Erica  - D'Agostino P. Peugeot 106 Rallye,A5 Female,9:19.1,9:19.1,18:38.2,9:25.0,9:25.0,12:25.5,-
#232,Dragone Luca  - Aceto Andrea Peugeot 106 S16,N2,7:58.1,7:58.1,16:06.2 0:10,7:58.4,7:58.4,10:33.4,-
#233,Gelfusa Vincenzo  - Gerardi G. Citroën Saxo VTS,N2 Under 25,8:14.7,8:14.7,16:29.4,7:56.8,7:56.8,10:20.6,-
