Pos.,No,Crew,Gr/Cl,ss_time,Diff,Speed,ss
1,#201,Liburdi Stefano  - Silvaggi V. Hyundai i20 N Rally2,R5/Rally2,6:57.9,,101.0,1
2,#202,Di Iuorio Riccardo  - Maini D. Škoda Fabia R5,R5/Rally2,6:58.0,+0.1 +  0.1,100.9 0.01,1
3,#204,Bucciarelli Antonio  - Roma V. Škoda Fabia R5,R5/Rally2,6:58.5,+0.6 +  0.5,100.8 0.05,1
4,#203,D'Alto Gianluca  - Liburdi Mirko Škoda Fabia Rally2 evo,R5/Rally2,7:05.3,+7.4 +  6.8,99.2 0.63,1
5,#214,Stracqualursi Dennis  - Belotta L. Peugeot 208 Rally4,Rally4 Under 25,7:15.8,+17.9 +  10.5,96.8 1.53,1
6,#215,Taglienti Simone  - Sigismondi G. Peugeot 208 Rally4,Rally4,7:16.7,+18.8 +  0.9,96.6 1.60,1
7,#206,Trotta Mario  - Germani Federico Renault Clio S1600,S1600,7:20.3,+22.4 +  3.6,95.8 1.91,1
8,#207,Dell'Elce Marco  - Del Sordo F. Renault Clio S1600,S1600,7:23.0,+25.1 +  2.7,95.2 2.14,1
9,#212,Di Giovanni S.  - Colapietro A. Toyota GR Yaris,R1T 4x4 Naz,7:24.3,+26.4 +  1.3,95.0 2.25,1
10,#216,Trotta Antonio  - Lepore Marco Peugeot 208 Rally4,Rally4,7:25.5,+27.6 +  1.2,94.7 2.35,1
11,#218,Di Giorgio Cesare  - Menerella G. Peugeot 208 Rally4,Rally4,7:29.6,+31.7 +  4.1,93.8 2.70,1
12,#210,Sorci Oscar  - Cicciarelli F. Renault Clio R3,R3 Over 55,7:46.9,+49.0 +  17.3,90.4 4.18,1
13,#220,Laudati Massimiliano  - Ascione G. Renault Twingo RS,Rally4/R2,7:51.9,+54.0 +  5.0,89.4 4.61,1
14,#232,Dragone Luca  - Aceto Andrea Peugeot 106 S16,N2,7:58.1,+1:00.2 +  6.2,88.2 5.14,1
15,#219,Oddi Marco  - Bruni Antonio Peugeot 208 R2,Rally4/R2,8:11.9,+1:14.0 +  13.8,85.8 6.31,1
16,#233,Gelfusa Vincenzo  - Gerardi G. Citroën Saxo VTS,N2 Under 25,8:14.7,+1:16.8 +  2.8,85.3 6.55,1
17,#225,Giammasi Luigi  - Aiezza Venanzio Peugeot 106 Maxi,K10,8:27.1,+1:29.2 +  12.4,83.2 7.61,1
18,#235,Rinaldi Valerio  - Orsini Giorgio Citroën Saxo VTS,N2 Under 25,8:29.3,+1:31.4 +  2.2,82.8 7.80,1
19,#209,Massaro Vittorio  - Massaro Angelo Renault Clio R3,R3,8:30.9,+1:33.0 +  1.6,82.6 7.94,1
20,#234,Olevano Alessandro  - Olevano E. Suzuki Swift Sport MK4,N2,8:33.2,+1:35.3 +  2.3,82.2 8.13,1
21,#227,Franchini Silvia  - Deidda N. Mini Cooper S,RSTB 1.6 Female,8:34.3,+1:36.4 +  1.1,82.0 8.23,1
22,#211,Zenobio R.  - Panella C. Renault Clio R3,R3 Over 55,8:34.8,+1:36.9 +  0.5,82.0 8.27,1
23,#226,Finguerra Luca  - Passaseo Antonio Opel Corsa A GSi,A6,9:03.2,+2:05.3 +  28.4,77.7 10.7,1
24,#229,Ferilli D.  - Vincenti S. Citroën Saxo VTS,RS 1.6 Plus,9:08.5,+2:10.6 +  5.3,76.9 11.1,1
25,#221,Fiori Fabrizio  - Cotrufo Saverio Opel Astra GSi 16V,A7 Over 55,9:09.8,+2:11.9 +  1.3,76.7 11.3,1
26,#231,D'Agostino Erica  - D'Agostino P. Peugeot 106 Rallye,A5 Female,9:19.1,+2:21.2 +  9.3,75.5 12.1,1
27,#230,Ballarino Liberato  - Di Crosta V. Peugeot 106,A5,9:26.7,+2:28.8 +  7.6,74.5 12.7,1
28,#236,Santo G.  - Corina G. Suzuki Swift Sport MK4,RS 1.6 Under 25,9:37.8,+2:39.9 +  11.1,73.0 13.6,1
29,#228,Bruno Gabriele  - Agagiù Marco Fiat Abarth Grande Punto,RSTB 1.4,10:28.1,+3:30.2 +  50.3,67.2 17.9,1
30,#224,D'Avelli Alessandro  - Cipriani M. Renault Clio Rally5,Rally5 Under 25,12:17.3,+5:19.4 +  1:49.2,57.2 27.3,1
1,#201,Liburdi Stefano  - Silvaggi V. Hyundai i20 N Rally2,R5/Rally2,6:57.9,,121.5,2
2,#202,Di Iuorio Riccardo  - Maini D. Škoda Fabia R5,R5/Rally2,6:58.0,+0.1 +  0.1,121.4 0.01,2
3,#204,Bucciarelli Antonio  - Roma V. Škoda Fabia R5,R5/Rally2,6:58.5,+0.6 +  0.5,121.3 0.04,2
4,#203,D'Alto Gianluca  - Liburdi Mirko Škoda Fabia Rally2 evo,R5/Rally2,7:05.3,+7.4 +  6.8,119.4 0.52,2
5,#214,Stracqualursi Dennis  - Belotta L. Peugeot 208 Rally4,Rally4 Under 25,7:15.8,+17.9 +  10.5,116.5 1.27,2
6,#215,Taglienti Simone  - Sigismondi G. Peugeot 208 Rally4,Rally4,7:16.7,+18.8 +  0.9,116.2 1.33,2
7,#206,Trotta Mario  - Germani Federico Renault Clio S1600,S1600,7:20.3,+22.4 +  3.6,115.3 1.59,2
8,#207,Dell'Elce Marco  - Del Sordo F. Renault Clio S1600,S1600,7:23.0,+25.1 +  2.7,114.6 1.78,2
9,#212,Di Giovanni S.  - Colapietro A. Toyota GR Yaris,R1T 4x4 Naz,7:24.3,+26.4 +  1.3,114.2 1.87,2
