Pos.,No.,Driver / Co-driver Vehicle,Group,SS time,Aver. speed sec/km,Diff.Leader Diff.Prev.,ss
1,1,Østberg  Mads  /  Barth  Patrik  Citroën C3 Rally2,RC2,00:06:52.5,110.23 0.00,00:00:00.0 00:00:00.0,12
2,6,Mareš  Filip  /  Bucha  Radovan  Škoda Fabia Rally2 Evo,RC2,00:06:53.6,109.93 0.09,00:00:01.1 00:00:01.1,12
3,8,Marczyk  Miko  /  Gospodarczyk  S.  Škoda Fabia RS Rally2,RC2,00:06:55.1,109.54 0.21,00:00:02.6 00:00:01.5,12
4,14,Vincze  Ferenc  /  Percze  Nándor  Škoda Fabia Rally2 Evo,RC2,00:06:56.4,109.19 0.31,00:00:03.9 00:00:01.3,12
5,2,Llarena  Efrén  /  Fernandez  Sara  Škoda Fabia R5,RC2,00:06:58.0,108.78 0.44,00:00:05.5 00:00:01.6,12
6,4,Franceschi  M.  /  Manzo  Benoît  Škoda Fabia RS Rally2,RC2,00:06:59.3,108.44 0.54,00:00:06.8 00:00:01.3,12
7,19,Allen  Philip  /  Furniss  Dale  Hyundai i20 N Rally2,RC2,00:07:00.9,108.03 0.67,00:00:08.4 00:00:01.6,12
8,3,Sesks  M.  /  Francis  Renārs  Škoda Fabia RS Rally2,RC2,00:07:01.3,107.92 0.70,00:00:08.8 00:00:00.4,12
9,5,Bonato  Yoann  /  Boulloud  B.  Citroën C3 Rally2,RC2,00:07:02.6,107.59 0.80,00:00:10.1 00:00:01.3,12
10,15,Turán  Frigyes  /  Farnadi  Ágnes  Volkswagen Polo Gti R5,RC2,00:07:03.6,107.34 0.88,00:00:11.1 00:00:01.0,12
11,16,Hadik  András  /  Kertész  K.  Ford Fiesta Rally2 MkII,RC2,00:07:05.6,106.83 1.04,00:00:13.1 00:00:02.0,12
12,20,Michelisz  N.  /  Tagai  Róbert  Hyundai i20 N Rally2,RC2,00:07:05.8,106.78 1.05,00:00:13.3 00:00:00.2,12
13,32,Német  Gábor  /  Németh  Gergely  Hyundai i20 N Rally2,RC2,00:07:10.3,105.67 1.41,00:00:17.8 00:00:04.5,12
14,11,László  Martin  /  Berendi  Dávid  Škoda Fabia Rally2 Evo,RC2,00:07:11.9,105.27 1.54,00:00:19.4 00:00:01.6,12
15,18,Trencsényi  J.  /  Verba  Gabor  Škoda Fabia Rally2 Evo,RC2,00:07:14.6,104.62 1.75,00:00:22.1 00:00:02.7,12
16,12,Cuzma  Bogdan  /  Magalhães  Hugo  Škoda Fabia RS Rally2,RC2,00:07:18.5,103.69 2.06,00:00:26.0 00:00:03.9,12
17,17,Bodolai  L.  /  Deák  Attila  Ford Fiesta Rally2 MkII,RC2,00:07:22.3,102.80 2.36,00:00:29.8 00:00:03.8,12
18,10,Cais  Erik  /  Bacigál  Igor  Škoda Fabia RS Rally2,RC2,00:07:23.7,102.47 2.47,00:00:31.2 00:00:01.4,12
19,24,Schulz  Timo  /  Wenzel  Michael  Opel Corsa Rally4,RC4,00:07:27.3,101.65 2.76,00:00:34.8 00:00:03.6,12
20,23,Nore  Ola jun.  /  Eilertsen  Rune  Opel Corsa Rally4,RC4,00:07:30.1,101.02 2.98,00:00:37.6 00:00:02.8,12
21,25,Zanin  Mattia  /  De Guio  Elia  Peugeot 208 Rally4,RC4,00:07:32.0,100.59 3.13,00:00:39.5 00:00:01.9,12
22,27,Johansson  Mille  /  Grönvall  Johan  Opel Corsa Rally4,RC4,00:07:33.7,100.22 3.26,00:00:41.2 00:00:01.7,12
23,22,Daprà  Roberto  /  Guglielmetti  L.  Peugeot 208 Rally4,RC4,00:07:37.4,99.41 3.56,00:00:44.9 00:00:03.7,12
24,28,Škulj  Mark  /  Čar  Matej  Opel Corsa Rally4,RC4,00:07:38.7,99.12 3.66,00:00:46.2 00:00:01.3,12
25,29,Herczig  Patrik  /  Varga  Kristóf  Peugeot 208 Rally4,RC4,00:07:43.1,98.18 4.01,00:00:50.6 00:00:04.4,12
26,21,Maior  Norbert  /  Maior  Francesca  Peugeot 208 Rally4,RC4,00:07:44.2,97.95 4.09,00:00:51.7 00:00:01.1,12
27,37,Sugar  Cristian  /  Colceriu  Vlad  Peugeot 208 R2,RC4,00:07:45.5,97.68 4.20,00:00:53.0 00:00:01.3,12
28,26,McRae  Max  /  Kierans  M.  Opel Corsa Rally4,RC4,00:07:52.4,96.25 4.74,00:00:59.9 00:00:06.9,12
29,35,Berta  László  /  Császár  L.  Peugeot 208 Rally4,RC4,00:07:53.1,96.11 4.80,00:01:00.6 00:00:00.7,12
30,36,Viszlo  Csaba  /  Szegedi  Máté  Peugeot 208 Rally4,RC4,00:08:02.7,94.20 5.56,00:01:10.2 00:00:09.6,12
31,34,Rada  Martin  /  Jugas  Jaroslav  Fiat 124 Abarth RGT,RGT,00:08:23.5,90.30 7.21,00:01:31.0 00:00:20.8,12
