,,,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time
ss,,,1,2,3,4,5,6,7,8,9,10,11,12
No,Crew,Gr/Cl,,,,,,,,,,,,
#1,Østberg Mads  - Barth Patrik Citroën C3 Rally2,RC2,1:38.3,10:40.6,12:54.9,4:58.2,7:46.2,10:35.9,12:48.2,4:55.9,5:08.0,14:13.2,5:08.3,6:52.5
#10,Cais Erik  - Bacigál Igor Škoda Fabia RS Rally2,RC2,1:37.9,10:47.9,13:00.5,4:58.4,7:43.1,10:44.0,12:56.0,4:56.9,5:12.0,16:16.0,5:10.6,7:23.7
#11,László Martin  - Berendi Dávid Škoda Fabia Rally2 evo,RC2,1:39.6,11:26.3,13:33.4,5:10.1,7:52.3,11:17.5,13:26.5,5:14.0,5:28.3,14:34.5,5:30.3,7:11.9
#12,Cuzma Bogdan  - Magalhães Hugo Škoda Fabia RS Rally2,RC2,1:45.2,11:56.8,14:20.3,5:18.9,8:19.3,11:53.9,14:05.3,5:28.5,5:38.8,14:54.0,5:39.5,7:18.5
#14,Vincze Ferenc jun.  - Percze N. Škoda Fabia Rally2 evo,RC2,1:38.6,10:40.3,12:56.7,4:54.9,7:47.3,10:38.7,12:56.0,4:55.9,5:09.7,14:08.9,5:09.6,6:56.4
#15,Turán Frigyes  - Farnadi Ágnes Volkswagen Polo GTI R5,RC2,1:38.4,10:58.7,13:18.1,5:00.5,7:53.1,10:54.9,13:12.2,5:01.6,5:13.4,14:12.2,5:19.6,7:03.6
#16,Hadik András  - Kertész K. Ford Fiesta Rally2,RC2,1:39.2,11:00.3,13:16.6,5:00.2,7:59.3,11:02.0,13:10.4,4:59.2,5:15.1,18:03.6,5:16.4,7:05.6
#17,Bodolai László  - Deák Attila Ford Fiesta Rally2,RC2,1:42.1,11:20.1,13:47.3,5:08.8,8:17.2,11:26.8,-,-,5:33.3,20:40.4,5:41.6,7:22.3
#17,Bodolai László  - Deák Attila Ford Fiesta Rally2  [SR],RC2,-,-,-,-,-,-,22:48.2 [N],14:51.2 [N],-,-,-,-
#18,Trencsényi József  - Verba G. Škoda Fabia Rally2 evo,RC2,2:45.2,15:22.2,13:57.5,5:09.1,8:00.1,11:32.7,13:48.2,5:11.3,5:25.5,14:36.5,5:31.1,7:14.6
#19,Allen Philip  - Furniss Dale Hyundai i20 N Rally2,RC2,1:42.0,11:25.9,17:22.2,5:15.3,7:56.2,11:16.3,17:07.2,5:12.1,5:21.6,14:27.9,5:20.1,7:00.9
#2,Llarena Efrén  - Fernández Sara Škoda Fabia R5,RC2,1:38.3,10:51.2,16:22.6,5:07.0,7:56.3,11:08.8,13:31.9,5:06.2,5:17.7,14:07.8,5:14.6,6:58.0
#20,Michelisz Norbert  - Tagai Róbert Hyundai i20 N Rally2,RC2,1:41.0,11:05.1,13:36.8,5:09.6,8:04.9,10:55.1,16:54.4,5:07.0,5:21.2,14:25.0,5:19.2,7:05.8
#21,Maior Norbert  - Maior F. Peugeot 208 Rally4,RC4,1:46.4,11:32.0,14:07.4,5:18.3,8:17.4,11:27.4,14:04.9,5:24.2,5:35.1,15:13.1,5:37.2,7:44.2
#22,Daprà Roberto  - Guglielmetti L. Peugeot 208 Rally4,RC4,1:45.2,11:33.8,14:11.2,5:17.9,8:21.1,11:35.8,14:04.0,5:18.1,5:36.7 [N],15:18.2,5:35.3,7:37.4
#23,Nore Ola jnr.  - Eilertsen Rune Opel Corsa Rally4,RC4,1:49.2,15:00.7,14:02.4,5:21.3,8:33.8,11:37.4,14:01.1,5:30.2,5:38.2,15:15.9,5:49.7,7:30.1
#24,Schulz Timo  - Wenzel Michael Opel Corsa Rally4,RC4,1:45.4,11:37.9,14:06.1,5:22.4,8:31.1,11:28.2,17:56.9,6:13.2,5:38.0,15:26.1,5:33.4,7:27.3
#25,Zanin Mattia  - De Guio Elia Peugeot 208 Rally4,RC4,1:47.5,11:50.4,14:23.5,5:23.2,8:24.0,11:37.7,15:01.2,-,5:45.0,15:36.5,6:04.8,7:32.0
#25,Zanin Mattia  - De Guio Elia Peugeot 208 Rally4  [SR],RC4,-,-,-,-,-,-,-,15:18.1 [N],-,-,-,-
#26,McRae Max  - Kierans Mac Opel Corsa Rally4,RC4,1:47.1,11:49.5,14:14.2,5:19.1,-,-,-,-,5:46.0,15:49.0,5:39.5,7:52.4
#26,McRae Max  - Kierans Mac Opel Corsa Rally4  [SR],RC4,-,-,-,-,18:17.4 [N],21:27.4 [N],24:01.1 [N],15:18.1 [N],-,-,-,-
#27,Johansson Mille  - Grönvall Johan Opel Corsa Rally4,RC4,1:46.7,11:47.3,14:18.7,5:22.9,8:23.7,11:48.2,17:04.5,5:26.8,5:39.0,15:22.3,5:38.3,7:33.7
#28,Škulj Mark  - Čar Matej Opel Corsa Rally4,RC4,1:47.0,11:52.5,14:26.1,5:25.0,8:18.4,11:54.1,14:16.2,5:28.9,5:40.3 [N],15:35.8,5:43.1,7:38.7
#29,Herczig Patrik  - Varga Kristóf Peugeot 208 Rally4,RC4,1:46.0,11:49.9,14:28.8,5:26.2,8:25.6,11:53.4,14:18.5,5:31.8,5:48.7,15:34.2,5:50.0,7:43.1
