Pos.,No,Crew,Gr/Cl,ss_time,Diff,Speed,ss
1,#8,Marczyk M.  - Gospodarczyk S. Škoda Fabia RS Rally2,RC2,1:36.9,,89.2,1
2,#3,Sesks Mārtiņš  - Francis R. Škoda Fabia RS Rally2,RC2,1:37.4,+0.5 +  0.5,88.7 0.21,1
3,#10,Cais Erik  - Bacigál Igor Škoda Fabia RS Rally2,RC2,1:37.9,+1.0 +  0.5,88.3 0.42,1
4,#1,Østberg Mads  - Barth Patrik Citroën C3 Rally2,RC2,1:38.3,+1.4 +  0.4,87.9 0.58,1
4,#2,Llarena Efrén  - Fernández Sara Škoda Fabia R5,RC2,1:38.3,+1.4 +  0.0,87.9 0.58,1
6,#15,Turán Frigyes  - Farnadi Ágnes Volkswagen Polo GTI R5,RC2,1:38.4,+1.5 +  0.1,87.8 0.63,1
7,#6,Mareš Filip  - Bucha Radovan Škoda Fabia Rally2 evo,RC2,1:38.5,+1.6 +  0.1,87.7 0.67,1
8,#14,Vincze Ferenc jun.  - Percze N. Škoda Fabia Rally2 evo,RC2,1:38.6,+1.7 +  0.1,87.6 0.71,1
9,#5,Bonato Yoann  - Boulloud Benjamin Citroën C3 Rally2,RC2,1:39.2,+2.3 +  0.6,87.1 0.96,1
9,#16,Hadik András  - Kertész K. Ford Fiesta Rally2,RC2,1:39.2,+2.3 +  0.0,87.1 0.96,1
11,#7,Csomós Miklós  - Bán Viktor Škoda Fabia Rally2 evo,RC2,1:39.3,+2.4 +  0.1,87.0 1.00,1
12,#4,Franceschi Mathieu  - Manzo B. Škoda Fabia RS Rally2,RC2,1:39.6,+2.7 +  0.3,86.7 1.13,1
12,#11,László Martin  - Berendi Dávid Škoda Fabia Rally2 evo,RC2,1:39.6,+2.7 +  0.0,86.7 1.13,1
14,#40,Velenczei Ádám  - Vánsza Zsolt Škoda Fabia RS Rally2,RC2,1:40.0,+3.1 +  0.4,86.4 1.29,1
15,#20,Michelisz Norbert  - Tagai Róbert Hyundai i20 N Rally2,RC2,1:41.0,+4.1 +  1.0,85.5 1.71,1
16,#32,Német Gábor  - Németh Gergely Hyundai i20 N Rally2,RC2,1:41.2,+4.3 +  0.2,85.4 1.79,1
17,#19,Allen Philip  - Furniss Dale Hyundai i20 N Rally2,RC2,1:42.0,+5.1 +  0.8,84.7 2.13,1
18,#17,Bodolai László  - Deák Attila Ford Fiesta Rally2,RC2,1:42.1,+5.2 +  0.1,84.6 2.17,1
19,#41,Klausz Kristóf  - Papp Tamás Škoda Fabia Rally2 evo,RC2,1:42.2,+5.3 +  0.1,84.5 2.21,1
20,#43,Tóth Tibor  - Szabó József Škoda Fabia Rally2 evo,RC2,1:42.3,+5.4 +  0.1,84.5 2.25,1
21,#44,Sasa  - Balai Róbert Škoda Fabia R5,RC2,1:44.1,+7.2 +  1.8,83.0 3.00,1
22,#12,Cuzma Bogdan  - Magalhães Hugo Škoda Fabia RS Rally2,RC2,1:45.2,+8.3 +  1.1,82.1 3.46,1
22,#22,Daprà Roberto  - Guglielmetti L. Peugeot 208 Rally4,RC4,1:45.2,+8.3 +  0.0,82.1 3.46,1
24,#24,Schulz Timo  - Wenzel Michael Opel Corsa Rally4,RC4,1:45.4,+8.5 +  0.2,82.0 3.54,1
25,#46,Bacsa Tamás  - Hanyik Gergely Toyota GR Yaris,P14,1:45.7,+8.8 +  0.3,81.7 3.67,1
26,#29,Herczig Patrik  - Varga Kristóf Peugeot 208 Rally4,RC4,1:46.0,+9.1 +  0.3,81.5 3.79,1
26,#42,László Zoltán  - Balázs Z. Škoda Fabia RS Rally2,RC2,1:46.0,+9.1 +  0.0,81.5 3.79,1
28,#31,Hangodi Bendegúz  - Nagy Attila Peugeot 208 Rally4,RC4,1:46.1,+9.2 +  0.1,81.4 3.83,1
29,#21,Maior Norbert  - Maior F. Peugeot 208 Rally4,RC4,1:46.4,+9.5 +  0.3,81.2 3.96,1
30,#33,Kohn Filip  - Whittock Ross Ford Fiesta Rally3,RC3,1:46.6,+9.7 +  0.2,81.1 4.04,1
31,#27,Johansson Mille  - Grönvall Johan Opel Corsa Rally4,RC4,1:46.7,+9.8 +  0.1,81.0 4.08,1
32,#28,Škulj Mark  - Čar Matej Opel Corsa Rally4,RC4,1:47.0,+10.1 +  0.3,80.7 4.21,1
33,#26,McRae Max  - Kierans Mac Opel Corsa Rally4,RC4,1:47.1,+10.2 +  0.1,80.7 4.25,1
34,#25,Zanin Mattia  - De Guio Elia Peugeot 208 Rally4,RC4,1:47.5,+10.6 +  0.4,80.4 4.42,1
35,#54,Bertalan Márton  - Paizs Róbert Peugeot 208 Rally4,RC4,1:47.7,+10.8 +  0.2,80.2 4.50,1
36,#48,Galgóczi Norbert  - Kázári D. Mitsubishi Lancer Evo IX,P14,1:47.9,+11.0 +  0.2,80.1 4.58,1
37,#23,Nore Ola jnr.  - Eilertsen Rune Opel Corsa Rally4,RC4,1:49.2,+12.3 +  1.3,79.1 5.13,1
38,#45,Perge György  - Bárdos Péter Škoda Fabia R5,RC2,1:49.4,+12.5 +  0.2,79.0 5.21,1
38,#84,Jedlóczky Márk  - Bazsó Attila Peugeot 208 Rally4,RC4,1:49.4,+12.5 +  0.0,79.0 5.21,1
40,#85,Határ Attila  - Éhn Dániel Peugeot 208 Rally4,RC4,1:49.5,+12.6 +  0.1,78.9 5.25,1
41,#37,Sugár Cristian  - Colceriu Vlad Peugeot 208 R2,RC4,1:49.6,+12.7 +  0.1,78.8 5.29,1
42,#55,Vogel Adrienn  - Maricsek Miklós Peugeot 208 Rally4,RC4,1:49.9,+13.0 +  0.3,78.6 5.42,1
43,#65,Szöllősi Roland  - Kapás A. BMW M3 E46,P14,1:50.6,+13.7 +  0.7,78.1 5.71,1
44,#47,Szilágyi Patrik  - Tóth Viktor BMW M3 E36,P14,1:51.2,+14.3 +  0.6,77.7 5.96,1
45,#35,Berta László  - Császár L. Peugeot 208 Rally4,RC4,1:51.4,+14.5 +  0.2,77.6 6.04,1
46,#34,Rada Martin  - Jugas Jaroslav Abarth 124 Rally RGT,RGT,1:51.8,+14.9 +  0.4,77.3 6.21,1
46,#36,Viszló Csaba  - Szegedi Máté Peugeot 208 Rally4,RC4,1:51.8,+14.9 +  0.0,77.3 6.21,1
48,#58,Zagyva Dorka  - Spitzer Gábor Peugeot 208 Rally4,RC4,1:51.9,+15.0 +  0.1,77.2 6.25,1
49,#51,Juhász Csaba  - Szegő János Mitsubishi Lancer Evo X R4,P14,1:52.1,+15.2 +  0.2,77.1 6.33,1
50,#49,Balla Tamás  - Munyu Mitsubishi Lancer Evo IX R4,P14,1:52.9,+16.0 +  0.8,76.5 6.67,1
51,#30,Kreuter N.  - Kvick Andersson J. Peugeot 208 Rally4,RC4,1:53.5,+16.6 +  0.6,76.1 6.92,1
52,#52,Lazár Matej  - Kerekeš Martin Mitsubishi Lancer Evo IX,P14,1:53.8,+16.9 +  0.3,75.9 7.04,1
53,#66,Markovics György  - Adorján S. BMW M3 E36,P14,1:53.9,+17.0 +  0.1,75.9 7.08,1
53,#69,Bodogán Ferenc  - Sántha Zoltán Lada VFTS,P13,1:53.9,+17.0 +  0.0,75.9 7.08,1
55,#75,Veréb Zoltán  - Májer Dávid Lada VFTS,P12,1:54.0,+17.1 +  0.1,75.8 7.13,1
56,#68,Csikar  - Tukacs Ákos Lada VFTS,P13,1:54.8,+17.9 +  0.8,75.3 7.46,1
