No.,Crew,Group,ss,Race,cou,time_SS_sec
1,Paddon  Ha,RC2,1,Canarias,1,99.8
24,Nucita  An,RC2,1,Canarias,2,100.2
18,Wagner  Si,RC2,1,Canarias,3,100.5
17,Mareš  Fil,RC2,1,Canarias,4,101.0
39,Pernía  S.,RC2,1,Canarias,5,101.1
22,Grzyb  Grz,RC2,1,Canarias,6,101.2
36,Solans  Ja,RC2,1,Canarias,7,101.3
23,László  Ma,RC2,1,Canarias,8,101.4
2,Østberg  M,RC2,1,Canarias,9,101.5
4,Kristensso,RC2,1,Canarias,10,101.7
16,Campedelli,RC2,1,Canarias,11,101.8
6,Bonato  Yo,RC2,1,Canarias,12,102.3
5,Mabellini ,RC2,1,Canarias,13,102.5
9,Sesks  M. ,RC2,1,Canarias,14,102.6
20,Černý  Jan,RC2,1,Canarias,15,102.6
3,Llarena  E,RC2,1,Canarias,16,102.8
8,Csomós  Mi,RC2,1,Canarias,17,103.0
35,Ares  Iván,RC2,1,Canarias,18,103.0
7,Heikkilä  ,RC2,1,Canarias,19,103.9
10,Franceschi,RC2,1,Canarias,20,103.9
11,Pardo  Jav,RC2,1,Canarias,21,104.2
15,Ruiloba  D,RC2,1,Canarias,22,105.7
19,Suarez  M.,RC2,1,Canarias,23,106.0
14,Palomo  Ós,RC2,1,Canarias,24,106.9
25,Kołtun  J.,RC2,1,Canarias,25,107.4
41,Fuentes  S,RC2,1,Canarias,26,107.6
30,Armstrong ,RC3,1,Canarias,27,108.5
21,Cruz  Enri,RC2,1,Canarias,28,109.2
12,Suárez  J.,RC2,1,Canarias,29,110.8
40,López  F. ,RC2,1,Canarias,30,110.9
31,Daprà  Rob,RC4,1,Canarias,31,111.1
37,Peláez  J.,RC2,1,Canarias,32,111.2
28,Somaschini,RC2,1,Canarias,33,112.1
38,Comas  Mar,RC2,1,Canarias,34,112.3
43,Fariña  G.,RC4,1,Canarias,35,114.3
44,Cañada  Ja,RC4,1,Canarias,36,115.4
55,Hernández ,RC5,1,Canarias,37,115.5
42,Quesada  R,RC2,1,Canarias,38,116.0
46,Climent  N,RC4,1,Canarias,39,117.6
34,Grillo  A.,RC4,1,Canarias,40,117.7
48,Machín  An,RC4,1,Canarias,41,118.2
32,Kreuter  N,RC4,1,Canarias,42,118.4
53,Avella  B.,RC5,1,Canarias,43,119.9
45,de la Cruz,RC4,1,Canarias,44,120.8
47,Cruz  Fern,RC4,1,Canarias,45,120.9
62,Bello  Jos,RC4,1,Canarias,46,121.6
50,Hernández ,RC5,1,Canarias,47,122.4
54,Rodríguez ,RC5,1,Canarias,48,122.5
58,Mederos  H,RC5,1,Canarias,49,122.9
33,Hangodi  B,RC4,1,Canarias,50,123.2
59,Avella  Ul,RC5,1,Canarias,51,125.6
52,Alonso  Ja,RC5,1,Canarias,52,126.0
60,Concepción,RC5,1,Canarias,53,126.1
49,Hernández ,RC4,1,Canarias,54,128.1
51,Armas  Noé,RC5,1,Canarias,55,128.6
57,Cabrera  I,RC5,1,Canarias,56,128.6
26,Cuzma  Bog,RC2,1,Canarias,57,129.4
56,Valido  Ví,RC5,1,Canarias,58,134.9
61,Naranjo  M,RC4,1,Canarias,59,144.1
27,Allen  Phi,RC2,1,Canarias,60,699.8
29,Bertolotti,RC2,1,Canarias,61,699.8
36,Solans  Ja,RC2,2,Canarias,1,535.7
3,Llarena  E,RC2,2,Canarias,2,538.0
2,Østberg  M,RC2,2,Canarias,3,540.2
24,Nucita  An,RC2,2,Canarias,4,541.5
10,Franceschi,RC2,2,Canarias,5,543.0
21,Cruz  Enri,RC2,2,Canarias,6,544.2
11,Pardo  Jav,RC2,2,Canarias,7,548.9
9,Sesks  M. ,RC2,2,Canarias,8,549.1
20,Černý  Jan,RC2,2,Canarias,9,552.1
14,Palomo  Ós,RC2,2,Canarias,10,554.6
35,Ares  Iván,RC2,2,Canarias,11,555.8
23,László  Ma,RC2,2,Canarias,12,555.9
42,Quesada  R,RC2,2,Canarias,13,556.3
41,Fuentes  S,RC2,2,Canarias,14,556.8
12,Suárez  J.,RC2,2,Canarias,15,557.8
5,Mabellini ,RC2,2,Canarias,16,558.1
6,Bonato  Yo,RC2,2,Canarias,17,558.8
1,Paddon  Ha,RC2,2,Canarias,18,559.2
25,Kołtun  J.,RC2,2,Canarias,19,559.8
15,Ruiloba  D,RC2,2,Canarias,20,560.0
18,Wagner  Si,RC2,2,Canarias,21,560.0
7,Heikkilä  ,RC2,2,Canarias,22,560.8
19,Suarez  M.,RC2,2,Canarias,23,562.3
22,Grzyb  Grz,RC2,2,Canarias,24,562.9
30,Armstrong ,RC3,2,Canarias,25,564.4
8,Csomós  Mi,RC2,2,Canarias,26,564.8
40,López  F. ,RC2,2,Canarias,27,567.8
17,Mareš  Fil,RC2,2,Canarias,28,568.8
4,Kristensso,RC2,2,Canarias,29,569.0
16,Campedelli,RC2,2,Canarias,30,571.1
37,Peláez  J.,RC2,2,Canarias,31,576.2
44,Cañada  Ja,RC4,2,Canarias,32,576.2
43,Fariña  G.,RC4,2,Canarias,33,577.3
47,Cruz  Fern,RC4,2,Canarias,34,578.9
31,Daprà  Rob,RC4,2,Canarias,35,579.4
38,Comas  Mar,RC2,2,Canarias,36,579.5
46,Climent  N,RC4,2,Canarias,37,580.9
39,Pernía  S.,RC2,2,Canarias,38,581.2
48,Machín  An,RC4,2,Canarias,39,583.2
45,de la Cruz,RC4,2,Canarias,40,584.3
26,Cuzma  Bog,RC2,2,Canarias,41,585.0
29,Bertolotti,RC2,2,Canarias,42,585.7
28,Somaschini,RC2,2,Canarias,43,588.2
49,Hernández ,RC4,2,Canarias,44,596.0
62,Bello  Jos,RC4,2,Canarias,45,599.7
33,Hangodi  B,RC4,2,Canarias,46,604.1
51,Armas  Noé,RC5,2,Canarias,47,607.9
50,Hernández ,RC5,2,Canarias,48,608.1
56,Valido  Ví,RC5,2,Canarias,49,608.6
53,Avella  B.,RC5,2,Canarias,50,615.5
58,Mederos  H,RC5,2,Canarias,51,616.9
32,Kreuter  N,RC4,2,Canarias,52,620.3
59,Avella  Ul,RC5,2,Canarias,53,624.4
