No.,Crew,Group,ss,Race,cou,time_SS_sec
10,Wagner  Si,RC2,1,Czech Barum,1,427.0
18,Kopecký  J,RC2,1,Czech Barum,2,427.4
5,Lukyanuk  ,RC2,1,Czech Barum,3,428.5
11,Cais  Erik,RC2,1,Czech Barum,4,429.5
14,Csomós  Mi,RC2,1,Czech Barum,5,431.0
9,Mareš  Fil,RC2,1,Czech Barum,6,431.6
20,Stříteský ,RC2,1,Czech Barum,7,431.6
2,Østberg  M,RC2,1,Czech Barum,8,432.3
1,Paddon  Ha,RC2,1,Czech Barum,9,432.9
21,Březík  Ad,RC2,1,Czech Barum,10,433.2
76,Pech  Václ,RN9,1,Czech Barum,11,433.3
3,Llarena  E,RC2,1,Czech Barum,12,435.7
7,Franceschi,RC2,1,Czech Barum,13,435.9
15,Tempestini,RC2,1,Czech Barum,14,436.3
19,Ingram  Ch,RC2,1,Czech Barum,15,436.7
6,Sesks  M. ,RC2,1,Czech Barum,16,440.0
12,McErlean  ,RC2,1,Czech Barum,17,442.8
16,von Thurn ,RC2,1,Czech Barum,18,443.1
17,László  Ma,RC2,1,Czech Barum,19,444.4
46,Jirásek  A,RC2,1,Czech Barum,20,447.8
22,Vlček  Mar,RC2,1,Czech Barum,21,450.4
47,Jirovec  J,RC2,1,Czech Barum,22,453.0
45,Cvrček  V.,RC2,1,Czech Barum,23,453.1
26,Armstrong ,RC3,1,Czech Barum,24,457.8
23,Kołtun  J.,RC2,1,Czech Barum,25,458.0
48,Trnovec  P,RC2,1,Czech Barum,26,464.5
49,Kurka  Tom,RC2,1,Czech Barum,27,465.4
25,Cuzma  Bog,RC2,1,Czech Barum,28,466.2
41,Tarabus  J,RC4 I,1,Czech Barum,29,468.8
51,Vlček  Mar,RC2,1,Czech Barum,30,468.8
32,McRae  Max,RC4,1,Czech Barum,31,469.9
33,Schulz  Ti,RC4,1,Czech Barum,32,470.4
27,Matulka  J,RC3,1,Czech Barum,33,472.4
30,Daprà  Rob,RC4,1,Czech Barum,34,472.6
37,Škulj  Mar,RC4,1,Czech Barum,35,474.8
77,Enge  Tomá,RN9,1,Czech Barum,36,474.9
50,Zedník  Pe,RC2,1,Czech Barum,37,475.4
54,László  Z.,RC2,1,Czech Barum,38,476.0
38,Zeiringer ,RC4,1,Czech Barum,39,476.5
40,Rossi  Ghj,RC4,1,Czech Barum,40,478.0
24,Somaschini,RC2,1,Czech Barum,41,478.5
29,Maior  Nor,RC4,1,Czech Barum,42,478.9
79,Ševčík  Pa,RN9,1,Czech Barum,43,480.9
119,Kowalczyk ,RC4 I,1,Czech Barum,44,482.1
35,Johansson ,RC4,1,Czech Barum,45,482.5
58,Štefan  Da,RC4 I,1,Czech Barum,46,483.2
59,Ocelka  Fi,RC4 I,1,Czech Barum,47,486.0
34,Zanin  Mat,RC4,1,Czech Barum,48,486.5
56,Widłak  Ig,RC3,1,Czech Barum,49,488.3
55,Titov  Ant,RC2,1,Czech Barum,50,491.9
31,Hansen  Vi,RC4,1,Czech Barum,51,492.7
68,Pohlídal  ,RC4 II,1,Czech Barum,52,493.3
39,Kreuter  N,RC4,1,Czech Barum,53,493.6
57,Rada  Mart,RGT,1,Czech Barum,54,494.5
66,Vaňhara  M,RC4 I,1,Czech Barum,55,494.6
