No.,Crew,Group,ss,Race,cou,time_SS_sec
5,Sesks  M. ,RC2,1,Latvia,1,870.5
2,Østberg  M,RC2,1,Latvia,2,886.9
14,Virves  Ro,RC2,1,Latvia,3,888.2
1,Paddon  Ha,RC2,1,Latvia,4,892.4
3,Llarena  E,RC2,1,Latvia,5,897.0
8,Linnamäe  ,RC2,1,Latvia,6,897.0
7,Heikkilä  ,RC2,1,Latvia,7,904.2
15,Campedelli,RC2,1,Latvia,8,905.6
6,Franceschi,RC2,1,Latvia,9,905.9
9,McErlean  ,RC2,1,Latvia,10,906.4
11,Cais  Erik,RC2,1,Latvia,11,914.4
18,Battistoll,RC2,1,Latvia,12,917.1
17,Pryce  Osi,RC2,1,Latvia,13,918.7
12,Rådström  ,RC2,1,Latvia,14,919.5
53,Terlecki  ,RC2,1,Latvia,15,925.0
4,Mabellini ,RC2,1,Latvia,16,927.9
56,Laskowski ,RC3,1,Latvia,17,928.9
22,Armstrong ,RC3,1,Latvia,18,932.4
16,László  Ma,RC2,1,Latvia,19,933.0
10,Mareš  Fil,RC2,1,Latvia,20,936.2
52,Mauro  Ale,RC2,1,Latvia,21,942.3
24,Parys  Pio,RC3,1,Latvia,22,945.0
25,Soria  Pau,RC3,1,Latvia,23,946.9
23,Matulka  J,RC3,1,Latvia,24,947.7
48,Yamamoto  ,RC4,1,Latvia,25,950.3
57,Kelly  Eam,RC3,1,Latvia,26,950.3
55,Korzun  An,RC2,1,Latvia,27,951.8
49,Otake  Nao,RC4,1,Latvia,28,955.4
54,Potiiko  S,RC2,1,Latvia,29,957.6
47,Kogure  Hi,RC4,1,Latvia,30,962.3
37,Vaher  Jas,RC4,1,Latvia,31,966.4
19,Kołtun  J.,RC2,1,Latvia,32,968.3
26,Nore  Ola ,RC4,1,Latvia,33,968.4
31,McRae  Max,RC4,1,Latvia,34,974.3
58,Fontana  M,RC4,1,Latvia,35,976.9
20,Cuzma  Bog,RC2,1,Latvia,36,980.8
27,Maior  Nor,RC4,1,Latvia,37,982.2
29,Daprà  Rob,RC4,1,Latvia,38,988.4
44,Tiits  M. ,RC4,1,Latvia,39,988.4
28,Hansen  Vi,RC4,1,Latvia,40,996.2
30,Jalava  Mi,RC4,1,Latvia,41,997.6
46,Hangodi  B,RC4,1,Latvia,42,998.0
21,Bertolotti,RC2,1,Latvia,43,1002.1
33,Zanin  Mat,RC4,1,Latvia,44,1005.3
39,Noller  Re,RC4,1,Latvia,45,1006.3
51,Uger  Serg,RC2,1,Latvia,46,1007.6
50,Tiramani  ,RC2,1,Latvia,47,1008.8
60,Orgus  Kei,RC4,1,Latvia,48,1009.3
61,Zakmans  I,RC2,1,Latvia,49,1010.5
32,Raftery  A,RC4,1,Latvia,50,1010.9
45,Kreuter  N,RC4,1,Latvia,51,1020.3
41,Kramer  A.,RC4,1,Latvia,52,1020.7
34,Schulz  Ti,RC4,1,Latvia,53,1031.6
35,Johansson ,RC4,1,Latvia,54,1040.1
36,Andersson ,RC4,1,Latvia,55,1081.4
38,Sei  Karl-,RC4,1,Latvia,56,1161.3
40,Zeiringer ,RC4,1,Latvia,57,1550.3
59,Schwarz  F,RC4,1,Latvia,58,1550.3
5,Sesks  M. ,RC2,3,Latvia,1,346.6
14,Virves  Ro,RC2,3,Latvia,2,346.9
1,Paddon  Ha,RC2,3,Latvia,3,347.4
10,Mareš  Fil,RC2,3,Latvia,4,352.1
9,McErlean  ,RC2,3,Latvia,5,352.7
7,Heikkilä  ,RC2,3,Latvia,6,353.0
3,Llarena  E,RC2,3,Latvia,7,354.3
8,Linnamäe  ,RC2,3,Latvia,8,354.3
6,Franceschi,RC2,3,Latvia,9,354.7
22,Armstrong ,RC3,3,Latvia,10,355.1
11,Cais  Erik,RC2,3,Latvia,11,355.8
2,Østberg  M,RC2,3,Latvia,12,356.0
12,Rådström  ,RC2,3,Latvia,13,357.0
4,Mabellini ,RC2,3,Latvia,14,359.1
15,Campedelli,RC2,3,Latvia,15,359.2
17,Pryce  Osi,RC2,3,Latvia,16,361.0
18,Battistoll,RC2,3,Latvia,17,362.8
16,László  Ma,RC2,3,Latvia,18,364.2
23,Matulka  J,RC3,3,Latvia,19,367.8
19,Kołtun  J.,RC2,3,Latvia,20,368.9
