No.,Crew,Group,ss,Race,cou,time_SS_sec
6,Marczyk  M,RC2,1,Poland,1,107.7
1,Paddon  Ha,RC2,1,Poland,2,108.6
22,Cais  Erik,RC2,1,Poland,3,108.8
2,Llarena  E,RC2,1,Poland,4,109.0
11,Grzyb  Grz,RC2,1,Poland,5,109.7
4,Kristensso,RC2,1,Poland,6,109.8
5,Mabellini ,RC2,1,Poland,7,109.9
12,Tempestini,RC2,1,Poland,8,109.9
7,Franceschi,RC2,1,Poland,9,110.0
9,Nucita  An,RC2,1,Poland,10,110.1
10,Heikkilä  ,RC2,1,Poland,11,110.3
16,László  Ma,RC2,1,Poland,12,110.3
14,Mareš  Fil,RC2,1,Poland,13,110.4
19,Byśkiniewi,RC2,1,Poland,14,110.6
15,Tidemand  ,RC2,1,Poland,15,110.7
3,Østberg  M,RC2,1,Poland,16,110.8
21,McErlean  ,RC2,1,Poland,17,110.8
17,Plachytka ,RC2,1,Poland,18,110.9
24,Campedelli,RC2,1,Poland,19,111.0
23,Pryce  Osi,RC2,1,Poland,20,111.1
25,Rådström  ,RC2,1,Poland,21,111.9
8,Sesks  M. ,RC2,1,Poland,22,112.0
26,Kołtun  J.,RC2,1,Poland,23,112.5
31,Armstrong ,RC3,1,Poland,24,114.2
32,Parys  Pio,RC3,1,Poland,25,115.5
60,Szeja  Jar,RC2,1,Poland,26,115.8
29,Cuzma  Bog,RC2,1,Poland,27,116.2
34,Soria  Pau,RC3,1,Poland,28,116.5
33,Matulka  J,RC3,1,Poland,29,116.9
28,Somaschini,RC2,1,Poland,30,117.5
30,Bertolotti,RC2,1,Poland,31,121.5
41,Johansson ,RC4,1,Poland,32,121.5
37,McRae  Max,RC4,1,Poland,33,121.9
35,Daprà  Rob,RC4,1,Poland,34,122.3
54,Otake  Nao,RC4,1,Poland,35,122.4
43,Maior  Nor,RC4,1,Poland,36,122.5
40,Herczig  P,RC4,1,Poland,37,122.6
45,Nore  Ola ,RC4,1,Poland,38,123.4
47,Schulz  Ti,RC4,1,Poland,39,123.4
38,Andersson ,RC4,1,Poland,40,123.9
44,Noller  Re,RC4,1,Poland,41,124.4
56,Nowak  Mar,RC4,1,Poland,42,124.6
42,Kramer  A.,RC4,1,Poland,43,124.7
55,Kogure  Hi,RC4,1,Poland,44,125.1
58,Jocz  Tymo,RC4,1,Poland,45,125.3
62,Ravenščak ,RC3,1,Poland,46,125.5
50,Zeiringer ,RC4,1,Poland,47,125.8
48,Spitalier ,RC4,1,Poland,48,125.9
36,Jalava  Mi,RC4,1,Poland,49,126.4
49,Zanin  Mat,RC4,1,Poland,50,126.4
39,Hansen  Vi,RC4,1,Poland,51,126.6
57,Rossi  Ghj,RC4,1,Poland,52,127.6
59,Brugger  C,RC4,1,Poland,53,128.1
51,Kreuter  N,RC4,1,Poland,54,129.0
63,Domin  Mat,RC4,1,Poland,55,129.3
46,Raftery  A,RC4,1,Poland,56,131.8
52,Hangodi  B,RC4,1,Poland,57,132.0
61,Uger  Serg,RC2,1,Poland,58,157.8
53,Yamamoto  ,RC4,1,Poland,59,721.5
8,Sesks  M. ,RC2,2,Poland,1,591.9
1,Paddon  Ha,RC2,2,Poland,2,595.1
10,Heikkilä  ,RC2,2,Poland,3,603.4
21,McErlean  ,RC2,2,Poland,4,603.9
