No.,Crew,Group,ss,Race,cou,time_SS_sec
24,Crugnola  ,RC2,1,Roma Capitale,1,57.2
4,Lukyanuk  ,RC2,1,Roma Capitale,2,57.5
59,Aragno  F.,RC2,1,Roma Capitale,3,57.7
21,Basso  G. ,RC2,1,Roma Capitale,4,57.8
3,Mabellini ,RC2,1,Roma Capitale,5,58.1
8,Bonato  Yo,RC2,1,Roma Capitale,6,58.3
23,Andolfi  F,RC2,1,Roma Capitale,7,58.3
15,Campedelli,RC2,1,Roma Capitale,8,58.8
1,Paddon  Ha,RC2,1,Roma Capitale,9,59.0
5,Sesks  M. ,RC2,1,Roma Capitale,10,59.1
9,Mareš  Fil,RC2,1,Roma Capitale,11,59.2
28,Scattolon ,RC2,1,Roma Capitale,12,59.3
56,Bottarelli,RC2,1,Roma Capitale,13,59.5
18,Battistoll,RC2,1,Roma Capitale,14,59.8
58,Avbelj  Bo,RC2,1,Roma Capitale,15,59.8
10,Wagner  Si,RC2,1,Roma Capitale,16,60.0
11,Joona  Lau,RC2,1,Roma Capitale,17,60.4
6,Franceschi,RC2,1,Roma Capitale,18,60.5
32,Armstrong ,RC3,1,Roma Capitale,19,60.5
2,Llarena  E,RC2,1,Roma Capitale,20,60.8
19,László  Ma,RC2,1,Roma Capitale,21,61.3
16,Csomós  Mi,RC2,1,Roma Capitale,22,61.5
33,Andreucci ,RC3,1,Roma Capitale,23,61.5
25,Mazzocchi ,RC2,1,Roma Capitale,24,61.8
70,Mauri  Mau,RC2,1,Roma Capitale,25,61.8
14,Grzyb  Grz,RC2,1,Roma Capitale,26,61.9
76,Tiramani  ,RC2,1,Roma Capitale,27,61.9
26,Rusce  Ant,RC2,1,Roma Capitale,28,62.0
12,Tempestini,RC2,1,Roma Capitale,29,62.1
73,Caires  Mi,RC2,1,Roma Capitale,30,62.1
38,McRae  Max,RC4,1,Roma Capitale,31,62.2
27,von Thurn ,RC2,1,Roma Capitale,32,62.5
7,Heikkilä  ,RC2,1,Roma Capitale,33,62.6
20,O'Brien  P,RC2,1,Roma Capitale,34,62.6
57,Ferrarotti,RC2,1,Roma Capitale,35,62.9
