,,,ss_time,ss_time,ss_time,ss_time
ss,,,1,2,3,4
No,Crew,Gr/Cl,,,,
#1,Tsouloftas Alexandros  - Elia S. Volkswagen Polo GTI R5,C1,7:40.90,5:25.78,-,-
#10,Iliopoulos P.  - Tzitzikalakis A. Mitsubishi Lancer Evo IX,C2,8:55.28,-,-,-
#101,Halivelakis A.  - Papageorgiou A. Ford Escort RS 2000 MKII,3 2000,8:51.11,7:07.18,9:36.39,7:03.71
#102,Paradissis Giorgos  - Bogdanos S. Ford Escort RS 1800 MKII,3,9:24.72,7:25.23,9:49.28,7:06.48
#103,Halkias Efthimios  - Komnos Nikos Nissan Sunny,4,9:16.37,7:07.27,9:30.27,7:11.70
#104,Amaxopoulos D.  - Moraiti H. Toyota Corolla KE30,2 1600,9:35.22,7:13.54,9:45.99,7:06.16
#105,Stafilopatis M.  - Chatzirigas G. Ford Escort RS 1800 MKII,3,9:53.88,6:56.23,10:23.36,6:46.12
#109,Kyriakopoulos G.  - Tripintis D. Peugeot 205,4,10:04.04,7:15.57,9:51.66,7:22.41
#110,Pierroutsakos G.  - Mataliotakis A. Peugeot 205 Rallye,4 -1300,10:17.36,-,-,-
#111,Nomikos Mihalis  - Trovas K. Toyota Starlet KP60,4,10:22.04,7:31.27,10:19.36,7:39.13
#112,Lambrou Karolos  - Kollias Ioannis Alpine-Renault A110 1300,1,10:47.98,8:25.71,11:54.91,-
#113,Papadimitriou K.  - Sigalas M. Toyota Starlet EP71,4,9:49.31,7:31.07,9:55.70,7:15.02
#114,Melas D.  - Vardaxis S. Porsche 911,3,10:48.61,7:39.51,12:24.60,7:20.62
#115,Georgakopoulos K.  - Kontos K. Toyota Corolla 1600 GT 2 Door AE86,4 1600,9:43.84,7:32.13,9:44.44,7:22.92
#116,Kotsopoulos A.  - Verikakis K. Volkswagen Golf II GTi,4 2000,11:47.28,8:11.08,11:52.54,7:54.84
#117,Kansos P.  - Grigoropoulos A. Volkswagen Golf II GTi 16V,4,12:02.56,-,-,-
#118,Karagrigoris A.  - Karathanassis K. Toyota Corolla AE86,4,11:05.03,7:54.36,10:27.58,7:48.72
#12,Xanthakos M.  - Karathanassis N. Subaru Impreza STi N12,C2,9:16.18,6:59.82,8:46.08,6:25.99
#120,Mathios Nikolaos  - Zelianeos L. Toyota Starlet 1300 KP61,3,14:17.15,10:08.55,14:38.63,10:33.05
#121,Vassilopoulos P.  - Stathakos D. Ford Escort MK1,2,11:38.52,8:15.15,11:21.49,8:20.95
#15,Lymperis A.  - Karagounis E. Subaru Impreza STi N12,C2,10:05.25,7:34.17,9:16.50,7:12.18
#16,Dimopoulos Antonis  - Skaltsas E. Toyota Starlet KP60,C4 F2,10:17.20,-,-,-
#18,Antoniou K.  - Bourazas E. Ford Escort MK2,C3 F2,9:50.97,7:04.00,8:57.94,6:36.01
#19,Chatzigakis G.  - Chatzigakis C. Ford Escort MK2,C3 F2,10:12.12,6:51.80,9:37.49,6:47.40
#2,Kehagias Giorgos  - Kouzionis C. Škoda Fabia Rally2 evo,C1,8:04.41,5:36.61,7:28.75,5:30.79
#20,Lefkaditis Savvas  - Akratos E. Peugeot 208 Rally4,C5 F2,9:04.39,6:19.13,8:30.37,5:59.55
#21,Milonas K.  - Paraperas N. Toyota Corolla FX AE101,C4 F2,10:06.04,7:00.16,10:42.86,7:05.11
#22,Agathokleous George  - Zakou S. Peugeot 208 Rally4,C5 F2,9:39.04,6:59.21,9:00.40,6:43.10
#23,Sassos  - Vavas Theodoros Peugeot 206,C5 F2,9:37.38,6:55.39,8:43.59,6:27.72
#24,Kalamaras Teo  - Psaraki Vicky Renault Clio RS,C3 F2,10:38.57,7:35.08,9:52.41,7:14.53
#25,Basdelis Andreas  - Zotiadis K. Volkswagen Golf II,C3 F2,10:00.64,7:29.82,9:35.40,7:13.22
#26,Panoutsos T.  - Stavropoulos D. Ford Fiesta R2,C5 F2,9:40.54,6:58.71,9:05.71,-
#27,Tsakalos Theodoros  - Kotronis A. Ford Fiesta R2,C5 F2,9:54.43,6:53.13,8:42.22,6:28.92
#28,Karotsieris Andreas  - Stergiou A. Peugeot 208 R2,C5 F2,15:43.22,7:06.15,10:45.30,6:45.74
#29,Athanasoulas S.  - Basioukas V. Ford Fiesta Rally4,C5 F2,9:48.63,7:08.64,-,-
#3,Velanis Vassileios  - Velanis I. Škoda Fabia R5,C1,12:13.31,-,-,-
#30,Kanellopoulos A.  - Tsadaris N. Peugeot 208 Rally4,C5 F2,11:08.81,7:51.29,10:34.67,7:51.36
#31,Delaportas Giorgos  - Panaritis E. Ford Fiesta R2,C5 F2,10:30.71,7:52.97,9:29.97,7:12.48
#32,Kokkinos Stelios  - Kokkinos P. Toyota Starlet 1300 KP61,C4 F2,11:24.74,7:21.56,10:39.31,8:17.72
#33,Mavraganis Aristeidis  - Katsas A. Toyota Corolla AE92,C4 F2,10:57.69,7:32.03,11:08.74,7:13.22
#34,Gerodimos Giorgos  - Grigoriou S. Ford Fiesta R1,C6 F2,12:07.95,7:42.96,10:27.44,7:12.41
#35,Papadopoulos Ioannis  - Ahtidas E. Peugeot 206 XS,C5 F2,11:14.64,8:23.67,10:32.97,8:13.06
#36,Gazetas Dionissis  - Kontos Nikos Toyota Yaris,C6 F2,10:36.39,7:14.69,9:57.80,7:04.65
#37,Agelis Elias  - Kougias Vassileios Toyota Yaris,C6 F2,10:23.05,7:29.79,9:24.95,11:30.29
#38,Giannakopoulos I.  - Foteinogiannopoulos I. Toyota Yaris,C6 F2,10:11.93,7:47.65,9:39.86,7:15.82
#39,Kourtessis Haralambos  - Pappas N. Nissan Micra K11,C6 F2,11:41.56,7:50.98,10:42.76,7:26.92
