Pos.,No,Crew,Gr/Cl,ss_time,Diff,Speed,ss
1,#1,Tsouloftas Alexandros  - Elia S. Volkswagen Polo GTI R5,C1,7:40.90,,84.6,1
2,#2,Kehagias Giorgos  - Kouzionis C. Škoda Fabia Rally2 evo,C1,8:04.41,+23.51 +  23.51,80.5 2.17,1
3,#5,Panteli Petros  - Laos Pambos Citroën DS3 R5,C1,8:21.38,+40.48 +  16.97,77.8 3.74,1
4,#6,Paradissis P.  - Fragkou M. Mitsubishi Lancer Evo IX,C2,8:31.62,+50.72 +  10.24,76.2 4.68,1
5,#101,Halivelakis A.  - Papageorgiou A. Ford Escort RS 2000 MKII,3 2000,8:51.11,+1:10.21 +  19.49,73.4 6.48,1
6,#10,Iliopoulos P.  - Tzitzikalakis A. Mitsubishi Lancer Evo IX,C2,8:55.28,+1:14.38 +  4.17,72.8 6.87,1
7,#4,Chatzimarkos P.  - Tsaousoglou M. Škoda Fabia R5,C1,8:58.36,+1:17.46 +  3.08,72.4 7.15,1
8,#7,Ismailos Panos  - Soukoulis K. Mitsubishi Lancer Evo IX,C2,9:01.84,+1:20.94 +  3.48,72.0 7.47,1
9,#20,Lefkaditis Savvas  - Akratos E. Peugeot 208 Rally4,C5 F2,9:04.39,+1:23.49 +  2.55,71.6 7.71,1
10,#12,Xanthakos M.  - Karathanassis N. Subaru Impreza STi N12,C2,9:16.18,+1:35.28 +  11.79,70.1 8.80,1
11,#103,Halkias Efthimios  - Komnos Nikos Nissan Sunny,4,9:16.37,+1:35.47 +  0.19,70.1 8.82,1
12,#102,Paradissis Giorgos  - Bogdanos S. Ford Escort RS 1800 MKII,3,9:24.72,+1:43.82 +  8.35,69.0 9.59,1
13,#8,Davaris Nikos  - Makrinos Manolis Mitsubishi Lancer Evo IX,C2,9:31.96,+1:51.06 +  7.24,68.2 10.3,1
14,#104,Amaxopoulos D.  - Moraiti H. Toyota Corolla KE30,2 1600,9:35.22,+1:54.32 +  3.26,67.8 10.6,1
15,#23,Sassos  - Vavas Theodoros Peugeot 206,C5 F2,9:37.38,+1:56.48 +  2.16,67.5 10.8,1
16,#22,Agathokleous George  - Zakou S. Peugeot 208 Rally4,C5 F2,9:39.04,+1:58.14 +  1.66,67.3 10.9,1
17,#26,Panoutsos T.  - Stavropoulos D. Ford Fiesta R2,C5 F2,9:40.54,+1:59.64 +  1.50,67.2 11.1,1
18,#115,Georgakopoulos K.  - Kontos K. Toyota Corolla 1600 GT 2 Door AE86,4 1600,9:43.84,+2:02.94 +  3.30,66.8 11.4,1
19,#29,Athanasoulas S.  - Basioukas V. Ford Fiesta Rally4,C5 F2,9:48.63,+2:07.73 +  4.79,66.2 11.8,1
20,#113,Papadimitriou K.  - Sigalas M. Toyota Starlet EP71,4,9:49.31,+2:08.41 +  0.68,66.2 11.9,1
21,#45,Vorrias Ioannis  - Bakas A. Mitsubishi Pajero,T1,9:49.38,+2:08.48 +  0.07,66.2 11.9,1
22,#18,Antoniou K.  - Bourazas E. Ford Escort MK2,C3 F2,9:50.97,+2:10.07 +  1.59,66.0 12.0,1
23,#105,Stafilopatis M.  - Chatzirigas G. Ford Escort RS 1800 MKII,3,9:53.88,+2:12.98 +  2.91,65.6 12.3,1
24,#27,Tsakalos Theodoros  - Kotronis A. Ford Fiesta R2,C5 F2,9:54.43,+2:13.53 +  0.55,65.6 12.3,1
25,#9,Simetra  - Pallas Apostolos Mitsubishi Lancer Evo IX,C2,9:55.91,+2:15.01 +  1.48,65.4 12.5,1
26,#44,Berssis Evangelos  - Kalfas P. Toyota Hilux,T1,9:57.67,+2:16.77 +  1.76,65.2 12.6,1
27,#25,Basdelis Andreas  - Zotiadis K. Volkswagen Golf II,C3 F2,10:00.64,+2:19.74 +  2.97,64.9 12.9,1
28,#109,Kyriakopoulos G.  - Tripintis D. Peugeot 205,4,10:04.04,+2:23.14 +  3.40,64.5 13.2,1
29,#15,Lymperis A.  - Karagounis E. Subaru Impreza STi N12,C2,10:05.25,+2:24.35 +  1.21,64.4 13.3,1
30,#21,Milonas K.  - Paraperas N. Toyota Corolla FX AE101,C4 F2,10:06.04,+2:25.14 +  0.79,64.3 13.4,1
31,#38,Giannakopoulos I.  - Foteinogiannopoulos I. Toyota Yaris,C6 F2,10:11.93,+2:31.03 +  5.89,63.7 14.0,1
32,#19,Chatzigakis G.  - Chatzigakis C. Ford Escort MK2,C3 F2,10:12.12,+2:31.22 +  0.19,63.7 14.0,1
33,#16,Dimopoulos Antonis  - Skaltsas E. Toyota Starlet KP60,C4 F2,10:17.20,+2:36.30 +  5.08,63.2 14.4,1
34,#110,Pierroutsakos G.  - Mataliotakis A. Peugeot 205 Rallye,4 -1300,10:17.36,+2:36.46 +  0.16,63.2 14.5,1
35,#41,Englezos T.  - Grigoriadis K. Toyota Yaris,C6 F2,10:21.69,+2:40.79 +  4.33,62.7 14.9,1
36,#111,Nomikos Mihalis  - Trovas K. Toyota Starlet KP60,4,10:22.04,+2:41.14 +  0.35,62.7 14.9,1
37,#37,Agelis Elias  - Kougias Vassileios Toyota Yaris,C6 F2,10:23.05,+2:42.15 +  1.01,62.6 15.0,1
38,#31,Delaportas Giorgos  - Panaritis E. Ford Fiesta R2,C5 F2,10:30.71,+2:49.81 +  7.66,61.8 15.7,1
39,#36,Gazetas Dionissis  - Kontos Nikos Toyota Yaris,C6 F2,10:36.39,+2:55.49 +  5.68,61.3 16.2,1
40,#24,Kalamaras Teo  - Psaraki Vicky Renault Clio RS,C3 F2,10:38.57,+2:57.67 +  2.18,61.1 16.4,1
41,#112,Lambrou Karolos  - Kollias Ioannis Alpine-Renault A110 1300,1,10:47.98,+3:07.08 +  9.41,60.2 17.3,1
42,#114,Melas D.  - Vardaxis S. Porsche 911,3,10:48.61,+3:07.71 +  0.63,60.1 17.3,1
43,#43,Pavli Marialena  - Papadaki V. Nissan Micra K11,C6 F2,10:50.79,+3:09.89 +  2.18,59.9 17.5,1
