ss_time,ss_time,ss_time
1,2,3
9:59.66,9:46.60,9:50.43
9:28.07,9:19.87,9:24.22
10:24.29,10:10.07,10:05.54
17:00.77,10:15.80,10:11.20
11:47.60,14:03.34,-
11:08.30,10:56.41,10:54.67
10:54.93,10:46.44,10:38.32
11:28.96,11:25.23,11:05.83
10:43.31,10:26.00,10:20.36
11:09.57,10:52.64,12:26.82
12:02.94,11:42.22,11:23.80
11:17.38,10:47.48,10:42.73
11:42.00,-,-
11:30.67,11:11.36,11:13.21
12:07.97,11:39.03,11:45.18
11:52.15,11:21.04,11:21.12
12:32.43,12:00.17,11:47.57
11:50.80,11:20.89,11:18.87
12:56.82,12:25.30,12:16.34
12:11.49,-,-
14:21.44,12:40.89,-
12:22.66,11:29.04,11:22.25
12:50.75,-,-
11:38.46,10:56.80,10:57.52
11:22.10,10:56.35,11:13.25
12:17.30,11:40.50,-
12:29.18,-,-
12:35.50,11:37.02,12:05.14
12:52.31,12:12.39,12:02.98
12:45.15,11:58.85,12:07.38
12:44.07,11:39.05,11:40.08
14:24.60,21:53.87,-
12:45.35,12:36.83,12:26.85
11:53.07,11:41.66,-
12:20.93,11:31.16,-
11:43.62,11:46.23,11:17.37
11:50.72,12:00.95,-
11:49.46,11:33.92,11:36.45
11:56.23,11:44.33,11:34.25
12:14.76,12:16.67,11:48.34
11:39.13,11:19.53,11:21.03
12:20.38,12:13.26,11:59.54
12:52.65,11:56.90,11:45.55
12:59.34,12:24.99,11:39.65
13:50.90,13:58.38,13:58.39
12:27.93,12:33.67,12:40.12
13:08.35,12:35.86,12:30.08
13:14.79,-,-
12:50.51,12:28.14,12:38.71
