Pos.,No,Crew,Gr/Cl,ss_time,Diff,Speed,ss
1.0,#3,Tsouloftas Alexandros  - Elia S. Volkswagen Polo GTI R5,C1,9:28.07,,75.9,1
2.0,#2,Panteli Petros  - Laos Pambos Citroën DS3 R5,C1,9:59.66,+31.59 +  31.59,71.9 2.64,1
3.0,#4,Paradissis P.  - Poimenidis K. Mitsubishi Lancer Evo IX,C2,10:24.29,+56.22 +  24.63,69.0 4.70,1
4.0,#11,Panteli Chrysostomos  - Kougias V. Peugeot 208 R2,C5 F2,10:43.31,+1:15.24 +  19.02,67.0 6.29,1
5.0,#9,Tsakalos Theodoros  - Kotronis A. Ford Fiesta R2,C5 F2,10:54.93,+1:26.86 +  11.62,65.8 7.26,1
6.0,#7,Davaris Nikos  - Makrinos Manolis Mitsubishi Lancer Evo IX,C2,11:08.30,+1:40.23 +  13.37,64.5 8.37,1
7.0,#12,Antoniou K.  - Bourazas E. Ford Escort MK2,C3 F2,11:09.57,+1:41.50 +  1.27,64.4 8.48,1
8.0,#15,Christodoulou A.  - Karanikolas E. Mitsubishi Lancer Evo IX,C2,11:17.38,+1:49.31 +  7.81,63.6 9.13,1
9.0,#28,Amoutzas Giorgos  - Eliopoulos G. Renault Clio RS,C3 F2,11:22.10,+1:54.03 +  4.72,63.2 9.53,1
10.0,#10,Agathokleous George  - Zakou S. Peugeot 208 Rally4,C5 F2,11:28.96,+2:00.89 +  6.86,62.5 10.1,1
11.0,#17,Chatzigakis G.  - Chatzigakis C. Ford Escort MK2,C3 F2,11:30.67,+2:02.60 +  1.71,62.4 10.2,1
12.0,#27,Delaportas Giorgos  - Panaritis E. Ford Fiesta R2,C5 F2,11:38.46,+2:10.39 +  7.79,61.7 10.9,1
13.0,#106,Christodoulou A.  - Samaras A. Lancia 037 Rally,4,11:39.13,+2:11.06 +  0.67,61.6 11.0,1
14.0,#16,Rigas Giorgos  - Mougios Theodoros Ford Escort MK2,C3 F2,11:42.00,+2:13.93 +  2.87,61.4 11.2,1
15.0,#101,Halivelakis A.  - Papageorgiou A. Ford Escort RS 2000 MKII,3 2000,11:43.62,+2:15.55 +  1.62,61.2 11.3,1
16.0,#6,Xanthakos M.  - Karathanassis N. Subaru Impreza STi N12,C2,11:47.60,+2:19.53 +  3.98,60.9 11.7,1
17.0,#103,Paradissis Giorgos  - Stergiou P. Ford Escort RS 1800 MKII,3 2000,11:49.46,+2:21.39 +  1.86,60.7 11.8,1
18.0,#102,Halkias Efthimios  - Komnos Nikos Nissan Violet GT,3 2000,11:50.72,+2:22.65 +  1.26,60.6 11.9,1
19.0,#21,Athanasoulas S.  - Basioukas V. Ford Fiesta Rally4,C5 F2,11:50.80,+2:22.73 +  0.08,60.6 11.9,1
20.0,#19,Manetas Giorgos  - Adamopoulos A. Toyota Corolla AE111,C4 F2,11:52.15,+2:24.08 +  1.35,60.5 12.0,1
21.0,#37,Berssis Evangelos  - Exarchos K. Toyota Hilux,T,11:53.07,+2:25.00 +  0.92,60.4 12.1,1
22.0,#104,Amaxopoulos D.  - Moraiti H. Toyota Corolla KE30,2 1600,11:56.23,+2:28.16 +  3.16,60.2 12.4,1
23.0,#14,Basdelis Andreas  - Zotiadis K. Volkswagen Golf II,C3 F2,12:02.94,+2:34.87 +  6.71,59.6 12.9,1
24.0,#18,Kalamaras Teo  - Psaraki Vicky Renault Clio RS,C3 F2,12:07.97,+2:39.90 +  5.03,59.2 13.4,1
25.0,#23,Avgeris Giorgos  - Andritsakis K. Seat Ibiza 2.0 GTi 16V,C3 F2,12:11.49,+2:43.42 +  3.52,58.9 13.7,1
26.0,#105,Koutsikos P.  - Petropoulos N. Toyota Starlet KP60,4 1300,12:14.76,+2:46.69 +  3.27,58.6 13.9,1
27.0,#29,Gazetas D.  - Papadimitriou K. Toyota Yaris,C6 F2,12:17.30,+2:49.23 +  2.54,58.4 14.1,1
28.0,#107,Kassidopoulos G.  - Babalis N. Toyota Starlet KP60,3 1300,12:20.38,+2:52.31 +  3.08,58.2 14.4,1
29.0,#38,Vorrias Ioannis  - Sioutis Petros Mitsubishi Pajero Evolution,T1,12:20.93,+2:52.86 +  0.55,58.2 14.4,1
30.0,#25,Manouskos Elias  - Manouskos N. Toyota Yaris,C6 F2,12:22.66,+2:54.59 +  1.73,58.0 14.6,1
31.0,#111,Vassilopoulos P.  - Stathakos D. Ford Escort MK1,2 2000,12:27.93,+2:59.86 +  5.27,57.6 15.0,1
32.0,#30,Giannakopoulos I.  - Foteinogiannopoulos I. Toyota Yaris,C6 F2,12:29.18,+3:01.11 +  1.25,57.5 15.1,1
33.0,#20,Mavraganis A.  - Chreppas N. Toyota Corolla AE92,C4 F2,12:32.43,+3:04.36 +  3.25,57.3 15.4,1
34.0,#31,Englezos T.  - Grigoriadis K. Toyota Yaris,C6 F2,12:35.50,+3:07.43 +  3.07,57.0 15.7,1
35.0,#34,Kanellopoulos A.  - Spirou K. Peugeot 208 Rally4,C5 F2,12:44.07,+3:16.00 +  8.57,56.4 16.4,1
36.0,#33,Kotsadam Lambros  - Kotsadam N. Toyota Starlet EP91,C6 F2,12:45.15,+3:17.08 +  1.08,56.3 16.5,1
37.0,#36,Pavli Marialena  - Papadaki V. Nissan Micra K11,C6 F2,12:45.35,+3:17.28 +  0.20,56.3 16.5,1
38.0,#114,Dodos Giorgos  - Intzoglou Nikos Nissan Pulsar,4 1600,12:50.51,+3:22.44 +  5.16,55.9 16.9,1
39.0,#26,Bakas Alexandros  - Massialas V. Ford Fiesta R2,C5 F2,12:50.75,+3:22.68 +  0.24,55.9 16.9,1
40.0,#32,Kourtessis Haralambos  - Moukas E. Nissan Micra K11,C6 F2,12:52.31,+3:24.24 +  1.56,55.8 17.1,1
41.0,#108,Melas D.  - Vardaxis S. Porsche 911 Carrera 3.0,2,12:52.65,+3:24.58 +  0.34,55.8 17.1,1
42.0,#22,Koutsoukos A.  - Kotsopoulos A. Toyota Starlet EP91,C4 F2,12:56.82,+3:28.75 +  4.17,55.5 17.4,1
