,,,,time,time,time,time,time
ss,,,,1,2,3,4,5
No,Crew,GR,Cl,,,,,
1,Tsouloftas Alexandros Elia Stelios,C1,R5R2,3:03.52,14:00.45,16:09.58,10:42.51,16:10.14
2,Kehagias Giorgos Kouzionis Christos,C1,R5R2,3:12.79,11:27.41,16:32.13,15:09.11,16:27.64
3,Papadimitriou Ioannis Petropoulos Nikolaos,C1,R5R2,3:05.68,10:58.94,16:38.39,11:11.27,16:30.62
4,Serderidis Jourdan Malfoy Andy,C1,R5R2,3:20.83,11:48.13,17:04.71,13:39.39,17:02.52
5,Panteli Petros Laos Pambos,C1,R5R2,3:19.70,11:42.42,17:43.42,11:49.43,17:06.40
6,Nicolaou Phivos Zakou Savvas,C2,N4,3:38.39,12:43.40,19:55.46,12:47.27,18:03.18
7,Kirkos Panagiotis Polizois Giorgos,C2,N4,3:17.10,11:55.73,17:16.08,11:37.29,16:54.02
8,"""JJ"" Stefanis Konstantinos",C1,R5R2,3:50.22,12:23.89,17:50.77,12:26.24,17:55.36
9,Vassilakis George Krawszik Tom,C1,R5R2,3:38.50,13:23.52,20:09.57,14:15.07,25:25.70
10,Karanikolas Epaminondas Kakavas Giorgos,C5,R4B,3:33.28,-,-,-,-
11,Lefkaditis Savvas Akratos Evangelos,C5,R4B,3:25.16,12:18.39,18:22.62,12:09.16,-
12,Chatzimarkos Paschalis Tsaousoglou Marios,C5,R4B,3:33.40,12:13.44,18:11.29,12:04.74,18:08.19
14,Polykarpou Panikos Votsis George,C5,R4B,3:23.18,12:00.35,-,-,-
15,Davaris Nikos Makrinos Manolis,C2,N4,3:49.37,13:50.36,19:21.96,13:56.81,19:30.21
16,Dimopoulos Antonis Skaltsas Efthimios,C4,E10,3:31.01,12:41.18,19:03.10,13:59.06,18:30.57
17,Kafantaris Elias Kontos Nikos,C2,A8,3:38.86,-,-,-,-
18,Stamatopoulos Fotis Sainis Dimitris,C2,N4,3:36.27,13:17.94,19:14.27,-,-
19,Zygogiannis Konstantinos Tsellos Nikolaos,C2,N4,3:41.24,13:06.27,18:48.28,13:22.85,18:36.76
20,Yiangou Yiangos Christodoulakis Andreas,C2,N4,4:16.93,14:30.22,22:09.49,14:33.14,21:27.92
21,Amoutzas Giorgos Eliopoulos Giorgos,C3,A7,3:41.23,12:58.77,18:50.19,-,-
22,Delaportas Giorgos Panaritis Evangelos,C5,R4B,4:14.59,13:37.28,19:34.71,16:37.70,20:27.75
23,Halkias Efthimios Komnos Nikos,C3,E11,4:05.83,13:59.96,20:44.23,14:36.25,27:15.75
24,Rigas Giorgos Georgiadis Ioannis,C3,E11,3:55.17,14:04.36,20:06.61,13:59.16,20:20.97
25,Chatzigakis Giorgos Tolias Ioannis,C3,E11,3:54.63,13:46.39,19:59.18,14:24.15,19:47.71
26,Yfantis Vassileios Mountzouris Aris,C3,E11,4:22.74,14:31.20,20:17.61,14:35.24,20:02.21
27,Milonas Konstantinos Paraperas Nikolaos,C4,E10,3:50.86,13:46.37,19:29.93,13:37.78,19:25.32
28,Giotis Ioannis Farmakis Chrístos,C4,E10,3:47.92,13:21.45,20:10.83,13:31.66,20:00.00
29,Argiriou Kostas Laskos Stamatis,C4,E10,4:03.92,-,-,-,-
30,Kalamaras Teo Psaraki Vicky,C3,A7,4:04.74,14:50.58,20:17.28,14:33.01,20:17.51
31,Pantieras Stamatis Kourtidou Vasso,C6,A5,3:53.50,-,-,-,-
32,Manouskos Elias Manouskos Nikolaos,C6,A5,3:55.91,14:20.13,20:01.39,14:05.20,19:45.78
33,Stavropoulos Dimitris Nikolakopoulos Ioannis,C6,A5,4:04.69,14:09.33,20:18.53,14:07.20,20:09.73
34,Panagiotopoulos Manolis Dikopoulou Chrissoula,C6,A5,4:22.68,14:02.34,20:14.61,14:03.46,20:01.82
35,Sotiropoulos Nikolaos Moukas Evangelos,C6,A5,4:08.21,14:20.79,29:05.33,-,-
36,Andrikopoulos Panagiotis Andrikopoulos Filippos,C5,A6,4:53.13,16:49.32,24:47.92,17:37.83,23:32.87
37,Giokaris Stefanos Defkalion Mourtzoukos Giorgos,C6,A5,4:20.25,14:29.66,20:49.50,18:31.59,26:02.13
101,Halivelakis Alexandros Papageorgiou Athanasios,3,D3,3:46.24,13:19.07,20:08.09,-,-
102,Christodoulou Alexandros Samaras Athanassios,4,E6,3:54.78,13:32.91,19:48.79,-,-
103,Paradissis Giorgos Stergiou Ploutarchos,3,D3,4:06.79,13:56.64,-,-,-
104,Amaxopoulos Dimitrios Moraiti Hara,2,C2,4:01.08,14:03.74,21:16.32,-,-
105,Tsalamatas Ioannis Babalis Nikos,3,D3,4:02.07,14:29.71,20:19.98,-,-
106,Manoussaridis Harris Papageorgiou Giorgos,C3,E11,4:24.09,15:59.38,-,-,-
107,Papadimitriou Konstantinos Sigalas Manos,4,E3,4:11.17,13:47.05,20:51.44,-,-
108,Georgakopoulos Konstantinos Kontos Kostas,4,E2,4:20.94,14:45.95,21:06.55,-,-
109,Kassidopoulos Giorgos Pallas Apostolos,4,E2,4:30.21,15:52.17,21:22.46,-,-
110,Nomikos Mihalis Mouzakis Nikos,4,E1,4:02.98,14:44.68,-,-,-
111,Athanasoulas Athanasios Basioukas Vasilis,3,D1,4:13.37,14:21.06,20:58.89,-,-
112,Melas Dimitris-Pavlos Vardaxis Stathis,2,C5,4:02.46,14:00.07,20:21.67,-,-
113,Vassilopoulos Petros Stathakos Dimitris,2,C3,4:39.26,15:50.72,22:49.35,-,-
114,"Kalaitzian Ioannis ""Marianna Kalogiratou""",4,E6,4:11.64,15:23.79,-,-,-
115,Dodos Giorgos Intzoglou Nikos,4,E2,4:15.16,15:04.61,32:46.87,-,-
116,Kofinas Konstantinos Kofinas Andreas,4,E2,4:10.06,14:50.72,21:39.07,-,-
117,Kotsopoulos Antonis Kollias Ioannis,4,E3,4:28.34,17:17.44,23:13.89,-,-
118,Kansos Patroklos Grigoropoulos Andreas,4,E3,5:10.20,17:42.51,24:25.59,-,-
119,Antonopoulos Pantelis Kallitsi Maria,3,D3,4:52.48,19:20.34,24:29.16,-,-
