Pos.,No,Crew,Vehicle,GR,Cl,infos,time,ss
1,1,Tsouloftas Alexandros Elia Stelios,Volkswagen Polo GTI R5,C1,R5R2,3:03.52  126.13 knYh,3:03.52,1
2,3,Papadimitriou Ioannis Petropoulos Nikolaos,Škoda Fabia Rally2 evo,C1,R5R2,3:05.68  124.67 knYh,3:05.68,1
3,2,Kehagias Giorgos Kouzionis Christos,Škoda Fabia Rally2 evo,C1,R5R2,3:12.79  120.07 krrvn,3:12.79,1
4,7,Kirkos Panagiotis Polizois Giorgos,Mitsubishi Lancer Evo IX,C2,N4,3:17.10  117.44 knYh,3:17.10,1
5,5,Panteli Petros Laos Pambos,Citroën DS3 R5,C1,R5R2,3:19.70  115.91 knYh,3:19.70,1
6,4,Serderidis Jourdan Malfoy Andy,Škoda Fabia Rally2 evo,C1,R5R2,3:20.83  115 26 knYh,3:20.83,1
7,14,Polykarpou Panikos Votsis George,Peugeot 208 Rally4,C5,R4B,3:23.18  113.93 knYh,3:23.18,1
8,11,Lefkaditis Savvas Akratos Evangelos,Peugeot 208 Rally4,C5,R4B,3:25.16  11283 knYh,3:25.16,1
9,16,Dimopoulos Antonis Skaltsas Efthimios,Toyota Starlet KP60,C4,E10,3:31.01  109.70 knYh,3:31.01,1
10,10,Karanikolas Epaminondas Kakavas Giorgos,Ford Fiesta Rally4,C5,R4B,3:33.28  108.53 knYh,3:33.28,1
11,12,Chatzimarkos Paschalis Tsaousoglou Marios,Peugeot 208 Rally4,C5,R4B,3:33.40  108.47 knYh,3:33.40,1
12,18,Stamatopoulos Fotis Sainis Dimitris,Mitsubishi Lancer Evo IX,C2,N4,3:36.27  107.03 knYh,3:36.27,1
13,6,Nicolaou Phivos Zakou Savvas,Mitsubishi Lancer Evo IX,C2,N4,3:38.39  105.99 knYh,3:38.39,1
14,9,Vassilakis George Krawszik Tom,Ford Fiesta R5,C1,R5R2,3:38.50  105.94 knYh,3:38.50,1
15,17,Kafantaris Elias Kontos Nikos,Subaru Impreza GT Turbo,C2,A8,3:38.86  105.77 knYh,3:38.86,1
16,21,Amoutzas Giorgos Eliopoulos Giorgos,Renault Clio RS,C3,A7,3:41.23  104.63 knYh,3:41.23,1
17,19,Zygogiannis Konstantinos Tsellos Nikolaos,Mitsubishi Lancer Evo IX,C2,N4,3:41.24  104.63 knYh,3:41.24,1
