,,,ss_time,ss_time,ss_time
ss,,,1,2,3
No,Crew,Gr/Cl,,,
#1,Paradissis P.  - Poimenidis K. Mitsubishi Lancer Evo IX,C2,8:22.48,8:07.37,8:05.68
#10,Agathokleous George  - Zakou S. Peugeot 208 Rally4,C3 F2,8:48.81,8:38.81,8:42.48
#11,Panoutsos T.  - Panoutsos D. Ford Fiesta R2,C5 F2,8:37.88,8:27.88,8:31.85
#12,Dimopoulos Antonis  - Skaltsas E. Toyota Starlet KP60,C4 F2,8:24.74,8:14.74,-
#14,Giannakopoulos I.  - Foteinogiannopoulos I. Ford Fiesta R2,C5 F2,9:01.93,8:52.57,8:50.97
#15,Tsatsaris Aris  - Kakogiannis A. Toyota Celica GT-Four (ST205),C2,8:35.27,8:35.70,8:41.03
#16,Zygogiannis K.  - Tsellos N. Mitsubishi Lancer Evo IX,C2,8:33.24,8:24.40,9:17.46
#17,Sias Haralambos  - Prastos Ioannis Mitsubishi Lancer Evo VIII,C2,10:03.99,9:28.44,9:26.03
#18,Antoniou K.  - Bourazas E. Ford Escort MK2,C3 F2,8:43.81,8:51.14,9:13.15
#19,Chatzigakis G.  - Chatzigakis C. Ford Escort MK2,C3 F2,9:03.49,9:09.03,9:08.18
#2,Ismailos Panos  - Soukoulis K. Mitsubishi Lancer Evo IX,C2,8:02.56,7:55.90,7:59.64
#20,Dimos Giorgos  - Bakas Alexandros Ford Escort MK2,C3 F2,9:27.19,9:26.65,9:21.64
#21,Kalamaras Teo  - Labrakis Dimitris Peugeot 206,C3 F2,9:29.92,9:21.04,9:09.79
#22,Tsakalos Athanasios  - Tselios S. Toyota Yaris,C6 F2,8:42.01,8:44.74,8:51.49
#23,Toussoulis K.  - Papadas K. Toyota Yaris,C6 F2,9:03.77,9:10.51,9:08.54
#24,Sotiropoulos Nikolaos  - Moukas E. Nissan Micra K11,C6 F2,9:32.92,9:18.23,9:31.31
#25,Englezos T.  - Grigoriadis K. Toyota Yaris,C6 F2,9:37.46,9:34.52,9:28.44
#26,Delaportas Giorgos  - Panaritis E. Volkswagen Golf II,4,9:57.06,9:38.17,9:36.81
#28,Kotsopoulos Antonis  - Kollias I. Volkswagen Golf II,C3 F2,10:09.08,9:58.39,9:54.70
#29,Manetas Giorgos  - Adamopoulos A. Toyota Corolla AE111,C4 F2,9:23.71,9:07.82,9:09.71
#30,Roustemis A.  - Andrianopoulos G. Ford Sierra RS Cosworth,4,9:08.56,8:57.49,14:01.71
#32,Likomitros D.  - Karachalios G. BMW 320i E21,C3 F2,10:09.10,9:39.60,9:29.38
#33,Anastassopoulos A.  - Paraskevopoulos A. Toyota Corolla AE92,C4 F2,9:23.06,9:06.67,9:06.45
#34,Mavraganis A.  - Chreppas N. Toyota Corolla AE92,C4 F2,9:38.96,9:11.78,9:25.74
#35,Kokkinos Stelios  - Kokkinos P. Toyota Yaris,C6 F2,9:15.92,9:16.19,9:22.88
#36,Gazetas Dionissis  - Zografos L. Toyota Yaris,C6 F2,9:49.12,9:21.84,9:15.10
#37,Kattis Dimítris  - Kougias D. Peugeot 206,C6 F2,11:05.11,11:01.19,10:48.24
#38,Pavli Marialena  - Papadaki V. Nissan Micra K11,C6 F2,14:51.32,19:59.26,-
#4,Flandy  - Stefanis Konstantinos Ford Fiesta Rally3,C3,8:28.57,8:18.65,8:12.62
#40,Kimonidis Hector  - Zervas Simeon Suzuki Jimny,TZ1,9:49.24,9:38.50,-
#6,Mider  - Nassos Andrianos Mitsubishi Lancer Evo IX,C2,8:05.99,-,-
#7,Gazetas H.  - Bakloris C. Mitsubishi Lancer Evo VIII,C2,9:12.03,9:17.72,8:53.25
#8,Lefkaditis Savvas  - Akratos E. Peugeot 208 Rally4,C3 F2,8:10.72,8:05.50,-
#9,Tsakalos Theodoros  - Kotronis A. Ford Fiesta R2,C5 F2,8:40.83,8:24.49,8:23.51
