Pos.,No,Crew,Gr/Cl,ss_time,Diff,Speed,ss
1,#2,Ismailos Panos  - Soukoulis K. Mitsubishi Lancer Evo IX,C2,8:02.56,,85.6,1
2,#6,Mider  - Nassos Andrianos Mitsubishi Lancer Evo IX,C2,8:05.99,+3.43 +  3.43,85.0 0.30,1
3,#8,Lefkaditis Savvas  - Akratos E. Peugeot 208 Rally4,C3 F2,8:10.72,+8.16 +  4.73,84.1 0.71,1
4,#1,Paradissis P.  - Poimenidis K. Mitsubishi Lancer Evo IX,C2,8:22.48,+19.92 +  11.76,82.2 1.74,1
5,#12,Dimopoulos Antonis  - Skaltsas E. Toyota Starlet KP60,C4 F2,8:24.74,+22.18 +  2.26,81.8 1.93,1
6,#4,Flandy  - Stefanis Konstantinos Ford Fiesta Rally3,C3,8:28.57,+26.01 +  3.83,81.2 2.27,1
7,#16,Zygogiannis K.  - Tsellos N. Mitsubishi Lancer Evo IX,C2,8:33.24,+30.68 +  4.67,80.5 2.67,1
8,#15,Tsatsaris Aris  - Kakogiannis A. Toyota Celica GT-Four (ST205),C2,8:35.27,+32.71 +  2.03,80.1 2.85,1
9,#11,Panoutsos T.  - Panoutsos D. Ford Fiesta R2,C5 F2,8:37.88,+35.32 +  2.61,79.7 3.08,1
10,#9,Tsakalos Theodoros  - Kotronis A. Ford Fiesta R2,C5 F2,8:40.83,+38.27 +  2.95,79.3 3.34,1
11,#22,Tsakalos Athanasios  - Tselios S. Toyota Yaris,C6 F2,8:42.01,+39.45 +  1.18,79.1 3.44,1
12,#18,Antoniou K.  - Bourazas E. Ford Escort MK2,C3 F2,8:43.81,+41.25 +  1.80,78.8 3.60,1
13,#10,Agathokleous George  - Zakou S. Peugeot 208 Rally4,C3 F2,8:48.81,+46.25 +  5.00,78.1 4.03,1
14,#14,Giannakopoulos I.  - Foteinogiannopoulos I. Ford Fiesta R2,C5 F2,9:01.93,+59.37 +  13.12,76.2 5.18,1
15,#19,Chatzigakis G.  - Chatzigakis C. Ford Escort MK2,C3 F2,9:03.49,+1:00.93 +  1.56,76.0 5.31,1
16,#23,Toussoulis K.  - Papadas K. Toyota Yaris,C6 F2,9:03.77,+1:01.21 +  0.28,75.9 5.34,1
17,#30,Roustemis A.  - Andrianopoulos G. Ford Sierra RS Cosworth,4,9:08.56,+1:06.00 +  4.79,75.3 5.75,1
18,#7,Gazetas H.  - Bakloris C. Mitsubishi Lancer Evo VIII,C2,9:12.03,+1:09.47 +  3.47,74.8 6.06,1
19,#35,Kokkinos Stelios  - Kokkinos P. Toyota Yaris,C6 F2,9:15.92,+1:13.36 +  3.89,74.3 6.40,1
20,#33,Anastassopoulos A.  - Paraskevopoulos A. Toyota Corolla AE92,C4 F2,9:23.06,+1:20.50 +  7.14,73.3 7.02,1
21,#29,Manetas Giorgos  - Adamopoulos A. Toyota Corolla AE111,C4 F2,9:23.71,+1:21.15 +  0.65,73.3 7.07,1
22,#20,Dimos Giorgos  - Bakas Alexandros Ford Escort MK2,C3 F2,9:27.19,+1:24.63 +  3.48,72.8 7.38,1
