,,,ss_time,ss_time,ss_time,ss_time,ss_time
ss,,,1,2,3,4,5
No,Crew,Gr/Cl,,,,,
#1,Kechagias Giorgos  - Kouzionis C. Škoda Fabia Rally2 evo,C1,6:59.42,15:02.11,6:56.30,15:03.24,10:00.71
#11,Delaportas Giorgos  - Panaritis E. Ford Fiesta Rally3,C3,7:44.62,16:31.90,7:42.56,16:42.30,11:06.56
#12,Amoutzas Giorgos  - Eliopoulos G. Opel Corsa Rally4,C3 F2,7:40.61,16:24.07,7:47.32,16:11.66,10:54.30
#14,Yfantis V.  - Mountzouris A. Ford Escort RS 2000 MKII,C3 F2,8:31.55,18:18.90,8:28.90,18:28.34,14:38.54
#15,Yiangou Y.  - Christodoulakis A. Subaru Impreza STi N12,C2,9:10.85,19:17.88,9:02.49,19:01.90,12:48.45
#16,Ladias Akis  - Patrikoussis M. Subaru Impreza WRX,C2,8:23.84,18:05.59,8:14.75,18:12.58,12:02.88
#17,Giotis Ioannis  - Farmakis C. Hyundai Accent,C4 F2,8:34.39,18:05.34,8:28.58,27:22.91,12:11.83
#18,Milonas K.  - Paraperas N. Toyota Corolla FX AE101,C4 F2,8:17.50,17:55.68,8:08.40,18:10.33,12:09.01
#19,Kalamaras Teo  - Labrakis Dimitris Peugeot 206 XS,C5 F2,8:33.76,23:39.02,-,-,-
#2,Papadimitriou I.  - Makrinos M. Škoda Fabia Rally2 evo,C1,6:50.25,14:55.27,6:41.81,14:39.22,9:48.67
#20,Vigopoulos Nikolaos  - Zakheos N. Ford Fiesta R2T,C5 F2,8:07.22,28:18.72,-,-,-
#21,Stavropoulos D.  - Panoutsos D. Toyota Yaris,C6 F2,8:46.33,18:33.28,8:40.18,18:34.58,12:24.28
#23,Panagiotopoulos M.  - Ahtidas E. Toyota Yaris,C6 F2,8:55.84,19:52.47,8:47.23,18:42.71,-
#24,Batis Vassilis  - Sotiriou Ioannis Toyota Yaris,C6 F2,10:40.14,21:11.84,9:30.82,20:11.94,13:57.19
#25,Sotiropoulos Nikolaos  - Moukas E. Nissan Micra K11,C6 F2,8:47.30,18:51.91,8:46.38,19:30.22,12:32.19
#27,Karatarouk K.  - Kokkinos P. Toyota Corolla AE111,C4 F2,9:48.93,22:58.08,9:37.56,21:11.47,14:35.14
#28,Andrikopoulos P.  - Andrikopoulos F. Peugeot 206 XS,C5 F2,10:13.32,22:43.40,9:57.18,21:44.18,14:27.00
#29,Rahoutis Fanis  - Grigoropoulos A. Toyota Starlet EP81,C6 F2,9:33.06,20:26.86,9:12.99,20:19.08,13:28.13
#3,Kirkos Panagiotis  - Polizois G. Mitsubishi Lancer Evo IX,C2,7:18.35,15:38.56,7:03.73,15:28.75,10:55.36
#30,Kattis Dimítris  - Katti E. Peugeot 206,C6 F2,10:17.96,22:02.91,9:54.20,22:22.11,14:49.74
#31,Kaldis Konstantinos  - Vigkos A. Toyota Corolla,4,9:30.29,20:38.00,9:38.88,-,-
#4,Halkias Efthimios  - Komnos Nikos Renault Clio Rally3,C3,7:19.28,15:56.73,-,-,-
#5,Ismailos Panos  - Soukoulis K. Mitsubishi Lancer Evo IX,C2,7:31.80,21:36.57,7:17.07,16:04.89,10:29.85
#6,Chatzimarkos P.  - Tsaoussoglou M. Peugeot 208 Rally4,C3 F2,7:35.76,16:05.78,7:26.05,15:58.66,10:51.24
#7,Karanikolas E.  - Kakavas G. Ford Fiesta Rally4,C5 F2,7:34.79,16:14.30,7:29.16,-,-
#8,Theocharopoulos S.  - Kotsalis G. Mitsubishi Lancer Evo IX,C2,7:49.15,17:01.87,7:44.34,17:20.07,11:33.60
#9,Davaris Nikos  - Fragkou Mihalis Mitsubishi Lancer Evo IX,C2,8:03.44,17:41.81,8:03.60,17:54.11,11:35.16
