Pos.,No,Crew,Gr/Cl,ss_time,Diff,Speed,ss
1,#2,Papadimitriou I.  - Makrinos M. Škoda Fabia Rally2 evo,C1,6:50.25,,88.1,1
2,#1,Kechagias Giorgos  - Kouzionis C. Škoda Fabia Rally2 evo,C1,6:59.42,+9.17 +  9.17,86.2 0.91,1
3,#3,Kirkos Panagiotis  - Polizois G. Mitsubishi Lancer Evo IX,C2,7:18.35,+28.10 +  18.93,82.5 2.80,1
4,#4,Halkias Efthimios  - Komnos Nikos Renault Clio Rally3,C3,7:19.28,+29.03 +  0.93,82.3 2.89,1
5,#5,Ismailos Panos  - Soukoulis K. Mitsubishi Lancer Evo IX,C2,7:31.80,+41.55 +  12.52,80.0 4.14,1
6,#7,Karanikolas E.  - Kakavas G. Ford Fiesta Rally4,C5 F2,7:34.79,+44.54 +  2.99,79.5 4.44,1
7,#6,Chatzimarkos P.  - Tsaoussoglou M. Peugeot 208 Rally4,C3 F2,7:35.76,+45.51 +  0.97,79.3 4.53,1
8,#12,Amoutzas Giorgos  - Eliopoulos G. Opel Corsa Rally4,C3 F2,7:40.61,+50.36 +  4.85,78.5 5.02,1
9,#11,Delaportas Giorgos  - Panaritis E. Ford Fiesta Rally3,C3,7:44.62,+54.37 +  4.01,77.8 5.42,1
10,#8,Theocharopoulos S.  - Kotsalis G. Mitsubishi Lancer Evo IX,C2,7:49.15,+58.90 +  4.53,77.0 5.87,1
11,#9,Davaris Nikos  - Fragkou Mihalis Mitsubishi Lancer Evo IX,C2,8:03.44,+1:13.19 +  14.29,74.8 7.29,1
12,#20,Vigopoulos Nikolaos  - Zakheos N. Ford Fiesta R2T,C5 F2,8:07.22,+1:16.97 +  3.78,74.2 7.67,1
13,#18,Milonas K.  - Paraperas N. Toyota Corolla FX AE101,C4 F2,8:17.50,+1:27.25 +  10.28,72.7 8.69,1
14,#16,Ladias Akis  - Patrikoussis M. Subaru Impreza WRX,C2,8:23.84,+1:33.59 +  6.34,71.7 9.32,1
15,#14,Yfantis V.  - Mountzouris A. Ford Escort RS 2000 MKII,C3 F2,8:31.55,+1:41.30 +  7.71,70.7 10.1,1
16,#19,Kalamaras Teo  - Labrakis Dimitris Peugeot 206 XS,C5 F2,8:33.76,+1:43.51 +  2.21,70.4 10.3,1
17,#17,Giotis Ioannis  - Farmakis C. Hyundai Accent,C4 F2,8:34.39,+1:44.14 +  0.63,70.3 10.4,1
18,#21,Stavropoulos D.  - Panoutsos D. Toyota Yaris,C6 F2,8:46.33,+1:56.08 +  11.94,68.7 11.6,1
19,#25,Sotiropoulos Nikolaos  - Moukas E. Nissan Micra K11,C6 F2,8:47.30,+1:57.05 +  0.97,68.5 11.7,1
20,#23,Panagiotopoulos M.  - Ahtidas E. Toyota Yaris,C6 F2,8:55.84,+2:05.59 +  8.54,67.5 12.5,1
21,#15,Yiangou Y.  - Christodoulakis A. Subaru Impreza STi N12,C2,9:10.85,+2:20.60 +  15.01,65.6 14.0,1
22,#31,Kaldis Konstantinos  - Vigkos A. Toyota Corolla,4,9:30.29,+2:40.04 +  19.44,63.4 15.9,1
23,#29,Rahoutis Fanis  - Grigoropoulos A. Toyota Starlet EP81,C6 F2,9:33.06,+2:42.81 +  2.77,63.1 16.2,1
24,#27,Karatarouk K.  - Kokkinos P. Toyota Corolla AE111,C4 F2,9:48.93,+2:58.68 +  15.87,61.4 17.8,1
25,#28,Andrikopoulos P.  - Andrikopoulos F. Peugeot 206 XS,C5 F2,10:13.32,+3:23.07 +  24.39,58.9 20.2,1
26,#30,Kattis Dimítris  - Katti E. Peugeot 206,C6 F2,10:17.96,+3:27.71 +  4.64,58.5 20.7,1
27,#24,Batis Vassilis  - Sotiriou Ioannis Toyota Yaris,C6 F2,10:40.14,+3:49.89 +  22.18,56.5 22.9,1
1,#2,Papadimitriou I.  - Makrinos M. Škoda Fabia Rally2 evo,C1,14:55.27,,84.6,2
2,#1,Kechagias Giorgos  - Kouzionis C. Škoda Fabia Rally2 evo,C1,15:02.11,+6.84 +  6.84,84.0 0.33,2
3,#3,Kirkos Panagiotis  - Polizois G. Mitsubishi Lancer Evo IX,C2,15:38.56,+43.29 +  36.45,80.7 2.06,2
4,#4,Halkias Efthimios  - Komnos Nikos Renault Clio Rally3,C3,15:56.73,+1:01.46 +  18.17,79.2 2.92,2
5,#6,Chatzimarkos P.  - Tsaoussoglou M. Peugeot 208 Rally4,C3 F2,16:05.78,+1:10.51 +  9.05,78.4 3.35,2
6,#7,Karanikolas E.  - Kakavas G. Ford Fiesta Rally4,C5 F2,16:14.30,+1:19.03 +  8.52,77.7 3.76,2
7,#12,Amoutzas Giorgos  - Eliopoulos G. Opel Corsa Rally4,C3 F2,16:24.07,+1:28.80 +  9.77,77.0 4.22,2
8,#11,Delaportas Giorgos  - Panaritis E. Ford Fiesta Rally3,C3,16:31.90,+1:36.63 +  7.83,76.4 4.59,2
9,#8,Theocharopoulos S.  - Kotsalis G. Mitsubishi Lancer Evo IX,C2,17:01.87,+2:06.60 +  29.97,74.1 6.02,2
10,#9,Davaris Nikos  - Fragkou Mihalis Mitsubishi Lancer Evo IX,C2,17:41.81,+2:46.54 +  39.94,71.3 7.92,2
11,#18,Milonas K.  - Paraperas N. Toyota Corolla FX AE101,C4 F2,17:55.68,+3:00.41 +  13.87,70.4 8.57,2
12,#17,Giotis Ioannis  - Farmakis C. Hyundai Accent,C4 F2,18:05.34,+3:10.07 +  9.66,69.8 9.03,2
13,#16,Ladias Akis  - Patrikoussis M. Subaru Impreza WRX,C2,18:05.59,+3:10.32 +  0.25,69.8 9.05,2
14,#14,Yfantis V.  - Mountzouris A. Ford Escort RS 2000 MKII,C3 F2,18:18.90,+3:23.63 +  13.31,68.9 9.68,2
15,#21,Stavropoulos D.  - Panoutsos D. Toyota Yaris,C6 F2,18:33.28,+3:38.01 +  14.38,68.0 10.4,2
16,#25,Sotiropoulos Nikolaos  - Moukas E. Nissan Micra K11,C6 F2,18:51.91,+3:56.64 +  18.63,66.9 11.3,2
17,#15,Yiangou Y.  - Christodoulakis A. Subaru Impreza STi N12,C2,19:17.88,+4:22.61 +  25.97,65.4 12.5,2
18,#23,Panagiotopoulos M.  - Ahtidas E. Toyota Yaris,C6 F2,19:52.47,+4:57.20 +  34.59,63.5 14.1,2
19,#29,Rahoutis Fanis  - Grigoropoulos A. Toyota Starlet EP81,C6 F2,20:26.86,+5:31.59 +  34.39,61.7 15.8,2
20,#31,Kaldis Konstantinos  - Vigkos A. Toyota Corolla,4,20:38.00,+5:42.73 +  11.14,61.2 16.3,2
