Pos,Pos,Pos,Pos,Time,Time,Time,Time
1,2,3,4,1,2,3,4
1,1,1,1,11:42.34,19:31.34,11:34.70,19:21.76
2,2,2,2,11:58.20,20:07.40,11:47.12,19:46.14
3,3,25,3,12:04.43,20:11.22,18:48.01,19:55.60
9,11,5,10,13:15.36,22:00.26,12:55.10,21:41.85
6,7,10,7,12:59.85,21:43.07,13:41.58,21:25.76
4,4,3,4,12:38.43,20:48.59,12:24.14,20:59.08
11,6,7,5,13:31.56,21:41.98,13:08.02,21:11.86
12,12,_,_,13:35.77,22:15.79,_,_
8,5,22,_,13:11.64,21:15.84,16:52.56,_
31,_,_,_,16:41.40,_,_,_
7,9,6,9,13:02.57,21:44.45,13:05.33,21:40.57
5,10,9,6,12:57.42,21:49.18,13:36.01,21:21.90
10,8,4,8,13:30.96,21:43.12,12:50.83,21:38.40
14,13,11,12,13:53.73,22:20.29,13:42.10,22:47.08
34,15,12,11,23:05.53,22:38.43,13:44.26,22:42.08
13,14,8,15,13:38.58,22:35.72,13:35.75,23:54.43
17,_,_,_,14:13.27,_,_,_
15,_,_,_,14:06.87,_,_,_
19,24,16,13,14:23.79,26:01.29,14:46.11,23:22.81
18,28,14,16,14:18.39,28:56.20,14:16.03,24:06.54
21,19,_,_,14:34.71,24:06.50,_,_
23,_,_,_,14:55.96,_,_,_
25,18,18,_,14:59.52,24:05.83,15:39.96,_
20,17,13,14,14:33.59,23:52.65,14:11.77,23:46.98
27,_,_,_,15:36.92,_,_,_
16,16,15,17,14:13.10,23:49.04,14:36.46,24:29.28
24,21,26,18,14:57.28,24:44.53,20:06.46,24:42.33
22,20,17,19,14:43.30,24:43.63,14:47.94,25:41.76
26,22,23,_,15:04.36,24:51.36,17:04.88,_
28,23,19,20,15:54.37,25:49.17,15:53.93,25:55.13
29,26,20,21,15:59.85,26:12.20,15:54.95,26:21.79
32,25,21,22,16:47.96,26:11.19,16:26.56,27:13.12
33,27,24,23,17:03.85,27:41.98,17:33.08,31:34.56
30,_,_,_,16:21.56,_,_,_
