No,Crew,Vehicle,Gr,Cl,_F
1,ΤΣΟΥΛΟΦΤΑΣ ΑΛΕΞΑΝΔΡΟΣ ELIA STELIOS,VW POLO,C1,R2,
2,ΚΕΧΑΓΙΑΣ ΓΕΩΡΓΙΟΣ ΚΟΥΖΙΩΝΗΣ ΧΡΗΣΤΟΣ,SKODA FABIA,C1,R2,
5,ΦΙΛΙΠΠΙΔΗΣ ΓΕΩΡΓΙΟΣ DREW CRAIG,SKODA FABIA EVO,C1,R2,
6,ANGELOV MIROSLAV GADZHEV GEORGI,SKODA FABIA,C1,R2,
7,ΜΠΑΝΤΟΥΝΑΣ ΙΩΑΝΝΗΣ ΠΑΝΑΓΙΩΤΟΥΝΗΣ ΗΛΙΑΣ,MITSUBISHI LANCER Evo 6,C2,A8,
8,ΚΥΡΚΟΣ ΠΑΝΑΓΙΩΤΗΣ ΠΟΛΥΖΩΗΣ ΓΕΩΡΓΙΟΣ,MITSUBISHI LANCER Evo 9,C2,N4,
9,ΞΑΝΘΑΚΟΣ ΜΑΡΙΟΣ ΚΑΡΑΘΑΝΑΣΗΣ ΝΙΚΟΛΑΟΣ,SKODA FABIA,C1,R2,
10,'FLANDY' ΣΤΕΦΑΝΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ,SKODA FABIA,C1,R2,
11,ΧΑΛΚΙΑΣ ΕΥΘΥΜΙΟΣ ΚΟΜΝΟΣ ΝΙΚΟΛΑΟΣ-ΑΔΑΜ,RENAULT CLIO Rally3,C3,R3C,F2
12,ΤΖΕΜΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ ΣΑΙΝΗΣ ΔΗΜΗΤΡΙΟΣ,MITSUBISHI LANCER Evo 9,C2,N4,
14,ΙΣΜΑΗΛΟΣ ΠΑΝΑΓΙΩΤΗΣ ΣΟΥΚΟΥΛΗΣ ΚΩΝ/ΝΟΣ,MITSUBISHI LANCER Evo 9,C2,N4,
15,ΚΑΡΑΝΙΚΟΛΑΣ ΕΠΑΜΕΙΝΩΝΔΑΣ ΚΑΚΑΒΑΣ ΓΕΩΡΓΙΟΣ,FORD FIESTA 1.0L ST-LINE,C5,R4B,F2
16,ΧΑΤΖΗΜΑΡΚΟΣ ΠΑΣΧΑΛΗΣ ΤΣΑΟΥΣΟΓΛΟΥ ΜΑΡΙΟΣ,PEUGEOT 208 GTLINE 130,C3,R4C,F2
17,PANTELI CHRYSOSTOMOS ΚΟΥΓΙΑΣ ΒΑΣΙΛΕΙΟΣ,PEUGEOT 208 VTI125,C5,R2B,F2
18,LAOS COSTAS STYLIANOU MICHALIS,MITSUBISHI LANCER Evo 9,C2,N4,
