Pos,No,Time,SS
1,1,11:42.34,1
2,2,11:58.20,1
3,5,12:04.43,1
4,8,12:38.43,1
5,15,12:57.42,1
6,7,12:59.85,1
7,14,13:02.57,1
8,11,13:11.64,1
9,6,13:15.36,1
10,16,13:30.96,1
11,9,13:31.56,1
12,10,13:35.77,1
13,20,13:38.58,1
14,17,13:53.73,1
15,24,14:06.87,1
16,35,14:13.10,1
17,21,14:13.27,1
18,26,14:18.39,1
19,25,14:23.79,1
20,32,14:33.59,1
21,28,14:34.71,1
22,38,14:43.30,1
23,29,14:55.96,1
24,36,14:57.28,1
25,30,14:59.52,1
26,39,15:04.36,1
27,33,15:36.92,1
28,40,15:54.37,1
29,41,15:59.85,1
30,45,16:21.56,1
31,12,16:41.40,1
32,42,16:47.96,1
33,44,17:03.85,1
34,18,23:05.53,1
1,1,19:31.34,2
2,2,20:07.40,2
3,5,20:11.22,2
4,8,20:48.59,2
5,11,21:15.84,2
6,9,21:41.98,2
7,7,21:43.07,2
8,16,21:43.12,2
9,14,21:44.45,2
10,15,21:49.18,2
11,6,22:00.26,2
12,10,22:15.79,2
13,17,22:20.29,2
14,20,22:35.72,2
15,18,22:38.43,2
16,35,23:49.04,2
17,32,23:52.65,2
18,30,24:05.83,2
19,28,24:06.50,2
20,38,24:43.63,2
21,36,24:44.53,2
22,39,24:51.36,2
23,40,25:49.17,2
24,25,26:01.29,2
25,42,26:11.19,2
26,41,26:12.20,2
27,44,27:41.98,2
28,26,28:56.20,2
1,1,11:34.70,3
2,2,11:47.12,3
3,8,12:24.14,3
4,16,12:50.83,3
5,6,12:55.10,3
6,14,13:05.33,3
7,9,13:08.02,3
8,20,13:35.75,3
9,15,13:36.01,3
10,7,13:41.58,3
11,17,13:42.10,3
12,18,13:44.26,3
13,32,14:11.77,3
14,26,14:16.03,3
15,35,14:36.46,3
16,25,14:46.11,3
17,38,14:47.94,3
18,30,15:39.96,3
19,40,15:53.93,3
20,41,15:54.95,3
21,42,16:26.56,3
22,11,16:52.56,3
23,39,17:04.88,3
24,44,17:33.08,3
25,5,18:48.01,3
26,36,20:06.46,3
1,1,19:21.76,4
2,2,19:46.14,4
3,5,19:55.60,4
4,8,20:59.08,4
5,9,21:11.86,4
6,15,21:21.90,4
7,7,21:25.76,4
8,16,21:38.40,4
9,14,21:40.57,4
10,6,21:41.85,4
11,18,22:42.08,4
12,17,22:47.08,4
13,25,23:22.81,4
14,32,23:46.98,4
15,20,23:54.43,4
16,26,24:06.54,4
17,35,24:29.28,4
18,36,24:42.33,4
19,38,25:41.76,4
20,40,25:55.13,4
21,41,26:21.79,4
22,42,27:13.12,4
23,44,31:34.56,4
