,,,ss_time,ss_time,ss_time,ss_time
ss,,,1,2,3,4
No,Crew,Gr/Cl,,,,
#1,Tsouloftas Alexandros  - Elia S. Volkswagen Polo GTI R5,C1,11:42.34,19:31.34,11:34.70,19:21.76
#10,Flandy  - Stefanis Konstantinos Škoda Fabia R5,C1,13:35.77,22:15.79,-,-
#11,Halkias Efthimios  - Komnos Nikos Renault Clio Rally3,C3,13:11.64,21:15.84,16:52.56,-
#12,Tzemos Konstantinos  - Sainis D. Mitsubishi Lancer Evo IX,C2,18:52.24,-,-,-
#14,Ismailos Panos  - Soukoulis K. Mitsubishi Lancer Evo IX,C2,13:02.57,21:44.45,13:05.33,21:40.57
#15,Karanikolas E.  - Kakavas G. Ford Fiesta Rally4,C5 F2,12:57.42,21:49.18,13:06.01,21:21.90
#16,Chatzimarkos P.  - Tsaousoglou M. Peugeot 208 Rally4,C3 F2,13:00.96,21:43.12,12:50.83,21:38.40
#17,Panteli Chrysostomos  - Kougias V. Peugeot 208 R2,C5 F2,13:53.73,22:20.29,13:42.10,22:47.08
#18,Laos Costas  - Stylianou Michalis Mitsubishi Lancer Evo IX,C2,23:05.53,22:38.43,13:44.26,22:42.08
#2,Kehagias Giorgos  - Kouzionis C. Škoda Fabia Rally2 evo,C1,11:58.20,20:07.40,11:47.12,19:46.14
#20,Theocharopoulos S.  - Kotsalis G. Mitsubishi Lancer Evo IX,C2,13:38.58,22:35.72,13:35.75,23:54.43
#21,Davaris Nikos  - Makris K. Mitsubishi Lancer Evo IX,C2,14:13.27,-,-,-
#24,Antoniou K.  - Makarios A. Ford Escort MK2,C3 F2,14:06.87,-,-,-
#25,Milonas K.  - Paraperas N. Toyota Corolla FX AE101,C4 F2,14:23.79,26:01.29,14:46.11,23:22.81
#26,Roiniotis S.  - Giannopoulos N. Ford Escort RS 2000 MKII,C3 F2,14:18.39,28:56.20,14:16.03,24:06.54
#28,Chatzigakis Giorgos  - Tolias I. Ford Escort MK2,C3 F2,14:34.71,24:06.50,-,-
#29,Rigas Giorgos  - Georgiadis I. Ford Escort MK2,C3 F2,14:55.96,-,-,-
#30,Giannakopoulos I.  - Foteinogiannopoulos I. Ford Fiesta R2,C5 F2,14:59.52,24:05.83,15:39.96,-
#32,Vigopoulos Nikolaos  - Zakheos N. Ford Fiesta R2T,C5 F2,14:33.59,23:52.65,14:11.77,23:46.98
#33,Kalamaras Teo  - Labrakis Dimitris Peugeot 206,C5 F2,15:36.92,-,-,-
#35,Tsakalos Athanasios  - Tselios S. Toyota Yaris,C6 F2,14:13.10,23:49.04,14:36.46,24:29.28
#36,Manouskos Elias  - Manouskos N. Toyota Yaris,C6 F2,14:57.28,24:44.53,20:06.46,24:42.33
#38,Stavropoulos D.  - Panoutsos D. Toyota Yaris,C6 F2,14:43.30,24:43.63,14:47.94,25:41.76
#39,Agelis Elias  - Rentis Alkis Toyota Yaris,C6 F2,15:04.36,24:51.36,17:04.88,-
#40,Sotiropoulos Nikolaos  - Moukas E. Nissan Micra K11,C6 F2,15:54.37,25:49.17,15:53.93,25:55.13
#41,Moshopoulos N.  - Kogia Grammatikou E. Toyota Yaris,C6 F2,15:59.85,26:12.20,15:54.95,26:21.79
#42,Baxevanakis A.  - Retzoulis M. Toyota Yaris,C6,16:47.96,26:11.19,16:26.56,27:13.12
#44,Rahoutis Fanis  - Grigoropoulos A. Toyota Starlet EP81,C6 F2,17:03.85,27:41.98,17:33.08,31:34.56
#45,Koutsoukos Angelos  - Bokaris E. Toyota Starlet EP91,C4 F2,16:21.56,-,-,-
#5,Philippedes Yorgo  - Drew Craig Škoda Fabia Rally2 evo,C1,12:04.43,20:11.22,18:48.01,19:55.60
#6,Angelov Miroslav  - Gadzhev Georgi Škoda Fabia Rally2 evo,C1,13:15.36,22:00.26,12:55.10,21:41.85
#7,Badounas I.  - Panagiotounis E. Mitsubishi Lancer Evo VI,C2,12:59.85,21:43.07,13:11.58,21:25.76
#8,Kirkos Panagiotis  - Polizois G. Mitsubishi Lancer Evo IX,C2,12:38.43,20:48.59,12:24.14,20:59.08
#9,Xanthakos M.  - Karathanassis N. Škoda Fabia R5,C1,13:31.56,21:41.98,13:08.02,21:11.86
