Pos.,No,Crew,Gr/Cl,ss_time,Diff,Speed,ss
1,#1,Tsouloftas Alexandros  - Elia S. Volkswagen Polo GTI R5,C1,11:42.34,,92.4,1
2,#2,Kehagias Giorgos  - Kouzionis C. Škoda Fabia Rally2 evo,C1,11:58.20,+15.86 +  15.86,90.3 0.88,1
3,#5,Philippedes Yorgo  - Drew Craig Škoda Fabia Rally2 evo,C1,12:04.43,+22.09 +  6.23,89.5 1.23,1
4,#8,Kirkos Panagiotis  - Polizois G. Mitsubishi Lancer Evo IX,C2,12:38.43,+56.09 +  34.00,85.5 3.11,1
5,#15,Karanikolas E.  - Kakavas G. Ford Fiesta Rally4,C5 F2,12:57.42,+1:15.08 +  18.99,83.4 4.17,1
6,#7,Badounas I.  - Panagiotounis E. Mitsubishi Lancer Evo VI,C2,12:59.85,+1:17.51 +  2.43,83.2 4.30,1
7,#16,Chatzimarkos P.  - Tsaousoglou M. Peugeot 208 Rally4,C3 F2,13:00.96,+1:18.62 +  1.11,83.1 4.36,1
8,#14,Ismailos Panos  - Soukoulis K. Mitsubishi Lancer Evo IX,C2,13:02.57,+1:20.23 +  1.61,82.9 4.45,1
9,#11,Halkias Efthimios  - Komnos Nikos Renault Clio Rally3,C3,13:11.64,+1:29.30 +  9.07,81.9 4.96,1
10,#6,Angelov Miroslav  - Gadzhev Georgi Škoda Fabia Rally2 evo,C1,13:15.36,+1:33.02 +  3.72,81.6 5.16,1
11,#9,Xanthakos M.  - Karathanassis N. Škoda Fabia R5,C1,13:31.56,+1:49.22 +  16.20,79.9 6.06,1
12,#10,Flandy  - Stefanis Konstantinos Škoda Fabia R5,C1,13:35.77,+1:53.43 +  4.21,79.5 6.29,1
13,#20,Theocharopoulos S.  - Kotsalis G. Mitsubishi Lancer Evo IX,C2,13:38.58,+1:56.24 +  2.81,79.2 6.45,1
14,#17,Panteli Chrysostomos  - Kougias V. Peugeot 208 R2,C5 F2,13:53.73,+2:11.39 +  15.15,77.8 7.29,1
15,#24,Antoniou K.  - Makarios A. Ford Escort MK2,C3 F2,14:06.87,+2:24.53 +  13.14,76.6 8.02,1
16,#35,Tsakalos Athanasios  - Tselios S. Toyota Yaris,C6 F2,14:13.10,+2:30.76 +  6.23,76.0 8.37,1
17,#21,Davaris Nikos  - Makris K. Mitsubishi Lancer Evo IX,C2,14:13.27,+2:30.93 +  0.17,76.0 8.38,1
18,#26,Roiniotis S.  - Giannopoulos N. Ford Escort RS 2000 MKII,C3 F2,14:18.39,+2:36.05 +  5.12,75.6 8.66,1
19,#25,Milonas K.  - Paraperas N. Toyota Corolla FX AE101,C4 F2,14:23.79,+2:41.45 +  5.40,75.1 8.96,1
20,#32,Vigopoulos Nikolaos  - Zakheos N. Ford Fiesta R2T,C5 F2,14:33.59,+2:51.25 +  9.80,74.3 9.50,1
21,#28,Chatzigakis Giorgos  - Tolias I. Ford Escort MK2,C3 F2,14:34.71,+2:52.37 +  1.12,74.2 9.57,1
22,#38,Stavropoulos D.  - Panoutsos D. Toyota Yaris,C6 F2,14:43.30,+3:00.96 +  8.59,73.4 10.0,1
23,#29,Rigas Giorgos  - Georgiadis I. Ford Escort MK2,C3 F2,14:55.96,+3:13.62 +  12.66,72.4 10.7,1
24,#36,Manouskos Elias  - Manouskos N. Toyota Yaris,C6 F2,14:57.28,+3:14.94 +  1.32,72.3 10.8,1
25,#30,Giannakopoulos I.  - Foteinogiannopoulos I. Ford Fiesta R2,C5 F2,14:59.52,+3:17.18 +  2.24,72.1 10.9,1
26,#39,Agelis Elias  - Rentis Alkis Toyota Yaris,C6 F2,15:04.36,+3:22.02 +  4.84,71.7 11.2,1
27,#33,Kalamaras Teo  - Labrakis Dimitris Peugeot 206,C5 F2,15:36.92,+3:54.58 +  32.56,69.2 13.0,1
28,#40,Sotiropoulos Nikolaos  - Moukas E. Nissan Micra K11,C6 F2,15:54.37,+4:12.03 +  17.45,68.0 14.0,1
29,#41,Moshopoulos N.  - Kogia Grammatikou E. Toyota Yaris,C6 F2,15:59.85,+4:17.51 +  5.48,67.6 14.3,1
30,#45,Koutsoukos Angelos  - Bokaris E. Toyota Starlet EP91,C4 F2,16:21.56,+4:39.22 +  21.71,66.1 15.5,1
31,#42,Baxevanakis A.  - Retzoulis M. Toyota Yaris,C6,16:47.96,+5:05.62 +  26.40,64.4 17.0,1
32,#44,Rahoutis Fanis  - Grigoropoulos A. Toyota Starlet EP81,C6 F2,17:03.85,+5:21.51 +  15.89,63.4 17.8,1
33,#12,Tzemos Konstantinos  - Sainis D. Mitsubishi Lancer Evo IX,C2,18:52.24,+7:09.90 +  1:48.39,57.3 23.9,1
34,#18,Laos Costas  - Stylianou Michalis Mitsubishi Lancer Evo IX,C2,23:05.53,+11:23.19 +  4:13.29,46.8 37.9,1
1,#1,Tsouloftas Alexandros  - Elia S. Volkswagen Polo GTI R5,C1,19:31.34,,87.0,2
2,#2,Kehagias Giorgos  - Kouzionis C. Škoda Fabia Rally2 evo,C1,20:07.40,+36.06 +  36.06,84.4 1.27,2
3,#5,Philippedes Yorgo  - Drew Craig Škoda Fabia Rally2 evo,C1,20:11.22,+39.88 +  3.82,84.2 1.41,2
4,#8,Kirkos Panagiotis  - Polizois G. Mitsubishi Lancer Evo IX,C2,20:48.59,+1:17.25 +  37.37,81.7 2.73,2
5,#11,Halkias Efthimios  - Komnos Nikos Renault Clio Rally3,C3,21:15.84,+1:44.50 +  27.25,79.9 3.69,2
6,#9,Xanthakos M.  - Karathanassis N. Škoda Fabia R5,C1,21:41.98,+2:10.64 +  26.14,78.3 4.61,2
7,#7,Badounas I.  - Panagiotounis E. Mitsubishi Lancer Evo VI,C2,21:43.07,+2:11.73 +  1.09,78.2 4.65,2
8,#16,Chatzimarkos P.  - Tsaousoglou M. Peugeot 208 Rally4,C3 F2,21:43.12,+2:11.78 +  0.05,78.2 4.65,2
9,#14,Ismailos Panos  - Soukoulis K. Mitsubishi Lancer Evo IX,C2,21:44.45,+2:13.11 +  1.33,78.2 4.70,2
10,#15,Karanikolas E.  - Kakavas G. Ford Fiesta Rally4,C5 F2,21:49.18,+2:17.84 +  4.73,77.9 4.87,2
11,#6,Angelov Miroslav  - Gadzhev Georgi Škoda Fabia Rally2 evo,C1,22:00.26,+2:28.92 +  11.08,77.2 5.26,2
12,#10,Flandy  - Stefanis Konstantinos Škoda Fabia R5,C1,22:15.79,+2:44.45 +  15.53,76.3 5.81,2
13,#17,Panteli Chrysostomos  - Kougias V. Peugeot 208 R2,C5 F2,22:20.29,+2:48.95 +  4.50,76.1 5.97,2
14,#20,Theocharopoulos S.  - Kotsalis G. Mitsubishi Lancer Evo IX,C2,22:35.72,+3:04.38 +  15.43,75.2 6.51,2
15,#18,Laos Costas  - Stylianou Michalis Mitsubishi Lancer Evo IX,C2,22:38.43,+3:07.09 +  2.71,75.1 6.61,2
16,#35,Tsakalos Athanasios  - Tselios S. Toyota Yaris,C6 F2,23:49.04,+4:17.70 +  1:10.61,71.3 9.10,2
17,#32,Vigopoulos Nikolaos  - Zakheos N. Ford Fiesta R2T,C5 F2,23:52.65,+4:21.31 +  3.61,71.2 9.23,2
18,#30,Giannakopoulos I.  - Foteinogiannopoulos I. Ford Fiesta R2,C5 F2,24:05.83,+4:34.49 +  13.18,70.5 9.69,2
19,#28,Chatzigakis Giorgos  - Tolias I. Ford Escort MK2,C3 F2,24:06.50,+4:35.16 +  0.67,70.5 9.72,2
20,#38,Stavropoulos D.  - Panoutsos D. Toyota Yaris,C6 F2,24:43.63,+5:12.29 +  37.13,68.7 11.0,2
21,#36,Manouskos Elias  - Manouskos N. Toyota Yaris,C6 F2,24:44.53,+5:13.19 +  0.90,68.7 11.1,2
22,#39,Agelis Elias  - Rentis Alkis Toyota Yaris,C6 F2,24:51.36,+5:20.02 +  6.83,68.4 11.3,2
23,#40,Sotiropoulos Nikolaos  - Moukas E. Nissan Micra K11,C6 F2,25:49.17,+6:17.83 +  57.81,65.8 13.3,2
24,#25,Milonas K.  - Paraperas N. Toyota Corolla FX AE101,C4 F2,26:01.29,+6:29.95 +  12.12,65.3 13.8,2
25,#42,Baxevanakis A.  - Retzoulis M. Toyota Yaris,C6,26:11.19,+6:39.85 +  9.90,64.9 14.1,2
26,#41,Moshopoulos N.  - Kogia Grammatikou E. Toyota Yaris,C6 F2,26:12.20,+6:40.86 +  1.01,64.8 14.2,2
