,,,ss_time,ss_time,ss_time
ss,,,1,2,3
No,Crew,Gr/Cl,,,
#1,Papadimitriou I.  - Petropoulos N. Škoda Fabia R5,C1,11:48.71,11:41.23,12:11.16
#10,Agathokleous George  - Zakou S. Peugeot 208 Rally4,C3 F2,13:30.06,13:14.84,13:33.28
#14,Antoniou K.  - Makarios A. Ford Escort MK2,C3 F2,13:18.48,13:23.06,13:16.09
#16,Karagounis Elias  - Xenos Stavros Opel Kadett E,C3 F2,14:26.49,13:45.07,-
#17,Anastassopoulos A.  - Paraskevopoulos A. Toyota Corolla AE92,C4 F2,13:20.47,13:14.29,13:18.79
#18,Manetas Giorgos  - Adamopoulos A. Toyota Corolla AE111,C4 F2,13:25.81,13:14.74,13:46.73
#19,Kastis Christos  - Kasti Dimitra Peugeot 206 XS,C5 F2,13:13.48,13:02.22,13:21.96
#2,Lainopoulos S.  - Spirogiannis P. Mitsubishi Lancer Evo IX R4,C2,12:47.55,12:00.98,12:06.29
#21,Likomitros D.  - Karachalios G. BMW 320i E21,C3 F2,14:41.26,14:45.29,-
#22,Gazetas D.  - Karathanassis P. Toyota Yaris,C6 F2,13:19.52,13:25.66,13:33.50
#23,Englezos T.  - Grigoriadis K. Toyota Yaris,C6 F2,14:47.73,14:26.26,-
#24,Stavropoulos D.  - Tzavaras P. Toyota Yaris,C6 F2,13:05.51,13:12.23,13:11.20
#25,Sotiropoulos Nikolaos  - Moukas E. Nissan Micra K11,C6 F2,13:52.50,13:21.89,13:27.80
#26,Kokkinos Stelios  - Kokkinos P. Toyota Yaris,C6 F2,16:49.95,14:06.02,14:03.37
#27,Karouzos Giorgos  - Bravos P. Toyota Corolla 1600 GT 3 Door AE86,C4 F2,15:46.77,15:25.54,16:16.34
#28,Lathouris Panagiotis  - Koufos C. Toyota Starlet KP60,C4 F2,16:23.44,15:55.16,16:27.66
#29,Mantas Panagiotis  - Rigopoulos P. Toyota Yaris,C6 F2,15:06.52,14:28.51,14:45.78
#3,Papadopoulos A.  - Vassilopoulos A. Mitsubishi Lancer Evo VIII,C2,17:38.04,12:23.64,12:12.49
#30,Andrikopoulos F.  - Andrikopoulos P. Peugeot 206 XS,C5 F2,15:07.64,15:08.69,16:06.83
#31,Pateas A.  - Panagopoulos V. Toyota Starlet EP91,C6 F2,14:00.82,13:47.89,13:49.27
#32,Katevas Dionissis  - Kouzoulis I. Toyota Yaris,C6 F2,14:40.36,14:14.90,14:23.55
#34,Vorrias Ioannis  - Bakas A. Mitsubishi Pajero Evolution,T1,21:58.14,13:39.18,13:51.80
#4,Davaris Nikos  - Makris K. Mitsubishi Lancer Evo IX,C2,13:14.05,13:11.38,13:22.95
#5,Zygogiannis K.  - Tsellos N. Mitsubishi Lancer Evo IX,C2,12:36.86,12:42.61,14:33.56
#6,Tsoulos Argiris  - Kouzionis C. Mitsubishi Lancer Evo VIII,C2,12:38.28,12:24.44,12:34.42
#7,Tsetsonis Elias  - Tsetsonis D. Subaru Impreza STi N12,C2,12:33.20,12:32.91,12:28.02
#8,Panoutsos T.  - Panoutsos D. Ford Fiesta R2,C5 F2,18:07.67,12:53.77,16:37.34
#9,Dimopoulos Antonis  - Skaltsas E. Toyota Starlet KP60,C4 F2,13:00.10,-,-
