Pos.,No,Crew,Gr/Cl,ss_time,Diff,Speed,ss
1,#1,Papadimitriou I.  - Petropoulos N. Škoda Fabia R5,C1,11:48.71,,62.0,1
2,#7,Tsetsonis Elias  - Tsetsonis D. Subaru Impreza STi N12,C2,12:33.20,+44.49 +  44.49,58.3 3.65,1
3,#5,Zygogiannis K.  - Tsellos N. Mitsubishi Lancer Evo IX,C2,12:36.86,+48.15 +  3.66,58.0 3.95,1
4,#6,Tsoulos Argiris  - Kouzionis C. Mitsubishi Lancer Evo VIII,C2,12:38.28,+49.57 +  1.42,57.9 4.06,1
5,#2,Lainopoulos S.  - Spirogiannis P. Mitsubishi Lancer Evo IX R4,C2,12:47.55,+58.84 +  9.27,57.2 4.82,1
6,#9,Dimopoulos Antonis  - Skaltsas E. Toyota Starlet KP60,C4 F2,13:00.10,+1:11.39 +  12.55,56.3 5.85,1
7,#24,Stavropoulos D.  - Tzavaras P. Toyota Yaris,C6 F2,13:05.51,+1:16.80 +  5.41,55.9 6.30,1
8,#19,Kastis Christos  - Kasti Dimitra Peugeot 206 XS,C5 F2,13:13.48,+1:24.77 +  7.97,55.4 6.95,1
9,#4,Davaris Nikos  - Makris K. Mitsubishi Lancer Evo IX,C2,13:14.05,+1:25.34 +  0.57,55.3 7.00,1
10,#14,Antoniou K.  - Makarios A. Ford Escort MK2,C3 F2,13:18.48,+1:29.77 +  4.43,55.0 7.36,1
11,#22,Gazetas D.  - Karathanassis P. Toyota Yaris,C6 F2,13:19.52,+1:30.81 +  1.04,54.9 7.44,1
12,#17,Anastassopoulos A.  - Paraskevopoulos A. Toyota Corolla AE92,C4 F2,13:20.47,+1:31.76 +  0.95,54.9 7.52,1
13,#18,Manetas Giorgos  - Adamopoulos A. Toyota Corolla AE111,C4 F2,13:25.81,+1:37.10 +  5.34,54.5 7.96,1
14,#10,Agathokleous George  - Zakou S. Peugeot 208 Rally4,C3 F2,13:30.06,+1:41.35 +  4.25,54.2 8.31,1
15,#25,Sotiropoulos Nikolaos  - Moukas E. Nissan Micra K11,C6 F2,13:52.50,+2:03.79 +  22.44,52.8 10.2,1
16,#31,Pateas A.  - Panagopoulos V. Toyota Starlet EP91,C6 F2,14:00.82,+2:12.11 +  8.32,52.2 10.8,1
17,#16,Karagounis Elias  - Xenos Stavros Opel Kadett E,C3 F2,14:26.49,+2:37.78 +  25.67,50.7 12.9,1
18,#32,Katevas Dionissis  - Kouzoulis I. Toyota Yaris,C6 F2,14:40.36,+2:51.65 +  13.87,49.9 14.1,1
19,#21,Likomitros D.  - Karachalios G. BMW 320i E21,C3 F2,14:41.26,+2:52.55 +  0.90,49.8 14.1,1
20,#23,Englezos T.  - Grigoriadis K. Toyota Yaris,C6 F2,14:47.73,+2:59.02 +  6.47,49.5 14.7,1
21,#29,Mantas Panagiotis  - Rigopoulos P. Toyota Yaris,C6 F2,15:06.52,+3:17.81 +  18.79,48.4 16.2,1
22,#30,Andrikopoulos F.  - Andrikopoulos P. Peugeot 206 XS,C5 F2,15:07.64,+3:18.93 +  1.12,48.4 16.3,1
23,#27,Karouzos Giorgos  - Bravos P. Toyota Corolla 1600 GT 3 Door AE86,C4 F2,15:46.77,+3:58.06 +  39.13,46.4 19.5,1
24,#28,Lathouris Panagiotis  - Koufos C. Toyota Starlet KP60,C4 F2,16:23.44,+4:34.73 +  36.67,44.7 22.5,1
25,#26,Kokkinos Stelios  - Kokkinos P. Toyota Yaris,C6 F2,16:49.95,+5:01.24 +  26.51,43.5 24.7,1
26,#3,Papadopoulos A.  - Vassilopoulos A. Mitsubishi Lancer Evo VIII,C2,17:38.04,+5:49.33 +  48.09,41.5 28.6,1
27,#8,Panoutsos T.  - Panoutsos D. Ford Fiesta R2,C5 F2,18:07.67,+6:18.96 +  29.63,40.4 31.1,1
28,#34,Vorrias Ioannis  - Bakas A. Mitsubishi Pajero Evolution,T1,21:58.14,+10:09.43 +  3:50.47,33.3 50.0,1
1,#1,Papadimitriou I.  - Petropoulos N. Škoda Fabia R5,C1,11:41.23,,62.6,2
2,#2,Lainopoulos S.  - Spirogiannis P. Mitsubishi Lancer Evo IX R4,C2,12:00.98,+19.75 +  19.75,60.9 1.62,2
3,#3,Papadopoulos A.  - Vassilopoulos A. Mitsubishi Lancer Evo VIII,C2,12:23.64,+42.41 +  22.66,59.1 3.48,2
4,#6,Tsoulos Argiris  - Kouzionis C. Mitsubishi Lancer Evo VIII,C2,12:24.44,+43.21 +  0.80,59.0 3.54,2
5,#7,Tsetsonis Elias  - Tsetsonis D. Subaru Impreza STi N12,C2,12:32.91,+51.68 +  8.47,58.3 4.24,2
6,#5,Zygogiannis K.  - Tsellos N. Mitsubishi Lancer Evo IX,C2,12:42.61,+1:01.38 +  9.70,57.6 5.03,2
7,#8,Panoutsos T.  - Panoutsos D. Ford Fiesta R2,C5 F2,12:53.77,+1:12.54 +  11.16,56.8 5.95,2
8,#19,Kastis Christos  - Kasti Dimitra Peugeot 206 XS,C5 F2,13:02.22,+1:20.99 +  8.45,56.1 6.64,2
9,#4,Davaris Nikos  - Makris K. Mitsubishi Lancer Evo IX,C2,13:11.38,+1:30.15 +  9.16,55.5 7.39,2
10,#24,Stavropoulos D.  - Tzavaras P. Toyota Yaris,C6 F2,13:12.23,+1:31.00 +  0.85,55.4 7.46,2
11,#17,Anastassopoulos A.  - Paraskevopoulos A. Toyota Corolla AE92,C4 F2,13:14.29,+1:33.06 +  2.06,55.3 7.63,2
12,#18,Manetas Giorgos  - Adamopoulos A. Toyota Corolla AE111,C4 F2,13:14.74,+1:33.51 +  0.45,55.3 7.66,2
13,#10,Agathokleous George  - Zakou S. Peugeot 208 Rally4,C3 F2,13:14.84,+1:33.61 +  0.10,55.3 7.67,2
14,#25,Sotiropoulos Nikolaos  - Moukas E. Nissan Micra K11,C6 F2,13:21.89,+1:40.66 +  7.05,54.8 8.25,2
15,#14,Antoniou K.  - Makarios A. Ford Escort MK2,C3 F2,13:23.06,+1:41.83 +  1.17,54.7 8.35,2
16,#22,Gazetas D.  - Karathanassis P. Toyota Yaris,C6 F2,13:25.66,+1:44.43 +  2.60,54.5 8.56,2
17,#34,Vorrias Ioannis  - Bakas A. Mitsubishi Pajero Evolution,T1,13:39.18,+1:57.95 +  13.52,53.6 9.67,2
18,#16,Karagounis Elias  - Xenos Stavros Opel Kadett E,C3 F2,13:45.07,+2:03.84 +  5.89,53.2 10.2,2
19,#31,Pateas A.  - Panagopoulos V. Toyota Starlet EP91,C6 F2,13:47.89,+2:06.66 +  2.82,53.1 10.4,2
