,,,ss_time,ss_time,ss_time
ss,,,1,2,3
Crew,Gr/Cl,Race,,,
Amaxopoulos D.,2 -1600,Achaios,7:28.15,7:18.19,8:01.82
Bertsatos Gior,C3 F2,Achaios,8:01.89,8:08.00,7:56.22
Daskalopoulos ,C2,Achaios,6:49.94,7:09.02,-
Dekis Panagiot,C6 F2,Achaios,7:57.87,7:50.66,7:48.73
Dermas V.  - P,C3 F2,Achaios,6:51.92,6:39.60,6:47.02
Diamantis D.  ,C4 F2,Achaios,8:15.76,8:10.90,8:05.13
Fountas Polido,C6 F2,Achaios,7:33.64,7:17.09,-
Gavriilidis Gi,4 2000+,Achaios,7:41.46,7:42.55,7:30.11
Kaberos Alekos,C3 F2,Achaios,7:20.87,7:14.18,7:29.01
Kaberos Willia,C3 F2,Achaios,7:26.38,7:27.56,7:18.96
Kalyviotis And,C6 F2,Achaios,7:34.66,7:19.61,7:18.93
Kandiliotis V.,C2,Achaios,7:07.63,-,-
Kapralos D.  -,C3 F2,Achaios,6:59.33,6:46.86,8:07.71
Karathanassis ,C5 F2,Achaios,6:48.80,12:00.43,6:58.20
Karouzos Giorg,C4 F2,Achaios,8:03.04,8:02.12,7:58.07
Katsarelias E.,C3 F2,Achaios,7:01.51,6:54.61,7:00.88
Katsikas Ioann,3 2000,Achaios,7:15.34,7:05.76,7:05.62
Kondilis Panag,C5 F2,Achaios,7:17.98,7:09.01,7:11.45
Koukeas Efstat,C1,Achaios,6:34.87,6:24.84,6:19.10
Kouniakis K.  ,C6 F2,Achaios,7:46.90,7:40.16,7:38.41
Labropoulos P.,C2,Achaios,7:24.10,7:10.60,7:06.96
Lykakis Ioanni,2 -1600,Achaios,8:51.45,-,-
Markopoulos D.,C5 F2,Achaios,8:29.60,7:50.87,7:42.26
Mitropoulos Ko,2 2000,Achaios,8:17.28,8:01.86,8:04.98
Nomikos Andrea,C1,Achaios,7:23.87,7:04.07,6:59.23
Papadopoulos N,C2,Achaios,7:05.84,6:56.27,6:56.48
Papazoglou L. ,4 2000+,Achaios,7:52.28,7:37.57,8:45.29
Peroulakis Geo,C2,Achaios,6:32.82,6:25.43,6:20.65
Rekkas Panange,C6 F2,Achaios,7:19.30,7:13.58,7:08.81
Rocco Gianluca,4 2000+,Achaios,7:04.16,7:04.83,7:34.60
Stafilopatis M,4 2000+,Achaios,6:39.10,6:27.74,6:29.94
Tiros Nikos  -,C6 F2,Achaios,7:19.93,7:14.55,7:06.46
Yamalakis Stel,3,Achaios,7:43.66,-,-
