,,,ss_time,ss_time
ss,,,1,2
Crew,Gr/Cl,Race,,
Amaxopoulos D.,2 1600,Aigio,11:00.00,10:44.00
Avgeropoulos C,C4 F2,Aigio,10:28.64,-
Basdelis Giorg,C6 F2,Aigio,10:28.23,-
Daskalopoulos ,C2,Aigio,10:36.78,10:20.36
Gerodimos Gior,C2,Aigio,9:53.09,9:41.85
Gerovassilis A,4 2000,Aigio,11:00.00,10:51.21
Kaberos Alekos,C3 F2,Aigio,10:39.57,10:37.61
Kaberos Willia,C3 F2,Aigio,11:09.41,10:54.58
Kandiliotis V.,C2,Aigio,11:18.67,10:05.59
Kapralos D.  -,C3 F2,Aigio,10:01.76,10:12.05
Karathanassis ,C5 F2,Aigio,10:10.93,9:58.72
Karouzos Giorg,C4 F2,Aigio,11:26.06,11:20.16
Kassidopoulos ,3 1600,Aigio,11:00.00,11:47.42
Katsarelias E.,C3 F2,Aigio,10:21.93,10:19.96
Katsikas Ioann,3 2000,Aigio,11:00.00,10:29.83
Kofinas Konsta,4 2000+,Aigio,11:00.00,13:24.71
Komnos Nikos  ,C5 F2,Aigio,10:45.61,10:02.68
Kondilis Panag,C5 F2,Aigio,10:07.90,10:12.98
Kopanakis Gior,C4 F2,Aigio,10:17.24,11:33.58
Koukeas E.  - ,C1,Aigio,9:33.76,9:40.53
Kouniakis K.  ,C6 F2,Aigio,10:45.52,10:39.30
Kyriakopoulos ,4 1600,Aigio,11:00.00,11:00.80
Lykakis Ioanni,2 2000,Aigio,11:00.00,-
Mavromatis Mar,C6 F2,Aigio,10:43.47,10:51.03
Mitropoulos Ko,2 2000,Aigio,11:00.00,12:33.43
Moschos A.  - ,C3 F2,Aigio,9:44.77,-
Nomikos Andrea,C1,Aigio,9:46.42,9:55.82
Pantelakis Gio,C3 F2,Aigio,10:35.14,10:35.68
Pantieras Stam,C6 F2,Aigio,10:26.45,10:20.62
Papazoglou L. ,4 2000+,Aigio,11:00.00,11:14.88
Rekkas Panange,C6 F2,Aigio,10:59.46,10:38.06
Stafilopatis M,4 2000+,Aigio,11:00.00,10:07.49
Tiros Nikos  -,C6 F2,Aigio,10:31.37,10:25.71
Tsiplantonis K,3 1600,Aigio,11:00.00,-
Tzikopoulos P.,C3 F2,Aigio,10:33.67,10:25.56
Zizas Agis  - ,C5 F2,Aigio,10:52.34,10:57.62
Zois Dimitris ,C5 F2,Aigio,19:12.05,10:21.92
