Crew,Gr/Cl,ss,Race,date,surface,competition,cou,time_SS_sec
Koukeas E.  - ,C1,1,Aigio,23/4/2023,Tarmac,cup,1,573.76
Moschos A.  - ,C3 F2,1,Aigio,23/4/2023,Tarmac,cup,2,584.77
Nomikos Andrea,C1,1,Aigio,23/4/2023,Tarmac,cup,3,586.42
Gerodimos Gior,C2,1,Aigio,23/4/2023,Tarmac,cup,4,593.09
Kapralos D.  -,C3 F2,1,Aigio,23/4/2023,Tarmac,cup,5,601.76
Kondilis Panag,C5 F2,1,Aigio,23/4/2023,Tarmac,cup,6,607.9
Karathanassis ,C5 F2,1,Aigio,23/4/2023,Tarmac,cup,7,610.93
Kopanakis Gior,C4 F2,1,Aigio,23/4/2023,Tarmac,cup,8,617.24
Katsarelias E.,C3 F2,1,Aigio,23/4/2023,Tarmac,cup,9,621.93
Pantieras Stam,C6 F2,1,Aigio,23/4/2023,Tarmac,cup,10,626.45
Basdelis Giorg,C6 F2,1,Aigio,23/4/2023,Tarmac,cup,11,628.23
Avgeropoulos C,C4 F2,1,Aigio,23/4/2023,Tarmac,cup,12,628.64
Tiros Nikos  -,C6 F2,1,Aigio,23/4/2023,Tarmac,cup,13,631.37
Tzikopoulos P.,C3 F2,1,Aigio,23/4/2023,Tarmac,cup,14,633.67
Pantelakis Gio,C3 F2,1,Aigio,23/4/2023,Tarmac,cup,15,635.14
Daskalopoulos ,C2,1,Aigio,23/4/2023,Tarmac,cup,16,636.78
Kaberos Alekos,C3 F2,1,Aigio,23/4/2023,Tarmac,cup,17,639.57
Mavromatis Mar,C6 F2,1,Aigio,23/4/2023,Tarmac,cup,18,643.47
Kouniakis K.  ,C6 F2,1,Aigio,23/4/2023,Tarmac,cup,19,645.52
Komnos Nikos  ,C5 F2,1,Aigio,23/4/2023,Tarmac,cup,20,645.61
Zizas Agis  - ,C5 F2,1,Aigio,23/4/2023,Tarmac,cup,21,652.34
Rekkas Panange,C6 F2,1,Aigio,23/4/2023,Tarmac,cup,22,659.46
Stafilopatis M,4 2000+,1,Aigio,23/4/2023,Tarmac,cup,23,660.0
Amaxopoulos D.,2 1600,1,Aigio,23/4/2023,Tarmac,cup,24,660.0
Gerovassilis A,4 2000,1,Aigio,23/4/2023,Tarmac,cup,25,660.0
Kofinas Konsta,4 2000+,1,Aigio,23/4/2023,Tarmac,cup,26,660.0
Kyriakopoulos ,4 1600,1,Aigio,23/4/2023,Tarmac,cup,27,660.0
Katsikas Ioann,3 2000,1,Aigio,23/4/2023,Tarmac,cup,28,660.0
Papazoglou L. ,4 2000+,1,Aigio,23/4/2023,Tarmac,cup,29,660.0
Tsiplantonis K,3 1600,1,Aigio,23/4/2023,Tarmac,cup,30,660.0
Kassidopoulos ,3 1600,1,Aigio,23/4/2023,Tarmac,cup,31,660.0
Mitropoulos Ko,2 2000,1,Aigio,23/4/2023,Tarmac,cup,32,660.0
Lykakis Ioanni,2 2000,1,Aigio,23/4/2023,Tarmac,cup,33,660.0
Kaberos Willia,C3 F2,1,Aigio,23/4/2023,Tarmac,cup,34,669.41
Kandiliotis V.,C2,1,Aigio,23/4/2023,Tarmac,cup,35,678.67
Karouzos Giorg,C4 F2,1,Aigio,23/4/2023,Tarmac,cup,36,686.06
Zois Dimitris ,C5 F2,1,Aigio,23/4/2023,Tarmac,cup,37,1152.05
Koukeas E.  - ,C1,2,Aigio,23/4/2023,Tarmac,cup,1,580.53
Gerodimos Gior,C2,2,Aigio,23/4/2023,Tarmac,cup,2,581.85
Nomikos Andrea,C1,2,Aigio,23/4/2023,Tarmac,cup,3,595.82
Karathanassis ,C5 F2,2,Aigio,23/4/2023,Tarmac,cup,4,598.72
Komnos Nikos  ,C5 F2,2,Aigio,23/4/2023,Tarmac,cup,5,602.68
Kandiliotis V.,C2,2,Aigio,23/4/2023,Tarmac,cup,6,605.59
Stafilopatis M,4 2000+,2,Aigio,23/4/2023,Tarmac,cup,7,607.49
Kapralos D.  -,C3 F2,2,Aigio,23/4/2023,Tarmac,cup,8,612.05
Kondilis Panag,C5 F2,2,Aigio,23/4/2023,Tarmac,cup,9,612.98
Katsarelias E.,C3 F2,2,Aigio,23/4/2023,Tarmac,cup,10,619.96
Daskalopoulos ,C2,2,Aigio,23/4/2023,Tarmac,cup,11,620.36
Pantieras Stam,C6 F2,2,Aigio,23/4/2023,Tarmac,cup,12,620.62
Zois Dimitris ,C5 F2,2,Aigio,23/4/2023,Tarmac,cup,13,621.92
Tzikopoulos P.,C3 F2,2,Aigio,23/4/2023,Tarmac,cup,14,625.56
Tiros Nikos  -,C6 F2,2,Aigio,23/4/2023,Tarmac,cup,15,625.71
Katsikas Ioann,3 2000,2,Aigio,23/4/2023,Tarmac,cup,16,629.83
Pantelakis Gio,C3 F2,2,Aigio,23/4/2023,Tarmac,cup,17,635.68
Kaberos Alekos,C3 F2,2,Aigio,23/4/2023,Tarmac,cup,18,637.61
Rekkas Panange,C6 F2,2,Aigio,23/4/2023,Tarmac,cup,19,638.06
Kouniakis K.  ,C6 F2,2,Aigio,23/4/2023,Tarmac,cup,20,639.3
Amaxopoulos D.,2 1600,2,Aigio,23/4/2023,Tarmac,cup,21,644.0
Mavromatis Mar,C6 F2,2,Aigio,23/4/2023,Tarmac,cup,22,651.03
Gerovassilis A,4 2000,2,Aigio,23/4/2023,Tarmac,cup,23,651.21
Kaberos Willia,C3 F2,2,Aigio,23/4/2023,Tarmac,cup,24,654.58
Zizas Agis  - ,C5 F2,2,Aigio,23/4/2023,Tarmac,cup,25,657.62
Kyriakopoulos ,4 1600,2,Aigio,23/4/2023,Tarmac,cup,26,660.8
Papazoglou L. ,4 2000+,2,Aigio,23/4/2023,Tarmac,cup,27,674.88
Karouzos Giorg,C4 F2,2,Aigio,23/4/2023,Tarmac,cup,28,680.16
Kopanakis Gior,C4 F2,2,Aigio,23/4/2023,Tarmac,cup,29,693.58
Kassidopoulos ,3 1600,2,Aigio,23/4/2023,Tarmac,cup,30,707.42
Mitropoulos Ko,2 2000,2,Aigio,23/4/2023,Tarmac,cup,31,753.43
Kofinas Konsta,4 2000+,2,Aigio,23/4/2023,Tarmac,cup,32,804.71
