,,,Pos.,Pos.,Pos.,Pos.,Pos.
ss,,,1,2,3,4,5
Crew,Gr/Cl,Race,,,,,
Anastasiou Mak,C5 F2,Almiros,13,17,16,17,16
Diamantis D.  ,C4 F2,Almiros,13,16,14,14,14
Efthimiadis H.,C5 F2,Almiros,13,14,18,15,15
Figioris Vassi,C3 F2,Almiros,13,18,15,18,18
Gerodimos Gior,C2,Almiros,1,-,-,-,-
Kampilis Panag,C1,Almiros,3,1,1,1,1
Karathanassis ,C5 F2,Almiros,6,3,5,4,4
Katsarelias E.,C3 F2,Almiros,11,9,8,8,9
Katsionis T.  ,C4 F2,Almiros,8,6,7,5,6
Kehagias Dimit,C5 F2,Almiros,13,15,17,16,17
Koutsoukos Ang,C4 F2,Almiros,13,19,-,-,-
Labrou Athanas,C5 F2,Almiros,13,20,19,19,19
Massialas Vage,C6 F2,Almiros,13,13,13,13,12
Michail Stamat,C5 F2,Almiros,5,4,4,3,3
Panagiotopoulo,C2,Almiros,12,10,9,10,10
Sotiriadis Nik,C2,Almiros,9,8,6,7,7
Stergiadis A. ,C5 F2,Almiros,4,5,3,6,5
Theofanidis S.,C3 F2,Almiros,22,12,12,11,11
Trichidis Niko,C3 F2,Almiros,13,-,-,-,-
Tzikopoulos P.,C3 F2,Almiros,10,11,11,12,13
Vatsos Nikos  ,C3 F2,Almiros,7,7,10,9,8
Vlachos Aposto,C2,Almiros,2,2,2,2,2
