,,,ss_time,ss_time,ss_time,ss_time,ss_time
ss,,,1,2,3,4,5
Crew,Gr/Cl,Race,,,,,
Anastasiou Mak,C5 F2,Almiros,7:41.73 [N],4:03.20,8:02.29,3:58.64,3:55.67
Diamantis D.  ,C4 F2,Almiros,7:41.73 [N],3:56.37,7:58.31,3:51.02,3:52.54
Efthimiadis H.,C5 F2,Almiros,7:41.73 [N],3:55.77,8:06.24,3:51.03,3:52.57
Figioris Vassi,C3 F2,Almiros,7:41.73 [N],4:06.93,8:00.08,4:04.05,4:11.01
Gerodimos Gior,C2,Almiros,6:48.44,-,-,-,-
Kampilis Panag,C1,Almiros,6:54.86,3:21.09,6:47.03,3:19.14,3:21.96
Karathanassis ,C5 F2,Almiros,7:11.58,3:30.53,7:03.76,3:29.25,3:28.40
Katsarelias E.,C3 F2,Almiros,7:27.19,3:37.47,7:16.22,3:33.43,3:33.36
Katsionis T.  ,C4 F2,Almiros,7:18.69,3:31.70,7:14.10,3:29.46,3:31.44
Kehagias Dimit,C5 F2,Almiros,7:41.73 [N],3:56.14,8:05.92,3:56.11,4:05.76
Koutsoukos Ang,C4 F2,Almiros,7:41.73 [N],4:19.33,-,-,-
Labrou Athanas,C5 F2,Almiros,7:41.73 [N],4:28.00,8:20.21,4:05.96,4:27.03
Massialas Vage,C6 F2,Almiros,7:41.73 [N],3:50.15,7:40.52,3:50.70,3:41.83
Michail Stamat,C5 F2,Almiros,7:10.79,3:30.57,7:03.72,3:27.02,3:26.72
Panagiotopoulo,C2,Almiros,7:34.42,3:40.63,7:17.21,3:36.13,3:38.01
Sotiriadis Nik,C2,Almiros,7:19.23,3:36.48,7:09.76,3:32.77,3:31.93
Stergiadis A. ,C5 F2,Almiros,7:01.70,3:31.07,7:00.56,3:30.68,3:30.95
Theofanidis S.,C3 F2,Almiros,7:45.49,3:46.66,7:33.99,3:39.92,3:38.67
Trichidis Niko,C3 F2,Almiros,7:41.73,-,-,-,-
Tzikopoulos P.,C3 F2,Almiros,7:24.62,3:41.51,7:27.76,3:41.42,3:42.52
Vatsos Nikos  ,C3 F2,Almiros,7:15.57,3:33.16,7:18.49,3:33.97,3:33.22
Vlachos Aposto,C2,Almiros,6:54.62,3:23.41,7:00.44,3:24.28,3:25.37
