,,,Pos.,Pos.,Pos.,Pos.
ss,,,1,2,3,4
Crew,Gr/Cl,Race,,,,
Agathokleous G,C3 F2,Boiotias,16,14,10,12
Agelis Elias  ,C6 F2,Boiotias,37,28,17,47
Amaxopoulos D.,2 1600,Boiotias,14,23,26,21
Antoniou K.  -,C3 F2,Boiotias,22,17,9,11
Athanasoulas S,C5 F2,Boiotias,19,22,-,-
Basdelis Andre,C3 F2,Boiotias,27,29,20,27
Berssis Evange,T1,Boiotias,26,36,16,37
Chatzigakis G.,C3 F2,Boiotias,32,9,23,15
Chatzimarkos P,C1,Boiotias,7,3,48,2
Davaris Nikos ,C2,Boiotias,13,8,11,10
Delaportas Gio,C5 F2,Boiotias,38,43,18,26
Dimopoulos Ant,C4 F2,Boiotias,33,-,-,-
Eliopoulos P. ,C2,Boiotias,6,-,-,-
Englezos T.  -,C6 F2,Boiotias,35,39,22,31
Gazetas Dionis,C6 F2,Boiotias,39,24,31,19
Georgakopoulos,4 1600,Boiotias,18,33,25,35
Gerodimos Gior,C5 F2,Boiotias,54,38,34,25
Giannakopoulos,C6 F2,Boiotias,31,40,24,32
Halivelakis A.,3 2000,Boiotias,5,19,21,18
Halkias Efthim,4 1600,Boiotias,11,21,19,23
Ismailos Panos,C2,Boiotias,8,5,3,5
Kalamaras Teo ,C3 F2,Boiotias,40,35,29,29
Kanellopoulos ,C5 F2,Boiotias,47,42,38,41
Kansos P.  - G,4 2000,Boiotias,53,-,-,-
Karagrigoris A,4 1600,Boiotias,46,44,35,40
Karotsieris An,C5 F2,Boiotias,57,18,42,13
Kehagias Giorg,C1,Boiotias,2,2,1,1
Kokkinos Steli,C4 F2,Boiotias,49,26,39,44
Kotsopoulos A.,4 2000,Boiotias,52,46,45,42
Kourtessis Har,C6 F2,Boiotias,51,41,40,36
Kyriakopoulos ,4 -1300,Boiotias,28,25,28,34
Lambrou Karolo,1 -1300,Boiotias,41,49,46,-
Lefkaditis Sav,C3 F2,Boiotias,9,7,5,6
Lymperis A.  -,C2,Boiotias,29,34,14,24
Mathios Nikola,3 -1300,Boiotias,56,51,49,46
Mavraganis Ari,C4 F2,Boiotias,45,32,43,27
Melas D.  - Va,C2,Boiotias,42,37,47,33
Milonas K.  - ,C4 F2,Boiotias,30,16,41,20
Mitsias M.  - ,C3 F2,Boiotias,44,50,36,39
Nomikos Mihali,4 -1300,Boiotias,36,31,32,38
Panoutsos T.  ,C5 F2,Boiotias,17,13,12,-
Panteli Petros,C1,Boiotias,3,4,2,3
Papadimitriou ,4 2000,Boiotias,20,30,30,30
Papadopoulos I,C5 F2,Boiotias,48,48,37,43
Paradissis Gio,3 2000,Boiotias,12,27,27,22
Paradissis P. ,C2,Boiotias,4,6,4,4
Pavli Marialen,C6 F2,Boiotias,43,-,-,-
Pierroutsakos ,4 -1300,Boiotias,34,-,-,-
Sassos  - Vava,C5 F2,Boiotias,15,11,7,8
Simetra  - Pal,C2,Boiotias,25,20,13,16
Stafilopatis M,3 2000,Boiotias,23,12,33,14
Tsakalos Theod,C5 F2,Boiotias,24,10,6,9
Tsouloftas Ale,C1,Boiotias,1,1,-,-
Vassilopoulos ,2 2000,Boiotias,50,47,44,45
Velanis Vassil,C1,Boiotias,55,-,-,-
Vorrias Ioanni,T1,Boiotias,21,45,15,17
Xanthakos M.  ,C2,Boiotias,10,15,8,7
