,,,ss_time,ss_time,ss_time,ss_time
ss,,,1,2,3,4
Crew,Gr/Cl,Race,,,,
Agathokleous G,C3 F2,Boiotias,9:39.04,6:59.21,9:00.40,6:43.10
Agelis Elias  ,C6 F2,Boiotias,10:23.05,7:29.79,9:24.95,11:30.29
Amaxopoulos D.,2 1600,Boiotias,9:35.22,7:13.54,9:45.99,7:06.16
Antoniou K.  -,C3 F2,Boiotias,9:50.97,7:04.00,8:57.94,6:36.01
Athanasoulas S,C5 F2,Boiotias,9:48.63,7:08.64,-,-
Basdelis Andre,C3 F2,Boiotias,10:00.64,7:29.82,9:35.40,7:13.22
Berssis Evange,T1,Boiotias,9:57.67,7:37.84,9:21.90,7:35.36
Chatzigakis G.,C3 F2,Boiotias,10:12.12,6:51.80,9:37.49,6:47.40
Chatzimarkos P,C1,Boiotias,8:58.36,5:48.87,14:28.99,5:41.06
Davaris Nikos ,C2,Boiotias,9:31.96,6:48.64,9:02.15,6:35.71
Delaportas Gio,C5 F2,Boiotias,10:30.71,7:52.97,9:29.97,7:12.48
Dimopoulos Ant,C4 F2,Boiotias,10:17.20,-,-,-
Eliopoulos P. ,C2,Boiotias,8:55.28,-,-,-
Englezos T.  -,C6 F2,Boiotias,10:21.69,7:42.99,9:37.37,7:15.57
Gazetas Dionis,C6 F2,Boiotias,10:36.39,7:14.69,9:57.80,7:04.65
Georgakopoulos,4 1600,Boiotias,9:43.84,7:32.13,9:44.44,7:22.92
Gerodimos Gior,C5 F2,Boiotias,12:07.95,7:42.96,10:27.44,7:12.41
Giannakopoulos,C6 F2,Boiotias,10:11.93,7:47.65,9:39.86,7:15.82
Halivelakis A.,3 2000,Boiotias,8:51.11,7:07.18,9:36.39,7:03.71
Halkias Efthim,4 1600,Boiotias,9:16.37,7:07.27,9:30.27,7:11.70
Ismailos Panos,C2,Boiotias,9:01.84,6:06.45,8:07.13,5:59.03
Kalamaras Teo ,C3 F2,Boiotias,10:38.57,7:35.08,9:52.41,7:14.53
Kanellopoulos ,C5 F2,Boiotias,11:08.81,7:51.29,10:34.67,7:51.36
Kansos P.  - G,4 2000,Boiotias,12:02.56,-,-,-
Karagrigoris A,4 1600,Boiotias,11:05.03,7:54.36,10:27.58,7:48.72
Karotsieris An,C5 F2,Boiotias,15:43.22,7:06.15,10:45.30,6:45.74
Kehagias Giorg,C1,Boiotias,8:04.41,5:36.61,7:28.75,5:30.79
Kokkinos Steli,C4 F2,Boiotias,11:24.74,7:21.56,10:39.31,8:17.72
Kotsopoulos A.,4 2000,Boiotias,11:47.28,8:11.08,11:52.54,7:54.84
Kourtessis Har,C6 F2,Boiotias,11:41.56,7:50.98,10:42.76,7:26.92
Kyriakopoulos ,4 -1300,Boiotias,10:04.04,7:15.57,9:51.66,7:22.41
Lambrou Karolo,1 -1300,Boiotias,10:47.98,8:25.71,11:54.91,-
Lefkaditis Sav,C3 F2,Boiotias,9:04.39,6:19.13,8:30.37,5:59.55
Lymperis A.  -,C2,Boiotias,10:05.25,7:34.17,9:16.50,7:12.18
Mathios Nikola,3 -1300,Boiotias,14:17.15,10:08.55,14:38.63,10:33.05
Mavraganis Ari,C4 F2,Boiotias,10:57.69,7:32.03,11:08.74,7:13.22
Melas D.  - Va,C2,Boiotias,10:48.61,7:39.51,12:24.60,7:20.62
Milonas K.  - ,C4 F2,Boiotias,10:06.04,7:00.16,10:42.86,7:05.11
Mitsias M.  - ,C3 F2,Boiotias,10:54.46,8:27.92,10:28.58,7:42.27
Nomikos Mihali,4 -1300,Boiotias,10:22.04,7:31.27,10:19.36,7:39.13
Panoutsos T.  ,C5 F2,Boiotias,9:40.54,6:58.71,9:05.71,-
Panteli Petros,C1,Boiotias,8:21.38,5:59.46,7:56.42,5:53.58
Papadimitriou ,4 2000,Boiotias,9:49.31,7:31.07,9:55.70,7:15.02
Papadopoulos I,C5 F2,Boiotias,11:14.64,8:23.67,10:32.97,8:13.06
Paradissis Gio,3 2000,Boiotias,9:24.72,7:25.23,9:49.28,7:06.48
Paradissis P. ,C2,Boiotias,8:31.62,6:11.22,8:15.75,5:56.29
Pavli Marialen,C6 F2,Boiotias,10:50.79,-,-,-
Pierroutsakos ,4 -1300,Boiotias,10:17.36,-,-,-
Sassos  - Vava,C5 F2,Boiotias,9:37.38,6:55.39,8:43.59,6:27.72
Simetra  - Pal,C2,Boiotias,9:55.91,7:07.25,9:16.32,6:47.67
Stafilopatis M,3 2000,Boiotias,9:53.88,6:56.23,10:23.36,6:46.12
Tsakalos Theod,C5 F2,Boiotias,9:54.43,6:53.13,8:42.22,6:28.92
Tsouloftas Ale,C1,Boiotias,7:40.90,5:25.78,-,-
Vassilopoulos ,2 2000,Boiotias,11:38.52,8:15.15,11:21.49,8:20.95
Velanis Vassil,C1,Boiotias,12:13.31,-,-,-
Vorrias Ioanni,T1,Boiotias,9:49.38,8:04.76,9:21.10,6:53.36
Xanthakos M.  ,C2,Boiotias,9:16.18,6:59.82,8:46.08,6:25.99
