Crew,Gr/Cl,ss,Race,date,surface,competition,cou,time_SS_sec
Tsouloftas Ale,C1,1,Boiotias,5/3/2023,Gravel,cup,1,460.9
Kehagias Giorg,C1,1,Boiotias,5/3/2023,Gravel,cup,2,484.41
Panteli Petros,C1,1,Boiotias,5/3/2023,Gravel,cup,3,501.38
Paradissis P. ,C2,1,Boiotias,5/3/2023,Gravel,cup,4,511.62
Halivelakis A.,3 2000,1,Boiotias,5/3/2023,Gravel,cup,5,531.11
Eliopoulos P. ,C2,1,Boiotias,5/3/2023,Gravel,cup,6,535.28
Chatzimarkos P,C1,1,Boiotias,5/3/2023,Gravel,cup,7,538.36
Ismailos Panos,C2,1,Boiotias,5/3/2023,Gravel,cup,8,541.84
Lefkaditis Sav,C3 F2,1,Boiotias,5/3/2023,Gravel,cup,9,544.39
Xanthakos M.  ,C2,1,Boiotias,5/3/2023,Gravel,cup,10,556.18
Halkias Efthim,4 1600,1,Boiotias,5/3/2023,Gravel,cup,11,556.37
Paradissis Gio,3 2000,1,Boiotias,5/3/2023,Gravel,cup,12,564.72
Davaris Nikos ,C2,1,Boiotias,5/3/2023,Gravel,cup,13,571.96
Amaxopoulos D.,2 1600,1,Boiotias,5/3/2023,Gravel,cup,14,575.22
Sassos  - Vava,C5 F2,1,Boiotias,5/3/2023,Gravel,cup,15,577.38
Agathokleous G,C3 F2,1,Boiotias,5/3/2023,Gravel,cup,16,579.04
Panoutsos T.  ,C5 F2,1,Boiotias,5/3/2023,Gravel,cup,17,580.54
Georgakopoulos,4 1600,1,Boiotias,5/3/2023,Gravel,cup,18,583.84
Athanasoulas S,C5 F2,1,Boiotias,5/3/2023,Gravel,cup,19,588.63
Papadimitriou ,4 2000,1,Boiotias,5/3/2023,Gravel,cup,20,589.31
Vorrias Ioanni,T1,1,Boiotias,5/3/2023,Gravel,cup,21,589.38
Antoniou K.  -,C3 F2,1,Boiotias,5/3/2023,Gravel,cup,22,590.97
Stafilopatis M,3 2000,1,Boiotias,5/3/2023,Gravel,cup,23,593.88
Tsakalos Theod,C5 F2,1,Boiotias,5/3/2023,Gravel,cup,24,594.43
Simetra  - Pal,C2,1,Boiotias,5/3/2023,Gravel,cup,25,595.91
Berssis Evange,T1,1,Boiotias,5/3/2023,Gravel,cup,26,597.67
Basdelis Andre,C3 F2,1,Boiotias,5/3/2023,Gravel,cup,27,600.64
Kyriakopoulos ,4 -1300,1,Boiotias,5/3/2023,Gravel,cup,28,604.04
Lymperis A.  -,C2,1,Boiotias,5/3/2023,Gravel,cup,29,605.25
Milonas K.  - ,C4 F2,1,Boiotias,5/3/2023,Gravel,cup,30,606.04
Giannakopoulos,C6 F2,1,Boiotias,5/3/2023,Gravel,cup,31,611.93
Chatzigakis G.,C3 F2,1,Boiotias,5/3/2023,Gravel,cup,32,612.12
Dimopoulos Ant,C4 F2,1,Boiotias,5/3/2023,Gravel,cup,33,617.2
Pierroutsakos ,4 -1300,1,Boiotias,5/3/2023,Gravel,cup,34,617.36
Englezos T.  -,C6 F2,1,Boiotias,5/3/2023,Gravel,cup,35,621.69
Nomikos Mihali,4 -1300,1,Boiotias,5/3/2023,Gravel,cup,36,622.04
Agelis Elias  ,C6 F2,1,Boiotias,5/3/2023,Gravel,cup,37,623.05
Delaportas Gio,C5 F2,1,Boiotias,5/3/2023,Gravel,cup,38,630.71
Gazetas Dionis,C6 F2,1,Boiotias,5/3/2023,Gravel,cup,39,636.39
Kalamaras Teo ,C3 F2,1,Boiotias,5/3/2023,Gravel,cup,40,638.57
Lambrou Karolo,1 -1300,1,Boiotias,5/3/2023,Gravel,cup,41,647.98
Melas D.  - Va,C2,1,Boiotias,5/3/2023,Gravel,cup,42,648.61
Pavli Marialen,C6 F2,1,Boiotias,5/3/2023,Gravel,cup,43,650.79
Mitsias M.  - ,C3 F2,1,Boiotias,5/3/2023,Gravel,cup,44,654.46
Mavraganis Ari,C4 F2,1,Boiotias,5/3/2023,Gravel,cup,45,657.69
Karagrigoris A,4 1600,1,Boiotias,5/3/2023,Gravel,cup,46,665.03
Kanellopoulos ,C5 F2,1,Boiotias,5/3/2023,Gravel,cup,47,668.81
Papadopoulos I,C5 F2,1,Boiotias,5/3/2023,Gravel,cup,48,674.64
Kokkinos Steli,C4 F2,1,Boiotias,5/3/2023,Gravel,cup,49,684.74
Vassilopoulos ,2 2000,1,Boiotias,5/3/2023,Gravel,cup,50,698.52
Kourtessis Har,C6 F2,1,Boiotias,5/3/2023,Gravel,cup,51,701.56
Kotsopoulos A.,4 2000,1,Boiotias,5/3/2023,Gravel,cup,52,707.28
Kansos P.  - G,4 2000,1,Boiotias,5/3/2023,Gravel,cup,53,722.56
Gerodimos Gior,C5 F2,1,Boiotias,5/3/2023,Gravel,cup,54,727.95
Velanis Vassil,C1,1,Boiotias,5/3/2023,Gravel,cup,55,733.31
Mathios Nikola,3 -1300,1,Boiotias,5/3/2023,Gravel,cup,56,857.15
Karotsieris An,C5 F2,1,Boiotias,5/3/2023,Gravel,cup,57,943.22
Tsouloftas Ale,C1,2,Boiotias,5/3/2023,Gravel,cup,1,325.78
Kehagias Giorg,C1,2,Boiotias,5/3/2023,Gravel,cup,2,336.61
Chatzimarkos P,C1,2,Boiotias,5/3/2023,Gravel,cup,3,348.87
Panteli Petros,C1,2,Boiotias,5/3/2023,Gravel,cup,4,359.46
Ismailos Panos,C2,2,Boiotias,5/3/2023,Gravel,cup,5,366.45
Paradissis P. ,C2,2,Boiotias,5/3/2023,Gravel,cup,6,371.22
Lefkaditis Sav,C3 F2,2,Boiotias,5/3/2023,Gravel,cup,7,379.13
