,,,Pos.,Pos.,Pos.,Pos.
ss,,,1,2,3,4
Crew,Gr/Cl,Race,,,,
Aligizakis E. ,C1,Deth,2,3,2,3
Anagnostakis K,C4 F2,Deth,22,19,19,18
Anapoliotakis ,C1,Deth,3,2,3,2
Anastassovitis,C6 F2,Deth,39,34,33,30
Angelidis Gior,C3 F2,Deth,33,36,34,26
Archangelidis ,C2,Deth,35,-,-,-
Argiriou Giorg,C2,Deth,11,8,11,6
Avgeropoulos C,C4 F2,Deth,9,5,7,-
Avramidis A.  ,C6,Deth,19,21,21,24
Bais Giorgos  ,C6 F2,Deth,34,31,29,-
Baxevanakis Pa,C3 F2,Deth,12,13,13,14
Brozos Fotis  ,C3 F2,Deth,5,7,5,7
Dimou George  ,C3 F2,Deth,41,-,-,-
Efthimiadis H.,C5 F2,Deth,26,-,-,-
Gerodimos Gior,C2,Deth,7,10,9,10
Ieremiadis Sot,C1,Deth,4,4,4,4
Karafillias Gi,C6 F2,Deth,32,-,-,-
Karagiozopoulo,C3 F2,Deth,21,26,20,20
Katsionis T.  ,C4 F2,Deth,15,18,14,12
Konstantinidis,C3 F2,Deth,6,6,10,9
Koukas Stavros,C3 F2,Deth,38,32,32,29
Koutsodimos Io,C6 F2,Deth,40,37,18,17
Manouskos Niko,C6 F2,Deth,30,27,27,23
Maragakis Andr,C6 F2,Deth,25,23,23,-
Massialas Vage,C6 F2,Deth,27,25,24,21
Moschos A.  - ,C3 F2,Deth,8,9,6,5
Partalios D.  ,C3 F2,Deth,29,29,26,25
Pazis Sokratis,C6 F2,Deth,28,30,25,22
Perakis A.  - ,C4 F2,Deth,18,16,17,15
Peroulakis Geo,C2,Deth,10,11,8,8
Rakitzis Grigo,C5 F2,Deth,31,28,28,27
Skoulariotis L,C3 F2,Deth,20,20,-,-
Sotiriadis Nik,C2,Deth,13,12,12,11
Stergiadis A. ,C5 F2,Deth,14,14,15,13
Tassos Vassili,C2,Deth,24,22,22,19
Tsakiroglou A.,C3 F2,Deth,36,35,30,28
Tsitsigiannis ,C5 F2,Deth,23,24,-,-
Tsolakidis Soc,C1,Deth,1,1,1,1
Valavanis I.  ,C3 F2,Deth,16,17,-,-
Vatsos Nikos  ,C3 F2,Deth,17,15,16,16
Vezyris C.  - ,C6 F2,Deth,37,33,31,31
