,,,ss_time,ss_time,ss_time,ss_time
ss,,,1,2,3,4
Crew,Gr/Cl,Race,,,,
Aligizakis E. ,C1,Deth,10:44.91,14:12.00,10:41.91,14:02.23
Anagnostakis K,C4 F2,Deth,12:28.79,16:02.77,12:21.03,15:56.72
Anapoliotakis ,C1,Deth,10:45.55,14:00.84,10:42.46,14:01.01
Anastassovitis,C6 F2,Deth,15:41.47,20:31.01,15:24.62,20:57.70
Angelidis Gior,C3 F2,Deth,13:38.41,26:34.23,17:19.30,18:08.03
Archangelidis ,C2,Deth,14:40.78,-,-,-
Argiriou Giorg,C2,Deth,11:33.75,14:51.79,11:29.32,14:42.30
Avgeropoulos C,C4 F2,Deth,11:29.15,14:42.23,11:17.42,-
Avramidis A.  ,C6,Deth,12:19.71,16:16.03,12:28.19,17:06.45
Bais Giorgos  ,C6 F2,Deth,13:51.14,18:19.49,13:53.86,-
Baxevanakis Pa,C3 F2,Deth,11:45.00,15:23.83,11:51.67,15:44.66
Brozos Fotis  ,C3 F2,Deth,11:22.49,14:50.55,11:14.54,14:45.35
Dimou George  ,C3 F2,Deth,28:11.04,-,-,-
Efthimiadis H.,C5 F2,Deth,12:49.60,-,-,-
Gerodimos Gior,C2,Deth,11:25.29,14:54.54,11:21.15,14:55.40
Ieremiadis Sot,C1,Deth,11:03.70,14:38.67,10:56.41,14:21.68
Karafillias Gi,C6 F2,Deth,13:32.75,-,-,-
Karagiozopoulo,C3 F2,Deth,12:27.08,16:43.80,12:24.95,16:25.60
Katsionis T.  ,C4 F2,Deth,12:04.75,16:01.69,11:58.54,15:35.46
Konstantinidis,C3 F2,Deth,11:22.99,14:47.57,11:24.97,14:50.55
Koukas Stavros,C3 F2,Deth,15:28.19,20:12.81,15:23.61,20:22.50
Koutsodimos Io,C6 F2,Deth,17:11.28,41:53.68,12:18.03,15:47.33
Manouskos Niko,C6 F2,Deth,13:25.56,16:55.49,13:11.47,17:03.89
Maragakis Andr,C6 F2,Deth,12:48.91,16:31.81,12:38.73,-
Massialas Vage,C6 F2,Deth,12:56.61,16:42.91,12:59.68,16:51.11
Moschos A.  - ,C3 F2,Deth,11:28.40,14:52.67,11:15.18,14:38.87
Partalios D.  ,C3 F2,Deth,13:18.67,17:05.99,13:08.14,17:16.19
Pazis Sokratis,C6 F2,Deth,13:04.68,17:18.89,13:04.79,17:01.27
Perakis A.  - ,C4 F2,Deth,12:10.87,15:42.35,12:04.73,15:45.57
Peroulakis Geo,C2,Deth,11:30.61,14:57.18,11:19.52,14:46.04
Rakitzis Grigo,C5 F2,Deth,13:28.57,17:00.62,13:51.20,18:20.68
Skoulariotis L,C3 F2,Deth,12:24.37,16:13.93,-,-
Sotiriadis Nik,C2,Deth,11:49.93,15:19.72,11:40.53,15:16.65
Stergiadis A. ,C5 F2,Deth,12:01.01,15:28.52,12:01.28,15:35.60
Tassos Vassili,C2,Deth,12:43.33,16:18.50,12:30.36,16:10.85
Tsakiroglou A.,C3 F2,Deth,14:46.68,26:14.26,14:36.68,19:59.75
Tsitsigiannis ,C5 F2,Deth,12:35.96,16:38.81,-,-
Tsolakidis Soc,C1,Deth,10:33.48,13:50.24,10:35.88,13:55.21
Valavanis I.  ,C3 F2,Deth,12:04.87,15:42.79,-,-
Vatsos Nikos  ,C3 F2,Deth,12:10.72,15:38.49,12:03.26,15:47.24
Vezyris C.  - ,C6 F2,Deth,15:21.26,20:13.49,15:21.29,20:58.03
