,,,Pos.,Pos.,Pos.,Pos.,Pos.
ss,,,1,2,3,4,5
Crew,Gr/Cl,Race,,,,,
Amoutzas Giorg,C3 F2,Fthinoporino,8,7,9,6,5
Andrikopoulos ,C5 F2,Fthinoporino,25,24,24,20,18
Batis Vassilis,C6 F2,Fthinoporino,27,21,20,17,17
Chatzimarkos P,C3 F2,Fthinoporino,7,5,5,4,4
Davaris Nikos ,C2,Fthinoporino,11,10,10,9,9
Delaportas Gio,C3,Fthinoporino,9,8,7,7,7
Giotis Ioannis,C4 F2,Fthinoporino,17,12,13,22,12
Halkias Efthim,C3,Fthinoporino,4,4,-,-,-
Ismailos Panos,C2,Fthinoporino,5,22,4,5,3
Kalamaras Teo ,C5 F2,Fthinoporino,16,26,-,-,-
Kaldis Konstan,4,Fthinoporino,22,20,22,-,-
Karanikolas E.,C5 F2,Fthinoporino,6,6,6,-,-
Karatarouk K. ,C4 F2,Fthinoporino,24,25,21,19,19
Kattis Dimítri,C6 F2,Fthinoporino,26,23,23,21,21
Kechagias Gior,C1,Fthinoporino,2,2,2,2,2
Kirkos Panagio,C2,Fthinoporino,3,3,3,3,6
Ladias Akis  -,C2,Fthinoporino,14,13,12,11,10
Milonas K.  - ,C4 F2,Fthinoporino,13,11,11,10,11
Panagiotopoulo,C6 F2,Fthinoporino,20,18,17,14,-
Papadimitriou ,C1,Fthinoporino,1,1,1,1,1
Rahoutis Fanis,C6 F2,Fthinoporino,23,19,19,18,16
Sotiropoulos N,C6 F2,Fthinoporino,19,16,16,16,14
Stavropoulos D,C6 F2,Fthinoporino,18,15,15,13,13
Theocharopoulo,C2,Fthinoporino,10,9,8,8,8
Vigopoulos Nik,C5 F2,Fthinoporino,12,27,-,-,-
Yfantis V.  - ,C3 F2,Fthinoporino,15,14,14,12,20
Yiangou Y.  - ,C2,Fthinoporino,21,17,18,15,15
