,,,ss_time,ss_time,ss_time,ss_time,ss_time
ss,,,1,2,3,4,5
Crew,Gr/Cl,Race,,,,,
Amoutzas Giorg,C3 F2,Fthinoporino,7:40.61,16:24.07,7:47.32,16:11.66,10:54.30
Andrikopoulos ,C5 F2,Fthinoporino,10:13.32,22:43.40,9:57.18,21:44.18,14:27.00
Batis Vassilis,C6 F2,Fthinoporino,10:40.14,21:11.84,9:30.82,20:11.94,13:57.19
Chatzimarkos P,C3 F2,Fthinoporino,7:35.76,16:05.78,7:26.05,15:58.66,10:51.24
Davaris Nikos ,C2,Fthinoporino,8:03.44,17:41.81,8:03.60,17:54.11,11:35.16
Delaportas Gio,C3,Fthinoporino,7:44.62,16:31.90,7:42.56,16:42.30,11:06.56
Giotis Ioannis,C4 F2,Fthinoporino,8:34.39,18:05.34,8:28.58,27:22.91,12:11.83
Halkias Efthim,C3,Fthinoporino,7:19.28,15:56.73,-,-,-
Ismailos Panos,C2,Fthinoporino,7:31.80,21:36.57,7:17.07,16:04.89,10:29.85
Kalamaras Teo ,C5 F2,Fthinoporino,8:33.76,23:39.02,-,-,-
Kaldis Konstan,4,Fthinoporino,9:30.29,20:38.00,9:38.88,-,-
Karanikolas E.,C5 F2,Fthinoporino,7:34.79,16:14.30,7:29.16,-,-
Karatarouk K. ,C4 F2,Fthinoporino,9:48.93,22:58.08,9:37.56,21:11.47,14:35.14
Kattis Dimítri,C6 F2,Fthinoporino,10:17.96,22:02.91,9:54.20,22:22.11,14:49.74
Kechagias Gior,C1,Fthinoporino,6:59.42,15:02.11,6:56.30,15:03.24,10:00.71
Kirkos Panagio,C2,Fthinoporino,7:18.35,15:38.56,7:03.73,15:28.75,10:55.36
Ladias Akis  -,C2,Fthinoporino,8:23.84,18:05.59,8:14.75,18:12.58,12:02.88
Milonas K.  - ,C4 F2,Fthinoporino,8:17.50,17:55.68,8:08.40,18:10.33,12:09.01
Panagiotopoulo,C6 F2,Fthinoporino,8:55.84,19:52.47,8:47.23,18:42.71,-
Papadimitriou ,C1,Fthinoporino,6:50.25,14:55.27,6:41.81,14:39.22,9:48.67
Rahoutis Fanis,C6 F2,Fthinoporino,9:33.06,20:26.86,9:12.99,20:19.08,13:28.13
Sotiropoulos N,C6 F2,Fthinoporino,8:47.30,18:51.91,8:46.38,19:30.22,12:32.19
Stavropoulos D,C6 F2,Fthinoporino,8:46.33,18:33.28,8:40.18,18:34.58,12:24.28
Theocharopoulo,C2,Fthinoporino,7:49.15,17:01.87,7:44.34,17:20.07,11:33.60
Vigopoulos Nik,C5 F2,Fthinoporino,8:07.22,28:18.72,-,-,-
Yfantis V.  - ,C3 F2,Fthinoporino,8:31.55,18:18.90,8:28.90,18:28.34,14:38.54
Yiangou Y.  - ,C2,Fthinoporino,9:10.85,19:17.88,9:02.49,19:01.90,12:48.45
