Crew,Gr/Cl,ss,Race,date,surface,competition,cou,time_SS_sec
Papadimitriou ,C1,1,Fthinoporino,1/10/2023,Gravel,Championship,1,410.25
Kechagias Gior,C1,1,Fthinoporino,1/10/2023,Gravel,Championship,2,419.42
Kirkos Panagio,C2,1,Fthinoporino,1/10/2023,Gravel,Championship,3,438.35
Halkias Efthim,C3,1,Fthinoporino,1/10/2023,Gravel,Championship,4,439.28
Ismailos Panos,C2,1,Fthinoporino,1/10/2023,Gravel,Championship,5,451.8
Karanikolas E.,C5 F2,1,Fthinoporino,1/10/2023,Gravel,Championship,6,454.79
Chatzimarkos P,C3 F2,1,Fthinoporino,1/10/2023,Gravel,Championship,7,455.76
Amoutzas Giorg,C3 F2,1,Fthinoporino,1/10/2023,Gravel,Championship,8,460.61
Delaportas Gio,C3,1,Fthinoporino,1/10/2023,Gravel,Championship,9,464.62
Theocharopoulo,C2,1,Fthinoporino,1/10/2023,Gravel,Championship,10,469.15
Davaris Nikos ,C2,1,Fthinoporino,1/10/2023,Gravel,Championship,11,483.44
Vigopoulos Nik,C5 F2,1,Fthinoporino,1/10/2023,Gravel,Championship,12,487.22
Milonas K.  - ,C4 F2,1,Fthinoporino,1/10/2023,Gravel,Championship,13,497.5
Ladias Akis  -,C2,1,Fthinoporino,1/10/2023,Gravel,Championship,14,503.84
Yfantis V.  - ,C3 F2,1,Fthinoporino,1/10/2023,Gravel,Championship,15,511.55
Kalamaras Teo ,C5 F2,1,Fthinoporino,1/10/2023,Gravel,Championship,16,513.76
Giotis Ioannis,C4 F2,1,Fthinoporino,1/10/2023,Gravel,Championship,17,514.39
Stavropoulos D,C6 F2,1,Fthinoporino,1/10/2023,Gravel,Championship,18,526.33
Sotiropoulos N,C6 F2,1,Fthinoporino,1/10/2023,Gravel,Championship,19,527.3
Panagiotopoulo,C6 F2,1,Fthinoporino,1/10/2023,Gravel,Championship,20,535.84
Yiangou Y.  - ,C2,1,Fthinoporino,1/10/2023,Gravel,Championship,21,550.85
Kaldis Konstan,4,1,Fthinoporino,1/10/2023,Gravel,Championship,22,570.29
Rahoutis Fanis,C6 F2,1,Fthinoporino,1/10/2023,Gravel,Championship,23,573.06
Karatarouk K. ,C4 F2,1,Fthinoporino,1/10/2023,Gravel,Championship,24,588.93
Andrikopoulos ,C5 F2,1,Fthinoporino,1/10/2023,Gravel,Championship,25,613.32
Kattis Dimítri,C6 F2,1,Fthinoporino,1/10/2023,Gravel,Championship,26,617.96
Batis Vassilis,C6 F2,1,Fthinoporino,1/10/2023,Gravel,Championship,27,640.14
