,,,Pos.,Pos.,Pos.,Pos.
ss,,,1,2,3,4
Crew,Gr/Cl,Race,,,,
Agelis Elias  ,C6 F2,Fthiotidas_G,26,22,23,-
Angelov Mirosl,C1,Fthiotidas_G,10,11,5,10
Antoniou K.  -,C3 F2,Fthiotidas_G,15,-,-,-
Badounas I.  -,C2,Fthiotidas_G,6,7,9,7
Baxevanakis A.,C6,Fthiotidas_G,31,25,21,22
Chatzigakis Gi,C3 F2,Fthiotidas_G,21,19,-,-
Chatzimarkos P,C3 F2,Fthiotidas_G,7,8,4,8
Davaris Nikos ,C2,Fthiotidas_G,17,-,-,-
Flandy  - Stef,C1,Fthiotidas_G,12,12,-,-
Giannakopoulos,C5 F2,Fthiotidas_G,25,18,18,-
Halkias Efthim,C3,Fthiotidas_G,9,5,22,-
Ismailos Panos,C2,Fthiotidas_G,8,9,6,9
Kalamaras Teo ,C5 F2,Fthiotidas_G,27,-,-,-
Karanikolas E.,C5 F2,Fthiotidas_G,5,10,7,6
Kehagias Giorg,C1,Fthiotidas_G,2,2,2,2
Kirkos Panagio,C2,Fthiotidas_G,4,4,3,4
Koutsoukos Ang,C4 F2,Fthiotidas_G,30,-,-,-
Laos Costas  -,C2,Fthiotidas_G,34,15,12,11
Manouskos Elia,C6 F2,Fthiotidas_G,24,21,26,18
Milonas K.  - ,C4 F2,Fthiotidas_G,19,24,16,13
Moshopoulos N.,C6 F2,Fthiotidas_G,29,26,20,21
Panteli Chryso,C5 F2,Fthiotidas_G,14,13,11,12
Philippedes Yo,C1,Fthiotidas_G,3,3,25,3
Rahoutis Fanis,C6 F2,Fthiotidas_G,32,27,24,23
Rigas Giorgos ,C3 F2,Fthiotidas_G,23,-,-,-
Roiniotis S.  ,C3 F2,Fthiotidas_G,18,28,14,16
Sotiropoulos N,C6 F2,Fthiotidas_G,28,23,19,20
Stavropoulos D,C6 F2,Fthiotidas_G,22,20,17,19
Theocharopoulo,C2,Fthiotidas_G,13,14,10,15
Tsakalos Athan,C6 F2,Fthiotidas_G,16,16,15,17
Tsouloftas Ale,C1,Fthiotidas_G,1,1,1,1
Tzemos Konstan,C2,Fthiotidas_G,33,-,-,-
Vigopoulos Nik,C5 F2,Fthiotidas_G,20,17,13,14
Xanthakos M.  ,C1,Fthiotidas_G,11,6,8,5
