Crew,Gr/Cl,ss,Race,date,surface,competition,cou,time_SS_sec
Tsouloftas Ale,C1,1,Fthiotidas_G,2/7/2023,Gravel,Championship,1,702.34
Kehagias Giorg,C1,1,Fthiotidas_G,2/7/2023,Gravel,Championship,2,718.2
Philippedes Yo,C1,1,Fthiotidas_G,2/7/2023,Gravel,Championship,3,724.43
Kirkos Panagio,C2,1,Fthiotidas_G,2/7/2023,Gravel,Championship,4,758.43
Karanikolas E.,C5 F2,1,Fthiotidas_G,2/7/2023,Gravel,Championship,5,777.42
Badounas I.  -,C2,1,Fthiotidas_G,2/7/2023,Gravel,Championship,6,779.85
Chatzimarkos P,C3 F2,1,Fthiotidas_G,2/7/2023,Gravel,Championship,7,780.96
Ismailos Panos,C2,1,Fthiotidas_G,2/7/2023,Gravel,Championship,8,782.57
Halkias Efthim,C3,1,Fthiotidas_G,2/7/2023,Gravel,Championship,9,791.64
Angelov Mirosl,C1,1,Fthiotidas_G,2/7/2023,Gravel,Championship,10,795.36
Xanthakos M.  ,C1,1,Fthiotidas_G,2/7/2023,Gravel,Championship,11,811.56
Flandy  - Stef,C1,1,Fthiotidas_G,2/7/2023,Gravel,Championship,12,815.77
Theocharopoulo,C2,1,Fthiotidas_G,2/7/2023,Gravel,Championship,13,818.58
Panteli Chryso,C5 F2,1,Fthiotidas_G,2/7/2023,Gravel,Championship,14,833.73
Antoniou K.  -,C3 F2,1,Fthiotidas_G,2/7/2023,Gravel,Championship,15,846.87
Tsakalos Athan,C6 F2,1,Fthiotidas_G,2/7/2023,Gravel,Championship,16,853.1
Davaris Nikos ,C2,1,Fthiotidas_G,2/7/2023,Gravel,Championship,17,853.27
Roiniotis S.  ,C3 F2,1,Fthiotidas_G,2/7/2023,Gravel,Championship,18,858.39
Milonas K.  - ,C4 F2,1,Fthiotidas_G,2/7/2023,Gravel,Championship,19,863.79
Vigopoulos Nik,C5 F2,1,Fthiotidas_G,2/7/2023,Gravel,Championship,20,873.59
Chatzigakis Gi,C3 F2,1,Fthiotidas_G,2/7/2023,Gravel,Championship,21,874.71
Stavropoulos D,C6 F2,1,Fthiotidas_G,2/7/2023,Gravel,Championship,22,883.3
