,,,Pos.,Pos.,Pos.,Pos.
ss,,,1,2,3,4
Crew,Gr/Cl,Race,,,,
Aligizakis E. ,C1,Fthiotidas_T,3,2,2,8
Amaxopoulos D.,2 -1600,Fthiotidas_T,42,30,35,27
Anagnostakis K,C4 F2,Fthiotidas_T,26,32,42,43
Anapoliotakis ,C1,Fthiotidas_T,1,1,3,2
Argiriou Giorg,C2,Fthiotidas_T,10,9,41,21
Avgeropoulos C,C4 F2,Fthiotidas_T,14,7,8,3
Avramidis A.  ,C6 F2,Fthiotidas_T,28,24,20,19
Bandras Gavrii,C6 F2,Fthiotidas_T,44,40,38,35
Baxevanakis P.,C3 F2,Fthiotidas_T,23,21,18,18
Bistas Ioannis,C2,Fthiotidas_T,49,19,16,12
Diamantis D.  ,C4 F2,Fthiotidas_T,37,41,25,34
Gavriilidis Gi,4 2000+,Fthiotidas_T,43,38,31,38
Georgakopoulos,4 -1600,Fthiotidas_T,45,39,37,40
Gerodimos Gior,C2,Fthiotidas_T,11,12,6,9
Halivelakis A.,3 2000,Fthiotidas_T,40,36,32,32
Kampilis Panag,C1,Fthiotidas_T,4,8,-,-
Karagiozopoulo,C3 F2,Fthiotidas_T,38,46,33,29
Kazanas Dimitr,C2,Fthiotidas_T,18,15,11,16
Kofinas Konsta,4 2000+,Fthiotidas_T,41,35,36,31
Konstantinidis,C3 F2,Fthiotidas_T,12,10,7,7
Kougias jr  - ,C3 F2,Fthiotidas_T,30,37,30,36
Koukeas Efstat,C1,Fthiotidas_T,5,5,43,5
Koutsodimos Io,C6 F2,Fthiotidas_T,20,45,-,-
Ktistakis Dimi,C3 F2,Fthiotidas_T,8,6,4,6
Kyriakopoulos ,4 -1600,Fthiotidas_T,36,25,27,23
Lykakis Ioanni,2 -1600,Fthiotidas_T,46,-,-,-
Manouskos Niko,C6 F2,Fthiotidas_T,32,29,28,42
Massialas Vage,C6 F2,Fthiotidas_T,31,22,23,22
Michail Stamat,C5 F2,Fthiotidas_T,17,18,13,20
Michos Ioannis,C5 F2,Fthiotidas_T,33,33,24,33
Mihos Dimítris,C3 F2,Fthiotidas_T,13,11,5,4
Mitropoulos Ko,2 2000,Fthiotidas_T,47,43,39,41
Moschos A.  - ,C3 F2,Fthiotidas_T,7,-,-,-
Nomikos Ioanni,C1,Fthiotidas_T,21,17,-,-
Nomikos Mihali,4 -1600,Fthiotidas_T,48,44,40,37
Papadimitriou ,4 2000,Fthiotidas_T,39,34,34,28
Papadimitriou ,C1,Fthiotidas_T,2,3,1,1
Papazoglou L. ,4 2000+,Fthiotidas_T,35,28,22,26
Peroulakis Geo,C2,Fthiotidas_T,9,4,-,-
Polatsidis D. ,C5 F2,Fthiotidas_T,50,47,26,25
Rocco Gianluca,4 2000+,Fthiotidas_T,34,31,29,30
Stafilopatis M,4 2000+,Fthiotidas_T,6,16,10,39
Stamatakis S. ,C6 F2,Fthiotidas_T,27,-,-,-
Stergiadis A. ,C5 F2,Fthiotidas_T,22,23,12,15
Stratieva Ekat,C3 F2,Fthiotidas_T,15,14,14,13
Titakis Titos ,C3 F2,Fthiotidas_T,16,13,9,11
Tomov Aleksand,C6 F2,Fthiotidas_T,29,26,19,17
Tsitsigiannis ,C5 F2,Fthiotidas_T,25,27,21,24
Vatsos Nikos  ,C3 F2,Fthiotidas_T,24,42,15,14
Vergozissis Ap,C5 F2,Fthiotidas_T,19,20,17,10
