,,,ss_time,ss_time,ss_time,ss_time
ss,,,1,2,3,4
Crew,Gr/Cl,Race,,,,
Aligizakis E. ,C1,Fthiotidas_T,16:01.56,6:52.86,15:47.01,7:14.13
Amaxopoulos D.,2 -1600,Fthiotidas_T,19:55.24,8:12.58,19:39.27,8:11.12
Anagnostakis K,C4 F2,Fthiotidas_T,18:39.65,8:17.85,24:06.06,10:57.42
Anapoliotakis ,C1,Fthiotidas_T,15:41.22,6:47.56,15:47.88,6:55.10
Argiriou Giorg,C2,Fthiotidas_T,16:41.02,7:13.40,23:19.55,7:58.44
Avgeropoulos C,C4 F2,Fthiotidas_T,17:07.89,7:07.08,17:06.02,7:07.87
Avramidis A.  ,C6 F2,Fthiotidas_T,18:44.27,8:01.21,18:38.33,7:54.62
Bandras Gavrii,C6 F2,Fthiotidas_T,20:09.60,8:28.49,20:58.58,8:35.89
Baxevanakis P.,C3 F2,Fthiotidas_T,18:04.33,7:48.77,17:56.54,7:53.64
Bistas Ioannis,C2,Fthiotidas_T,24:44.42,7:38.22,17:49.34,7:36.24
Diamantis D.  ,C4 F2,Fthiotidas_T,19:19.39,8:32.66,19:10.09,8:34.27
Gavriilidis Gi,4 2000+,Fthiotidas_T,19:55.60,8:23.07,19:27.88,9:04.81
Georgakopoulos,4 -1600,Fthiotidas_T,20:10.80,8:23.85,20:07.79,9:15.10
Gerodimos Gior,C2,Fthiotidas_T,16:43.56,7:18.97,16:40.25,7:20.75
Halivelakis A.,3 2000,Fthiotidas_T,19:28.29,8:20.46,19:28.57,8:27.55
Kampilis Panag,C1,Fthiotidas_T,16:28.99,7:13.18,-,-
Karagiozopoulo,C3 F2,Fthiotidas_T,19:23.95,9:37.74,19:34.23,8:21.39
Kazanas Dimitr,C2,Fthiotidas_T,17:42.83,7:31.29,17:28.28,7:45.81
Kofinas Konsta,4 2000+,Fthiotidas_T,19:49.74,8:20.07,19:53.76,8:26.91
Konstantinidis,C3 F2,Fthiotidas_T,16:53.63,7:16.75,16:44.20,7:12.14
Kougias jr  - ,C3 F2,Fthiotidas_T,18:47.99,8:21.16,19:26.41,8:53.76
Koukeas Efstat,C1,Fthiotidas_T,16:29.01,7:01.56,34:26.66,7:09.04
Koutsodimos Io,C6 F2,Fthiotidas_T,17:47.07,9:02.25,-,-
Ktistakis Dimi,C3 F2,Fthiotidas_T,16:32.08,7:03.80,16:33.25,7:10.72
Kyriakopoulos ,4 -1600,Fthiotidas_T,19:16.68,8:01.63,19:13.16,7:59.17
Lykakis Ioanni,2 -1600,Fthiotidas_T,20:57.41,-,-,-
Manouskos Niko,C6 F2,Fthiotidas_T,18:53.94,8:07.06,19:16.90,10:56.45
Massialas Vage,C6 F2,Fthiotidas_T,18:51.32,7:58.26,19:01.27,7:58.51
Michail Stamat,C5 F2,Fthiotidas_T,17:30.37,7:35.30,17:40.23,7:54.95
Michos Ioannis,C5 F2,Fthiotidas_T,18:55.39,8:18.08,19:06.30,8:30.24
Mihos Dimítris,C3 F2,Fthiotidas_T,16:57.89,7:18.32,16:36.00,7:08.77
Mitropoulos Ko,2 2000,Fthiotidas_T,21:02.75,8:51.46,21:30.90,9:28.74
Moschos A.  - ,C3 F2,Fthiotidas_T,16:31.37,-,-,-
Nomikos Ioanni,C1,Fthiotidas_T,17:50.96,7:32.14,-,-
Nomikos Mihali,4 -1600,Fthiotidas_T,21:49.30,8:54.38,21:47.68,8:55.68
Papadimitriou ,4 2000,Fthiotidas_T,19:26.16,8:18.64,19:38.70,8:16.38
Papadimitriou ,C1,Fthiotidas_T,15:58.54,6:55.84,15:41.20,6:51.50
Papazoglou L. ,4 2000+,Fthiotidas_T,19:15.81,8:04.25,18:56.88,8:09.18
Peroulakis Geo,C2,Fthiotidas_T,16:32.65,7:01.00,-,-
Polatsidis D. ,C5 F2,Fthiotidas_T,28:02.07,9:51.64,19:12.35,8:06.70
Rocco Gianluca,4 2000+,Fthiotidas_T,19:13.86,8:13.26,19:17.77,8:25.22
Stafilopatis M,4 2000+,Fthiotidas_T,16:29.47,7:31.42,17:20.87,9:06.18
Stamatakis S. ,C6 F2,Fthiotidas_T,18:43.68,-,-,-
Stergiadis A. ,C5 F2,Fthiotidas_T,17:53.62,7:59.43,17:33.97,7:43.73
Stratieva Ekat,C3 F2,Fthiotidas_T,17:15.74,7:31.08,17:43.81,7:42.22
Titakis Titos ,C3 F2,Fthiotidas_T,17:19.85,7:26.17,17:15.35,7:33.21
Tomov Aleksand,C6 F2,Fthiotidas_T,18:45.49,8:02.42,18:24.13,7:48.72
Tsitsigiannis ,C5 F2,Fthiotidas_T,18:25.57,8:02.52,18:42.73,8:05.90
Vatsos Nikos  ,C3 F2,Fthiotidas_T,18:12.50,8:39.36,17:46.95,7:43.09
Vergozissis Ap,C5 F2,Fthiotidas_T,17:44.71,7:43.33,17:51.99,7:31.84
