Crew,Gr/Cl,ss,Race,date,surface,competition,cou,time_SS_sec
Anapoliotakis ,C1,1,Fthiotidas_T,1/7/2023,Tarmac,Championship,1,941.22
Papadimitriou ,C1,1,Fthiotidas_T,1/7/2023,Tarmac,Championship,2,958.54
Aligizakis E. ,C1,1,Fthiotidas_T,1/7/2023,Tarmac,Championship,3,961.56
Kampilis Panag,C1,1,Fthiotidas_T,1/7/2023,Tarmac,Championship,4,988.99
Koukeas Efstat,C1,1,Fthiotidas_T,1/7/2023,Tarmac,Championship,5,989.01
Stafilopatis M,4 2000+,1,Fthiotidas_T,1/7/2023,Tarmac,Championship,6,989.47
Moschos A.  - ,C3 F2,1,Fthiotidas_T,1/7/2023,Tarmac,Championship,7,991.37
Ktistakis Dimi,C3 F2,1,Fthiotidas_T,1/7/2023,Tarmac,Championship,8,992.08
Peroulakis Geo,C2,1,Fthiotidas_T,1/7/2023,Tarmac,Championship,9,992.65
Argiriou Giorg,C2,1,Fthiotidas_T,1/7/2023,Tarmac,Championship,10,1001.02
Gerodimos Gior,C2,1,Fthiotidas_T,1/7/2023,Tarmac,Championship,11,1003.56
Konstantinidis,C3 F2,1,Fthiotidas_T,1/7/2023,Tarmac,Championship,12,1013.63
Mihos Dimítris,C3 F2,1,Fthiotidas_T,1/7/2023,Tarmac,Championship,13,1017.89
Avgeropoulos C,C4 F2,1,Fthiotidas_T,1/7/2023,Tarmac,Championship,14,1027.89
Stratieva Ekat,C3 F2,1,Fthiotidas_T,1/7/2023,Tarmac,Championship,15,1035.74
Titakis Titos ,C3 F2,1,Fthiotidas_T,1/7/2023,Tarmac,Championship,16,1039.85
Michail Stamat,C5 F2,1,Fthiotidas_T,1/7/2023,Tarmac,Championship,17,1050.37
Kazanas Dimitr,C2,1,Fthiotidas_T,1/7/2023,Tarmac,Championship,18,1062.83
Vergozissis Ap,C5 F2,1,Fthiotidas_T,1/7/2023,Tarmac,Championship,19,1064.71
Koutsodimos Io,C6 F2,1,Fthiotidas_T,1/7/2023,Tarmac,Championship,20,1067.07
Nomikos Ioanni,C1,1,Fthiotidas_T,1/7/2023,Tarmac,Championship,21,1070.96
Stergiadis A. ,C5 F2,1,Fthiotidas_T,1/7/2023,Tarmac,Championship,22,1073.62
Baxevanakis P.,C3 F2,1,Fthiotidas_T,1/7/2023,Tarmac,Championship,23,1084.33
Vatsos Nikos  ,C3 F2,1,Fthiotidas_T,1/7/2023,Tarmac,Championship,24,1092.5
Tsitsigiannis ,C5 F2,1,Fthiotidas_T,1/7/2023,Tarmac,Championship,25,1105.57
Anagnostakis K,C4 F2,1,Fthiotidas_T,1/7/2023,Tarmac,Championship,26,1119.65
Stamatakis S. ,C6 F2,1,Fthiotidas_T,1/7/2023,Tarmac,Championship,27,1123.68
Avramidis A.  ,C6 F2,1,Fthiotidas_T,1/7/2023,Tarmac,Championship,28,1124.27
Tomov Aleksand,C6 F2,1,Fthiotidas_T,1/7/2023,Tarmac,Championship,29,1125.49
Kougias jr  - ,C3 F2,1,Fthiotidas_T,1/7/2023,Tarmac,Championship,30,1127.99
Massialas Vage,C6 F2,1,Fthiotidas_T,1/7/2023,Tarmac,Championship,31,1131.32
Manouskos Niko,C6 F2,1,Fthiotidas_T,1/7/2023,Tarmac,Championship,32,1133.94
Michos Ioannis,C5 F2,1,Fthiotidas_T,1/7/2023,Tarmac,Championship,33,1135.39
Rocco Gianluca,4 2000+,1,Fthiotidas_T,1/7/2023,Tarmac,Championship,34,1153.86
Papazoglou L. ,4 2000+,1,Fthiotidas_T,1/7/2023,Tarmac,Championship,35,1155.81
Kyriakopoulos ,4 -1600,1,Fthiotidas_T,1/7/2023,Tarmac,Championship,36,1156.68
Diamantis D.  ,C4 F2,1,Fthiotidas_T,1/7/2023,Tarmac,Championship,37,1159.39
Karagiozopoulo,C3 F2,1,Fthiotidas_T,1/7/2023,Tarmac,Championship,38,1163.95
Papadimitriou ,4 2000,1,Fthiotidas_T,1/7/2023,Tarmac,Championship,39,1166.16
Halivelakis A.,3 2000,1,Fthiotidas_T,1/7/2023,Tarmac,Championship,40,1168.29
Kofinas Konsta,4 2000+,1,Fthiotidas_T,1/7/2023,Tarmac,Championship,41,1189.74
Amaxopoulos D.,2 -1600,1,Fthiotidas_T,1/7/2023,Tarmac,Championship,42,1195.24
Gavriilidis Gi,4 2000+,1,Fthiotidas_T,1/7/2023,Tarmac,Championship,43,1195.6
Bandras Gavrii,C6 F2,1,Fthiotidas_T,1/7/2023,Tarmac,Championship,44,1209.6
Georgakopoulos,4 -1600,1,Fthiotidas_T,1/7/2023,Tarmac,Championship,45,1210.8
Lykakis Ioanni,2 -1600,1,Fthiotidas_T,1/7/2023,Tarmac,Championship,46,1257.41
Mitropoulos Ko,2 2000,1,Fthiotidas_T,1/7/2023,Tarmac,Championship,47,1262.75
Nomikos Mihali,4 -1600,1,Fthiotidas_T,1/7/2023,Tarmac,Championship,48,1309.3
Bistas Ioannis,C2,1,Fthiotidas_T,1/7/2023,Tarmac,Championship,49,1484.42
Polatsidis D. ,C5 F2,1,Fthiotidas_T,1/7/2023,Tarmac,Championship,50,1682.07
Anapoliotakis ,C1,2,Fthiotidas_T,1/7/2023,Tarmac,Championship,1,407.56
Aligizakis E. ,C1,2,Fthiotidas_T,1/7/2023,Tarmac,Championship,2,412.86
Papadimitriou ,C1,2,Fthiotidas_T,1/7/2023,Tarmac,Championship,3,415.84000000000003
Peroulakis Geo,C2,2,Fthiotidas_T,1/7/2023,Tarmac,Championship,4,421.0
Koukeas Efstat,C1,2,Fthiotidas_T,1/7/2023,Tarmac,Championship,5,421.56
