,,,ss_time,ss_time,ss_time
ss,,,1,2,3
Crew,Gr/Cl,Race,,,
Agathokleous G,C3 F2,Graikas,13:30.06,13:14.84,13:33.28
Anastassopoulo,C4 F2,Graikas,13:20.47,13:14.29,13:18.79
Andrikopoulos ,C5 F2,Graikas,15:07.64,15:08.69,16:06.83
Antoniou K.  -,C3 F2,Graikas,13:18.48,13:23.06,13:16.09
Davaris Nikos ,C2,Graikas,13:14.05,13:11.38,13:22.95
Dimopoulos Ant,C4 F2,Graikas,13:00.10,-,-
Englezos T.  -,C6 F2,Graikas,14:47.73,14:26.26,-
Gazetas D.  - ,C6 F2,Graikas,13:19.52,13:25.66,13:33.50
Karagounis Eli,C3 F2,Graikas,14:26.49,13:45.07,-
Karouzos Giorg,C4 F2,Graikas,15:46.77,15:25.54,16:16.34
Kastis Christo,C5 F2,Graikas,13:13.48,13:02.22,13:21.96
Katevas Dionis,C6 F2,Graikas,14:40.36,14:14.90,14:23.55
Kokkinos Steli,C6 F2,Graikas,16:49.95,14:06.02,14:03.37
Lainopoulos S.,C2,Graikas,12:47.55,12:00.98,12:06.29
Lathouris Pana,C4 F2,Graikas,16:23.44,15:55.16,16:27.66
Likomitros D. ,C3 F2,Graikas,14:41.26,14:45.29,-
Manetas Giorgo,C4 F2,Graikas,13:25.81,13:14.74,13:46.73
Mantas Panagio,C6 F2,Graikas,15:06.52,14:28.51,14:45.78
Panoutsos T.  ,C5 F2,Graikas,18:07.67,12:53.77,16:37.34
Papadimitriou ,C1,Graikas,11:48.71,11:41.23,12:11.16
Papadopoulos A,C2,Graikas,17:38.04,12:23.64,12:12.49
Pateas A.  - P,C6 F2,Graikas,14:00.82,13:47.89,13:49.27
Sotiropoulos N,C6 F2,Graikas,13:52.50,13:21.89,13:27.80
Stavropoulos D,C6 F2,Graikas,13:05.51,13:12.23,13:11.20
Tsetsonis Elia,C2,Graikas,12:33.20,12:32.91,12:28.02
Tsoulos Argiri,C2,Graikas,12:38.28,12:24.44,12:34.42
Vorrias Ioanni,T1,Graikas,21:58.14,13:39.18,13:51.80
Zygogiannis K.,C2,Graikas,12:36.86,12:42.61,14:33.56
