,,,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.
ss,,,1,2,3,4,5,6,7,8
Crew,Gr/Cl,Race,,,,,,,,
Anagnostakis K,C4 F2,Kentavros,26,24,23,21,19,20,23,22
Anastasiou Mak,C5 F2,Kentavros,33,32,31,30,26,26,27,26
Argiriou Giorg,C2,Kentavros,10,4,4,4,4,3,3,4
Avramidis A.  ,C6 F2,Kentavros,23,22,13,20,16,9,-,-
Baxevanakis A.,C6 F2,Kentavros,31,31,29,29,23,24,26,28
Diamantis D.  ,C4 F2,Kentavros,34,30,30,28,25,23,30,24
Figioris Vassi,C3 F2,Kentavros,32,29,28,27,24,25,29,27
Gerodimos Gior,C2,Kentavros,5,8,3,5,5,6,4,6
Giannoulis D. ,C5 F2,Kentavros,24,21,22,23,18,18,25,16
Karliotis K.  ,C5 F2,Kentavros,7,7,8,11,-,-,-,-
Kehagias Dimit,C5 F2,Kentavros,35,33,-,-,-,-,-,-
Komnos Nikos  ,C5 F2,Kentavros,15,5,7,-,-,-,-,-
Konstantinidis,C3 F2,Kentavros,16,10,15,9,8,8,7,9
Korakas Kostas,C2,Kentavros,4,13,6,7,6,4,19,10
Koutsodimos Io,C6 F2,Kentavros,13,18,19,17,14,13,14,12
Ktistakis Dimi,C3 F2,Kentavros,3,2,2,3,3,5,5,3
Lakis A.  - Tr,C3 F2,Kentavros,22,19,9,-,-,-,-,-
Manouskos Niko,C6 F2,Kentavros,29,28,27,25,22,22,22,23
Massialas Vage,C6 F2,Kentavros,30,26,25,26,21,21,20,25
Michail Stamat,C5 F2,Kentavros,36,35,34,31,29,29,6,11
Mihos Dimítris,C3 F2,Kentavros,8,9,5,6,7,7,8,7
Moschos A.  - ,C3 F2,Kentavros,9,6,24,8,28,28,13,5
Mossios Ioanni,C6 F2,Kentavros,37,37,36,33,31,31,21,30
Nomikos Ioanni,C1,Kentavros,14,15,17,14,10,14,9,13
Perakis A.  - ,C4 F2,Kentavros,19,16,18,19,15,15,16,19
Peroulakis Geo,C2,Kentavros,2,3,10,2,2,2,2,2
Skoulariotis L,C3 F2,Kentavros,17,25,14,18,17,11,-,-
Stamatakis S. ,C6 F2,Kentavros,27,34,33,24,31,31,11,29
Stergiadis A. ,C5 F2,Kentavros,12,11,12,15,9,12,15,14
Tiros Nikos  -,C6 F2,Kentavros,21,20,32,33,31,31,28,15
Titakis Titos ,C3 F2,Kentavros,6,17,11,10,11,10,10,8
Tsitsigiannis ,C5 F2,Kentavros,25,35,34,31,29,29,12,17
Tsouloftas Ale,C1,Kentavros,1,1,1,1,1,1,1,1
Vastardis Kost,C3 F2,Kentavros,20,23,21,12,20,19,24,21
Vatsos Nikos  ,C3 F2,Kentavros,18,12,16,16,13,17,18,20
Vergozissis Ap,C5 F2,Kentavros,11,14,20,13,12,16,17,18
Xenokostas G. ,C3 F2,Kentavros,28,27,26,22,27,27,31,-
