,,,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time
ss,,,1,2,3,4,5,6,7,8
Crew,Gr/Cl,Race,,,,,,,,
Anagnostakis K,C4 F2,Kentavros,11:29.51,7:09.11,3:16.25,11:18.08,7:11.17,3:18.07,8:53.80,7:57.63
Anastasiou Mak,C5 F2,Kentavros,12:25.36,8:15.86,3:42.49,12:25.36,8:06.72,3:41.79,9:22.73,8:33.83
Argiriou Giorg,C2,Kentavros,10:36.79,6:25.34,2:57.36,10:16.84,6:18.39,2:53.85,7:16.46,6:57.70
Avramidis A.  ,C6 F2,Kentavros,11:16.63,6:59.60,3:06.04,11:16.63,6:53.19,3:03.64,-,-
Baxevanakis A.,C6 F2,Kentavros,12:11.41,8:04.92,3:37.08,12:11.41,7:42.23,3:31.57,9:20.45,8:51.52
Diamantis D.  ,C4 F2,Kentavros,12:27.75,7:43.40,3:37.39,12:04.91,7:47.09,3:31.10,10:00.36,8:27.90
Figioris Vassi,C3 F2,Kentavros,12:20.25,7:38.18,3:32.32,11:55.84,7:44.73,3:34.12,9:49.26,8:51.36
Gerodimos Gior,C2,Kentavros,10:23.98,6:31.67,2:57.26,10:17.20,6:22.62,2:54.77,7:19.19,7:02.06
Giannoulis D. ,C5 F2,Kentavros,11:24.02,6:58.28,3:15.42,11:24.02,7:00.13,3:13.33,9:20.33,7:34.69
Karliotis K.  ,C5 F2,Kentavros,10:33.41,6:31.52,3:02.36,10:35.69,-,-,-,-
Kehagias Dimit,C5 F2,Kentavros,13:05.50,8:23.03,-,-,-,-,-,-
Komnos Nikos  ,C5 F2,Kentavros,10:49.92,6:28.26,3:00.79,-,-,-,-,-
Konstantinidis,C3 F2,Kentavros,10:50.18,6:38.16,3:06.59,10:27.24,6:32.88,3:01.21,7:55.51,7:08.63
Korakas Kostas,C2,Kentavros,10:21.26,6:42.88,2:58.86,10:20.11,6:23.93,2:54.40,8:44.97,7:11.44
Koutsodimos Io,C6 F2,Kentavros,10:47.40,6:53.10,3:09.23,10:47.40,6:51.62,3:06.74,8:18.13,7:26.67
Ktistakis Dimi,C3 F2,Kentavros,10:20.02,6:19.51,2:55.43,10:10.33,6:15.56,2:54.62,7:31.55,6:55.24
Lakis A.  - Tr,C3 F2,Kentavros,11:03.83,6:53.15,3:03.98,-,-,-,-,-
Manouskos Niko,C6 F2,Kentavros,11:42.05,7:33.39,3:29.25,11:42.05,7:27.01,3:22.68,8:50.08,8:17.36
Massialas Vage,C6 F2,Kentavros,11:45.55,7:20.61,3:22.48,11:45.55,7:18.86,3:21.29,8:46.29,8:29.31
Michail Stamat,C5 F2,Kentavros,15:33.41 [N],11:28.26 [N],7:58.24 [N],15:18.25 [N],11:31.91 [N],7:58.38 [N],7:38.66,7:23.42
Mihos Dimítris,C3 F2,Kentavros,10:33.82,6:32.03,2:58.24,10:18.25,6:31.91,2:58.38,7:55.56,7:05.84
Moschos A.  - ,C3 F2,Kentavros,10:35.75,6:30.85,3:21.44,10:20.33,11:15.56 [N],7:54.62 [N],8:17.25,7:00.61
Mossios Ioanni,C6 F2,Kentavros,16:02.52 [N],11:53.10 [N],8:06.04 [N],16:16.63 [N],11:51.62 [N],8:03.64 [N],8:47.61,12:20.64
Nomikos Ioanni,C1,Kentavros,10:49.35,6:46.98,3:06.74,10:43.65,6:40.79,3:07.83,7:58.42,7:29.24
Perakis A.  - ,C4 F2,Kentavros,10:55.60,6:49.54,3:08.11,10:53.35,6:52.41,3:09.01,8:27.84,7:37.78
Peroulakis Geo,C2,Kentavros,10:06.27,6:21.22,3:04.70,10:00.42,6:08.67,2:51.02,7:05.22,6:55.20
Skoulariotis L,C3 F2,Kentavros,10:53.78,7:13.29,3:06.34,10:51.32,6:55.82,3:05.33,-,-
Stamatakis S. ,C6 F2,Kentavros,11:38.35,11:26.89,5:37.11,11:38.35,11:51.62 [N],8:03.64 [N],8:09.50,9:21.49
Stergiadis A. ,C5 F2,Kentavros,10:45.74,6:40.05,3:05.90,10:45.74,6:38.63,3:06.53,8:25.96,7:29.86
Tiros Nikos  -,C6 F2,Kentavros,11:02.52,6:56.22,4:04.75,16:16.63 [N],11:51.62 [N],8:03.64 [N],9:26.76,7:30.31
Titakis Titos ,C3 F2,Kentavros,10:33.00,6:50.88,3:05.57,10:27.82,6:43.17,3:03.79,8:02.00,7:07.39
Tsitsigiannis ,C5 F2,Kentavros,11:26.59,11:28.26 [N],7:58.24 [N],15:18.25 [N],11:31.91 [N],7:58.38 [N],8:11.83,7:35.07
Tsouloftas Ale,C1,Kentavros,9:39.98,6:01.75,2:47.41,9:24.65,5:53.50,2:42.54,6:29.23,6:26.14
Vastardis Kost,C3 F2,Kentavros,11:01.38,7:00.68,3:12.87,10:40.14,7:14.39,3:15.61,9:12.25,7:45.53
Vatsos Nikos  ,C3 F2,Kentavros,10:55.58,6:41.95,3:06.61,10:46.49,6:47.44,3:10.10,8:44.23,7:44.73
Vergozissis Ap,C5 F2,Kentavros,10:45.34,6:45.02,3:09.98,10:40.60,6:45.28,3:09.94,8:38.68,7:35.45
Xenokostas G. ,C3 F2,Kentavros,11:39.35,7:29.37,3:24.53,11:18.79,8:21.61,5:36.63,10:02.90,-
