Crew,Gr/Cl,ss,Race,date,surface,competition,cou,time_SS_sec
Tsouloftas Ale,C1,1,Kentavros,14/5/2023,Tarmac,Championship,1,579.98
Peroulakis Geo,C2,1,Kentavros,14/5/2023,Tarmac,Championship,2,606.27
Ktistakis Dimi,C3 F2,1,Kentavros,14/5/2023,Tarmac,Championship,3,620.02
Korakas Kostas,C2,1,Kentavros,14/5/2023,Tarmac,Championship,4,621.26
Gerodimos Gior,C2,1,Kentavros,14/5/2023,Tarmac,Championship,5,623.98
Titakis Titos ,C3 F2,1,Kentavros,14/5/2023,Tarmac,Championship,6,633.0
Karliotis K.  ,C5 F2,1,Kentavros,14/5/2023,Tarmac,Championship,7,633.41
Mihos Dimítris,C3 F2,1,Kentavros,14/5/2023,Tarmac,Championship,8,633.82
Moschos A.  - ,C3 F2,1,Kentavros,14/5/2023,Tarmac,Championship,9,635.75
Argiriou Giorg,C2,1,Kentavros,14/5/2023,Tarmac,Championship,10,636.79
Vergozissis Ap,C5 F2,1,Kentavros,14/5/2023,Tarmac,Championship,11,645.34
Stergiadis A. ,C5 F2,1,Kentavros,14/5/2023,Tarmac,Championship,12,645.74
Koutsodimos Io,C6 F2,1,Kentavros,14/5/2023,Tarmac,Championship,13,647.4
Nomikos Ioanni,C1,1,Kentavros,14/5/2023,Tarmac,Championship,14,649.35
Komnos Nikos  ,C5 F2,1,Kentavros,14/5/2023,Tarmac,Championship,15,649.92
Konstantinidis,C3 F2,1,Kentavros,14/5/2023,Tarmac,Championship,16,650.18
Skoulariotis L,C3 F2,1,Kentavros,14/5/2023,Tarmac,Championship,17,653.78
Vatsos Nikos  ,C3 F2,1,Kentavros,14/5/2023,Tarmac,Championship,18,655.58
Perakis A.  - ,C4 F2,1,Kentavros,14/5/2023,Tarmac,Championship,19,655.6
Vastardis Kost,C3 F2,1,Kentavros,14/5/2023,Tarmac,Championship,20,661.38
Tiros Nikos  -,C6 F2,1,Kentavros,14/5/2023,Tarmac,Championship,21,662.52
Lakis A.  - Tr,C3 F2,1,Kentavros,14/5/2023,Tarmac,Championship,22,663.83
Avramidis A.  ,C6 F2,1,Kentavros,14/5/2023,Tarmac,Championship,23,676.63
Giannoulis D. ,C5 F2,1,Kentavros,14/5/2023,Tarmac,Championship,24,684.02
Tsitsigiannis ,C5 F2,1,Kentavros,14/5/2023,Tarmac,Championship,25,686.59
Anagnostakis K,C4 F2,1,Kentavros,14/5/2023,Tarmac,Championship,26,689.51
Stamatakis S. ,C6 F2,1,Kentavros,14/5/2023,Tarmac,Championship,27,698.35
Xenokostas G. ,C3 F2,1,Kentavros,14/5/2023,Tarmac,Championship,28,699.35
Manouskos Niko,C6 F2,1,Kentavros,14/5/2023,Tarmac,Championship,29,702.05
Massialas Vage,C6 F2,1,Kentavros,14/5/2023,Tarmac,Championship,30,705.55
Baxevanakis A.,C6 F2,1,Kentavros,14/5/2023,Tarmac,Championship,31,731.41
Figioris Vassi,C3 F2,1,Kentavros,14/5/2023,Tarmac,Championship,32,740.25
Anastasiou Mak,C5 F2,1,Kentavros,14/5/2023,Tarmac,Championship,33,745.36
Diamantis D.  ,C4 F2,1,Kentavros,14/5/2023,Tarmac,Championship,34,747.75
Kehagias Dimit,C5 F2,1,Kentavros,14/5/2023,Tarmac,Championship,35,785.5
Michail Stamat,C5 F2,1,Kentavros,14/5/2023,Tarmac,Championship,36,
Mossios Ioanni,C6 F2,1,Kentavros,14/5/2023,Tarmac,Championship,37,
Tsouloftas Ale,C1,2,Kentavros,14/5/2023,Tarmac,Championship,1,361.75
Ktistakis Dimi,C3 F2,2,Kentavros,14/5/2023,Tarmac,Championship,2,379.51
Peroulakis Geo,C2,2,Kentavros,14/5/2023,Tarmac,Championship,3,381.22
Argiriou Giorg,C2,2,Kentavros,14/5/2023,Tarmac,Championship,4,385.34
Komnos Nikos  ,C5 F2,2,Kentavros,14/5/2023,Tarmac,Championship,5,388.26
Moschos A.  - ,C3 F2,2,Kentavros,14/5/2023,Tarmac,Championship,6,390.85
Karliotis K.  ,C5 F2,2,Kentavros,14/5/2023,Tarmac,Championship,7,391.52
Gerodimos Gior,C2,2,Kentavros,14/5/2023,Tarmac,Championship,8,391.67
Mihos Dimítris,C3 F2,2,Kentavros,14/5/2023,Tarmac,Championship,9,392.03
Konstantinidis,C3 F2,2,Kentavros,14/5/2023,Tarmac,Championship,10,398.15999999999997
Stergiadis A. ,C5 F2,2,Kentavros,14/5/2023,Tarmac,Championship,11,400.05
Vatsos Nikos  ,C3 F2,2,Kentavros,14/5/2023,Tarmac,Championship,12,401.95
Korakas Kostas,C2,2,Kentavros,14/5/2023,Tarmac,Championship,13,402.88
Vergozissis Ap,C5 F2,2,Kentavros,14/5/2023,Tarmac,Championship,14,405.02
Nomikos Ioanni,C1,2,Kentavros,14/5/2023,Tarmac,Championship,15,406.98
Perakis A.  - ,C4 F2,2,Kentavros,14/5/2023,Tarmac,Championship,16,409.54
Titakis Titos ,C3 F2,2,Kentavros,14/5/2023,Tarmac,Championship,17,410.88
Koutsodimos Io,C6 F2,2,Kentavros,14/5/2023,Tarmac,Championship,18,413.1
Lakis A.  - Tr,C3 F2,2,Kentavros,14/5/2023,Tarmac,Championship,19,413.15
Tiros Nikos  -,C6 F2,2,Kentavros,14/5/2023,Tarmac,Championship,20,416.22
Giannoulis D. ,C5 F2,2,Kentavros,14/5/2023,Tarmac,Championship,21,418.28
Avramidis A.  ,C6 F2,2,Kentavros,14/5/2023,Tarmac,Championship,22,419.6
Vastardis Kost,C3 F2,2,Kentavros,14/5/2023,Tarmac,Championship,23,420.68
Anagnostakis K,C4 F2,2,Kentavros,14/5/2023,Tarmac,Championship,24,429.11
Skoulariotis L,C3 F2,2,Kentavros,14/5/2023,Tarmac,Championship,25,433.29
Massialas Vage,C6 F2,2,Kentavros,14/5/2023,Tarmac,Championship,26,440.61
Xenokostas G. ,C3 F2,2,Kentavros,14/5/2023,Tarmac,Championship,27,449.37
Manouskos Niko,C6 F2,2,Kentavros,14/5/2023,Tarmac,Championship,28,453.39
Figioris Vassi,C3 F2,2,Kentavros,14/5/2023,Tarmac,Championship,29,458.18
Diamantis D.  ,C4 F2,2,Kentavros,14/5/2023,Tarmac,Championship,30,463.4
Baxevanakis A.,C6 F2,2,Kentavros,14/5/2023,Tarmac,Championship,31,484.92
Anastasiou Mak,C5 F2,2,Kentavros,14/5/2023,Tarmac,Championship,32,495.86
Kehagias Dimit,C5 F2,2,Kentavros,14/5/2023,Tarmac,Championship,33,503.03
Stamatakis S. ,C6 F2,2,Kentavros,14/5/2023,Tarmac,Championship,34,686.89
Michail Stamat,C5 F2,2,Kentavros,14/5/2023,Tarmac,Championship,35,
Tsitsigiannis ,C5 F2,2,Kentavros,14/5/2023,Tarmac,Championship,36,
Mossios Ioanni,C6 F2,2,Kentavros,14/5/2023,Tarmac,Championship,37,
Tsouloftas Ale,C1,3,Kentavros,14/5/2023,Tarmac,Championship,1,167.41
Ktistakis Dimi,C3 F2,3,Kentavros,14/5/2023,Tarmac,Championship,2,175.43
Gerodimos Gior,C2,3,Kentavros,14/5/2023,Tarmac,Championship,3,177.26
Argiriou Giorg,C2,3,Kentavros,14/5/2023,Tarmac,Championship,4,177.36
Mihos Dimítris,C3 F2,3,Kentavros,14/5/2023,Tarmac,Championship,5,178.24
Korakas Kostas,C2,3,Kentavros,14/5/2023,Tarmac,Championship,6,178.86
Komnos Nikos  ,C5 F2,3,Kentavros,14/5/2023,Tarmac,Championship,7,180.79
Karliotis K.  ,C5 F2,3,Kentavros,14/5/2023,Tarmac,Championship,8,182.36
Lakis A.  - Tr,C3 F2,3,Kentavros,14/5/2023,Tarmac,Championship,9,183.98
Peroulakis Geo,C2,3,Kentavros,14/5/2023,Tarmac,Championship,10,184.7
Titakis Titos ,C3 F2,3,Kentavros,14/5/2023,Tarmac,Championship,11,185.57
Stergiadis A. ,C5 F2,3,Kentavros,14/5/2023,Tarmac,Championship,12,185.9
Avramidis A.  ,C6 F2,3,Kentavros,14/5/2023,Tarmac,Championship,13,186.04
Skoulariotis L,C3 F2,3,Kentavros,14/5/2023,Tarmac,Championship,14,186.34
Konstantinidis,C3 F2,3,Kentavros,14/5/2023,Tarmac,Championship,15,186.59
Vatsos Nikos  ,C3 F2,3,Kentavros,14/5/2023,Tarmac,Championship,16,186.61
Nomikos Ioanni,C1,3,Kentavros,14/5/2023,Tarmac,Championship,17,186.74
Perakis A.  - ,C4 F2,3,Kentavros,14/5/2023,Tarmac,Championship,18,188.11
Koutsodimos Io,C6 F2,3,Kentavros,14/5/2023,Tarmac,Championship,19,189.23
Vergozissis Ap,C5 F2,3,Kentavros,14/5/2023,Tarmac,Championship,20,189.98
Vastardis Kost,C3 F2,3,Kentavros,14/5/2023,Tarmac,Championship,21,192.87
Giannoulis D. ,C5 F2,3,Kentavros,14/5/2023,Tarmac,Championship,22,195.42
Anagnostakis K,C4 F2,3,Kentavros,14/5/2023,Tarmac,Championship,23,196.25
Moschos A.  - ,C3 F2,3,Kentavros,14/5/2023,Tarmac,Championship,24,201.44
Massialas Vage,C6 F2,3,Kentavros,14/5/2023,Tarmac,Championship,25,202.48
Xenokostas G. ,C3 F2,3,Kentavros,14/5/2023,Tarmac,Championship,26,204.53
Manouskos Niko,C6 F2,3,Kentavros,14/5/2023,Tarmac,Championship,27,209.25
Figioris Vassi,C3 F2,3,Kentavros,14/5/2023,Tarmac,Championship,28,212.32
Baxevanakis A.,C6 F2,3,Kentavros,14/5/2023,Tarmac,Championship,29,217.07999999999998
Diamantis D.  ,C4 F2,3,Kentavros,14/5/2023,Tarmac,Championship,30,217.39
Anastasiou Mak,C5 F2,3,Kentavros,14/5/2023,Tarmac,Championship,31,222.49
Tiros Nikos  -,C6 F2,3,Kentavros,14/5/2023,Tarmac,Championship,32,244.75
Stamatakis S. ,C6 F2,3,Kentavros,14/5/2023,Tarmac,Championship,33,337.11
Michail Stamat,C5 F2,3,Kentavros,14/5/2023,Tarmac,Championship,34,
Tsitsigiannis ,C5 F2,3,Kentavros,14/5/2023,Tarmac,Championship,35,
Mossios Ioanni,C6 F2,3,Kentavros,14/5/2023,Tarmac,Championship,36,
Tsouloftas Ale,C1,4,Kentavros,14/5/2023,Tarmac,Championship,1,564.65
Peroulakis Geo,C2,4,Kentavros,14/5/2023,Tarmac,Championship,2,600.42
Ktistakis Dimi,C3 F2,4,Kentavros,14/5/2023,Tarmac,Championship,3,610.33
Argiriou Giorg,C2,4,Kentavros,14/5/2023,Tarmac,Championship,4,616.84
Gerodimos Gior,C2,4,Kentavros,14/5/2023,Tarmac,Championship,5,617.2
Mihos Dimítris,C3 F2,4,Kentavros,14/5/2023,Tarmac,Championship,6,618.25
Korakas Kostas,C2,4,Kentavros,14/5/2023,Tarmac,Championship,7,620.11
Moschos A.  - ,C3 F2,4,Kentavros,14/5/2023,Tarmac,Championship,8,620.33
Konstantinidis,C3 F2,4,Kentavros,14/5/2023,Tarmac,Championship,9,627.24
Titakis Titos ,C3 F2,4,Kentavros,14/5/2023,Tarmac,Championship,10,627.82
Karliotis K.  ,C5 F2,4,Kentavros,14/5/2023,Tarmac,Championship,11,635.69
Vastardis Kost,C3 F2,4,Kentavros,14/5/2023,Tarmac,Championship,12,640.14
Vergozissis Ap,C5 F2,4,Kentavros,14/5/2023,Tarmac,Championship,13,640.6
Nomikos Ioanni,C1,4,Kentavros,14/5/2023,Tarmac,Championship,14,643.65
Stergiadis A. ,C5 F2,4,Kentavros,14/5/2023,Tarmac,Championship,15,645.74
Vatsos Nikos  ,C3 F2,4,Kentavros,14/5/2023,Tarmac,Championship,16,646.49
Koutsodimos Io,C6 F2,4,Kentavros,14/5/2023,Tarmac,Championship,17,647.4
Skoulariotis L,C3 F2,4,Kentavros,14/5/2023,Tarmac,Championship,18,651.32
Perakis A.  - ,C4 F2,4,Kentavros,14/5/2023,Tarmac,Championship,19,653.35
Avramidis A.  ,C6 F2,4,Kentavros,14/5/2023,Tarmac,Championship,20,676.63
Anagnostakis K,C4 F2,4,Kentavros,14/5/2023,Tarmac,Championship,21,678.08
Xenokostas G. ,C3 F2,4,Kentavros,14/5/2023,Tarmac,Championship,22,678.79
Giannoulis D. ,C5 F2,4,Kentavros,14/5/2023,Tarmac,Championship,23,684.02
Stamatakis S. ,C6 F2,4,Kentavros,14/5/2023,Tarmac,Championship,24,698.35
Manouskos Niko,C6 F2,4,Kentavros,14/5/2023,Tarmac,Championship,25,702.05
Massialas Vage,C6 F2,4,Kentavros,14/5/2023,Tarmac,Championship,26,705.55
Figioris Vassi,C3 F2,4,Kentavros,14/5/2023,Tarmac,Championship,27,715.84
Diamantis D.  ,C4 F2,4,Kentavros,14/5/2023,Tarmac,Championship,28,724.91
Baxevanakis A.,C6 F2,4,Kentavros,14/5/2023,Tarmac,Championship,29,731.41
Anastasiou Mak,C5 F2,4,Kentavros,14/5/2023,Tarmac,Championship,30,745.36
Michail Stamat,C5 F2,4,Kentavros,14/5/2023,Tarmac,Championship,31,
Tsitsigiannis ,C5 F2,4,Kentavros,14/5/2023,Tarmac,Championship,32,
Mossios Ioanni,C6 F2,4,Kentavros,14/5/2023,Tarmac,Championship,33,
Tiros Nikos  -,C6 F2,4,Kentavros,14/5/2023,Tarmac,Championship,34,
Tsouloftas Ale,C1,5,Kentavros,14/5/2023,Tarmac,Championship,1,353.5
Peroulakis Geo,C2,5,Kentavros,14/5/2023,Tarmac,Championship,2,368.67
Ktistakis Dimi,C3 F2,5,Kentavros,14/5/2023,Tarmac,Championship,3,375.56
Argiriou Giorg,C2,5,Kentavros,14/5/2023,Tarmac,Championship,4,378.39
Gerodimos Gior,C2,5,Kentavros,14/5/2023,Tarmac,Championship,5,382.62
Korakas Kostas,C2,5,Kentavros,14/5/2023,Tarmac,Championship,6,383.93
