,,,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.
ss,,,1,2,3,4,5,6,7,8
Crew,Gr/Cl,Race,,,,,,,,
Aligizakis E. ,C1,Kritis,1,2,2,1,1,1,2,1
Anapoliotakis ,C1,Kritis,2,1,1,2,2,2,1,2
Avramidis A.  ,C6 F2,Kritis,19,17,-,-,-,-,-,-
Damianakis Gia,C4 F2,Kritis,15,12,12,9,20,-,-,-
Frantzeskakis ,C3 F2,Kritis,11,8,8,8,7,8,8,7
Gobakis Lefter,C3 F2,Kritis,13,14,20,17,14,16,17,15
Kafetzakis I. ,C5 F2,Kritis,9,9,9,11,10,10,10,13
Kakepakis Gian,C6 F2,Kritis,27,25,15,13,11,12,11,11
Kapsalakis D. ,C3 F2,Kritis,26,23,22,21,22,20,21,20
Kazanas Dimitr,C2,Kritis,5,10,6,10,9,7,6,8
Konstantinidis,C3 F2,Kritis,8,5,11,6,8,5,9,6
Korovezos Dimi,C4 F2,Kritis,17,-,-,-,-,-,-,-
Ktistakis Dimi,C3 F2,Kritis,4,4,4,4,4,4,4,4
Manouskos Niko,C6 F2,Kritis,22,21,17,20,19,19,18,19
Maragakis Andr,C4 F2,Kritis,14,13,14,16,12,15,14,14
Massialas Vage,C6 F2,Kritis,23,20,21,22,21,21,20,21
Mihailakis S. ,C3 F2,Kritis,21,19,24,14,13,13,13,12
Nikolidakis I.,C5 F2,Kritis,6,7,5,7,5,9,7,9
Perakis A.  - ,C4 F2,Kritis,12,15,13,12,16,11,12,10
Peroulakis Geo,C2,Kritis,3,3,3,3,3,3,3,3
Polias Mihalis,C5 F2,Kritis,16,16,16,15,15,14,15,16
Pothitos Kosta,C6 F2,Kritis,24,-,-,-,-,-,-,-
Poulakis Mihal,C6 F2,Kritis,20,22,18,18,18,17,19,18
Stamatakis S. ,C6 F2,Kritis,18,18,19,19,17,18,16,17
Stivaktakis Ar,C6 F2,Kritis,25,24,23,23,23,22,22,22
Titakis Titos ,C3 F2,Kritis,7,6,7,5,6,6,5,5
Zervakis Mihal,C4 F2,Kritis,10,11,10,-,-,-,-,-
