,,,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time
ss,,,1,2,3,4,5,6,7,8
Crew,Gr/Cl,Race,,,,,,,,
Aligizakis E. ,C1,Kritis,3:36.23,3:37.76,4:50.33,4:49.00,4:44.77,4:47.21,4:45.98,4:44.10
Anapoliotakis ,C1,Kritis,3:41.08,3:37.24,4:49.56,4:50.01,4:45.49,4:47.71,4:45.72,4:46.21
Avramidis A.  ,C6 F2,Kritis,4:23.09,4:15.96,-,-,-,-,-,-
Damianakis Gia,C4 F2,Kritis,4:10.43,4:02.07,5:26.88,5:13.65,5:47.66,-,-,-
Frantzeskakis ,C3 F2,Kritis,4:02.93,3:56.79,5:14.97,5:12.26,5:05.82,5:10.04,5:05.97,5:06.23
Gobakis Lefter,C3 F2,Kritis,4:07.24,4:04.36,5:53.15,5:44.12,5:28.19,5:35.71,5:32.80,5:27.51
Kafetzakis I. ,C5 F2,Kritis,4:01.85,3:57.84,5:15.41,5:18.92,5:11.79,5:14.78,5:11.06,5:24.94
Kakepakis Gian,C6 F2,Kritis,5:04.23,5:09.84,5:31.01,5:25.54,5:20.39,5:25.54,5:18.85,5:18.62
Kapsalakis D. ,C3 F2,Kritis,4:47.70,4:28.63,5:58.36,5:59.63,5:58.67,5:59.63,5:55.30,5:52.43
Kazanas Dimitr,C2,Kritis,3:57.48,3:57.85,5:08.87,5:14.81,5:07.49,5:08.99,5:02.39,5:06.96
Konstantinidis,C3 F2,Kritis,3:59.19,3:54.68,5:17.54,5:08.43,5:07.06,5:05.26,5:07.11,5:03.49
Korovezos Dimi,C4 F2,Kritis,4:16.71,-,-,-,-,-,-,-
Ktistakis Dimi,C3 F2,Kritis,3:56.02,3:52.83,5:05.93,5:02.46,4:59.44,5:00.46,4:56.51,4:56.95
Manouskos Niko,C6 F2,Kritis,4:26.61,4:23.14,5:41.68,5:51.74,5:41.59,5:51.74,5:35.61,5:48.32
Maragakis Andr,C4 F2,Kritis,4:09.35,4:03.54,5:29.42,5:32.64,5:23.07,5:32.64,5:26.74,5:26.49
Massialas Vage,C6 F2,Kritis,4:30.86,4:22.26,5:56.57,6:08.35,5:49.14,6:08.35,5:49.10,6:03.65
Mihailakis S. ,C3 F2,Kritis,4:23.51,4:17.81,12:07.66,5:28.38,5:27.34,5:28.38,5:26.05,5:20.95
Nikolidakis I.,C5 F2,Kritis,3:58.03,3:55.50,5:08.40,5:09.15,5:02.39,5:10.17,5:05.62,5:10.02
Perakis A.  - ,C4 F2,Kritis,4:06.26,4:06.19,5:27.60,5:22.96,5:31.88,5:21.00,5:21.83,5:18.28
Peroulakis Geo,C2,Kritis,3:47.37,3:44.87,4:58.97,4:58.76,4:54.07,4:58.14,4:55.16,4:53.86
Polias Mihalis,C5 F2,Kritis,4:12.69,4:10.04,5:31.41,5:31.42,5:30.67,5:31.42,5:29.86,5:30.83
Pothitos Kosta,C6 F2,Kritis,4:36.22,-,-,-,-,-,-,-
Poulakis Mihal,C6 F2,Kritis,4:23.48,4:25.13,5:46.07,5:45.70,5:39.72,5:45.70,5:38.93,5:45.88
Stamatakis S. ,C6 F2,Kritis,4:18.64,4:16.52,5:49.49,5:49.36,5:33.90,5:49.36,5:31.03,5:37.58
Stivaktakis Ar,C6 F2,Kritis,4:37.25,4:30.29,5:59.25,6:27.64,6:04.68,6:27.64,6:18.41,6:26.89
Titakis Titos ,C3 F2,Kritis,3:58.07,3:55.36,5:10.75,5:08.20,5:05.77,5:05.84,5:01.00,5:02.38
Zervakis Mihal,C4 F2,Kritis,4:02.49,3:59.15,5:16.09,-,-,-,-,-
