Crew,Gr/Cl,ss,Race,date,surface,competition,cou,time_SS_sec
Aligizakis E. ,C1,1,Kritis,21-22/10/2023,Tarmac,Championship,1,216.23
Anapoliotakis ,C1,1,Kritis,21-22/10/2023,Tarmac,Championship,2,221.07999999999998
Peroulakis Geo,C2,1,Kritis,21-22/10/2023,Tarmac,Championship,3,227.37
Ktistakis Dimi,C3 F2,1,Kritis,21-22/10/2023,Tarmac,Championship,4,236.02
Kazanas Dimitr,C2,1,Kritis,21-22/10/2023,Tarmac,Championship,5,237.48
Nikolidakis I.,C5 F2,1,Kritis,21-22/10/2023,Tarmac,Championship,6,238.03
Titakis Titos ,C3 F2,1,Kritis,21-22/10/2023,Tarmac,Championship,7,238.07
Konstantinidis,C3 F2,1,Kritis,21-22/10/2023,Tarmac,Championship,8,239.19
Kafetzakis I. ,C5 F2,1,Kritis,21-22/10/2023,Tarmac,Championship,9,241.85
Zervakis Mihal,C4 F2,1,Kritis,21-22/10/2023,Tarmac,Championship,10,242.49
Frantzeskakis ,C3 F2,1,Kritis,21-22/10/2023,Tarmac,Championship,11,242.93
Perakis A.  - ,C4 F2,1,Kritis,21-22/10/2023,Tarmac,Championship,12,246.26
Gobakis Lefter,C3 F2,1,Kritis,21-22/10/2023,Tarmac,Championship,13,247.24
Maragakis Andr,C4 F2,1,Kritis,21-22/10/2023,Tarmac,Championship,14,249.35
Damianakis Gia,C4 F2,1,Kritis,21-22/10/2023,Tarmac,Championship,15,250.43
Polias Mihalis,C5 F2,1,Kritis,21-22/10/2023,Tarmac,Championship,16,252.69
Korovezos Dimi,C4 F2,1,Kritis,21-22/10/2023,Tarmac,Championship,17,256.71
Stamatakis S. ,C6 F2,1,Kritis,21-22/10/2023,Tarmac,Championship,18,258.64
Avramidis A.  ,C6 F2,1,Kritis,21-22/10/2023,Tarmac,Championship,19,263.09
Poulakis Mihal,C6 F2,1,Kritis,21-22/10/2023,Tarmac,Championship,20,263.48
Mihailakis S. ,C3 F2,1,Kritis,21-22/10/2023,Tarmac,Championship,21,263.51
Manouskos Niko,C6 F2,1,Kritis,21-22/10/2023,Tarmac,Championship,22,266.61
Massialas Vage,C6 F2,1,Kritis,21-22/10/2023,Tarmac,Championship,23,270.86
Pothitos Kosta,C6 F2,1,Kritis,21-22/10/2023,Tarmac,Championship,24,276.22
Stivaktakis Ar,C6 F2,1,Kritis,21-22/10/2023,Tarmac,Championship,25,277.25
Kapsalakis D. ,C3 F2,1,Kritis,21-22/10/2023,Tarmac,Championship,26,287.7
Kakepakis Gian,C6 F2,1,Kritis,21-22/10/2023,Tarmac,Championship,27,304.23
Anapoliotakis ,C1,2,Kritis,21-22/10/2023,Tarmac,Championship,1,217.24
Aligizakis E. ,C1,2,Kritis,21-22/10/2023,Tarmac,Championship,2,217.76
Peroulakis Geo,C2,2,Kritis,21-22/10/2023,Tarmac,Championship,3,224.87
Ktistakis Dimi,C3 F2,2,Kritis,21-22/10/2023,Tarmac,Championship,4,232.82999999999998
Konstantinidis,C3 F2,2,Kritis,21-22/10/2023,Tarmac,Championship,5,234.68
Titakis Titos ,C3 F2,2,Kritis,21-22/10/2023,Tarmac,Championship,6,235.36
Nikolidakis I.,C5 F2,2,Kritis,21-22/10/2023,Tarmac,Championship,7,235.5
Frantzeskakis ,C3 F2,2,Kritis,21-22/10/2023,Tarmac,Championship,8,236.79
Kafetzakis I. ,C5 F2,2,Kritis,21-22/10/2023,Tarmac,Championship,9,237.84
Kazanas Dimitr,C2,2,Kritis,21-22/10/2023,Tarmac,Championship,10,237.85
Zervakis Mihal,C4 F2,2,Kritis,21-22/10/2023,Tarmac,Championship,11,239.15
Damianakis Gia,C4 F2,2,Kritis,21-22/10/2023,Tarmac,Championship,12,242.07
Maragakis Andr,C4 F2,2,Kritis,21-22/10/2023,Tarmac,Championship,13,243.54
Gobakis Lefter,C3 F2,2,Kritis,21-22/10/2023,Tarmac,Championship,14,244.36
Perakis A.  - ,C4 F2,2,Kritis,21-22/10/2023,Tarmac,Championship,15,246.19
Polias Mihalis,C5 F2,2,Kritis,21-22/10/2023,Tarmac,Championship,16,250.04
Avramidis A.  ,C6 F2,2,Kritis,21-22/10/2023,Tarmac,Championship,17,255.96
Stamatakis S. ,C6 F2,2,Kritis,21-22/10/2023,Tarmac,Championship,18,256.52
Mihailakis S. ,C3 F2,2,Kritis,21-22/10/2023,Tarmac,Championship,19,257.81
Massialas Vage,C6 F2,2,Kritis,21-22/10/2023,Tarmac,Championship,20,262.26
Manouskos Niko,C6 F2,2,Kritis,21-22/10/2023,Tarmac,Championship,21,263.14
Poulakis Mihal,C6 F2,2,Kritis,21-22/10/2023,Tarmac,Championship,22,265.13
Kapsalakis D. ,C3 F2,2,Kritis,21-22/10/2023,Tarmac,Championship,23,268.63
Stivaktakis Ar,C6 F2,2,Kritis,21-22/10/2023,Tarmac,Championship,24,270.29
