,,,ss_time,ss_time,ss_time
ss,,,1,2,3
Crew,Gr/Cl,Race,,,
Agathokleous G,C3 F2,Livadia,11:28.96,11:25.23,11:05.83
Amaxopoulos D.,2 1600,Livadia,11:56.23,11:44.33,11:34.25
Amoutzas Giorg,C3 F2,Livadia,11:22.10,10:56.35,11:13.25
Antoniou K.  -,C3 F2,Livadia,11:09.57,10:52.64,12:26.82
Athanasoulas S,C5 F2,Livadia,11:50.80,11:20.89,11:18.87
Avgeris Giorgo,C3 F2,Livadia,12:11.49,-,-
Bakas Alexandr,C5 F2,Livadia,12:50.75,-,-
Basdelis Andre,C3 F2,Livadia,12:02.94,11:42.22,11:23.80
Berssis Evange,T,Livadia,11:53.07,11:41.66,-
Chatzigakis G.,C3 F2,Livadia,11:30.67,11:11.36,11:13.21
Christodoulou ,4,Livadia,11:39.13,11:19.53,11:21.03
Christodoulou ,C2,Livadia,11:17.38,10:47.48,10:42.73
Davaris Nikos ,C2,Livadia,11:08.30,10:56.41,10:54.67
Dedegikas Spir,3 2000,Livadia,12:59.34,12:24.99,11:39.65
Delaportas Gio,C5 F2,Livadia,11:38.46,10:56.80,10:57.52
Dodos Giorgos ,4 1600,Livadia,12:50.51,12:28.14,12:38.71
Englezos T.  -,C6 F2,Livadia,12:35.50,11:37.02,12:05.14
Gazetas D.  - ,C6 F2,Livadia,12:17.30,11:40.50,-
Giannakopoulos,C6 F2,Livadia,12:29.18,24:00.00,-
Halivelakis A.,3 2000,Livadia,11:43.62,11:46.23,11:17.37
Halkias Efthim,3 2000,Livadia,11:50.72,12:00.95,-
Ismailos Panos,C2,Livadia,17:00.77,10:15.80,10:11.20
Ita Vita  - Sy,C5 F2,Livadia,14:24.60,21:53.87,-
Kalamaras Teo ,C3 F2,Livadia,12:07.97,11:39.03,11:45.18
Kanellopoulos ,C3 F2,Livadia,12:44.07,11:39.05,11:40.08
Kansos P.  - G,4 2000,Livadia,13:50.90,13:58.38,13:58.39
Kassidopoulos ,3 1300,Livadia,12:20.38,12:13.26,11:59.54
Kofinas Konsta,4 1600,Livadia,13:08.35,12:35.86,12:30.08
Kotsadam Lambr,C6 F2,Livadia,12:45.15,11:58.85,12:07.38
Kourtessis Har,C6 F2,Livadia,12:52.31,12:12.39,12:02.98
Koutsikos P.  ,3 1300,Livadia,12:14.76,12:16.67,11:48.34
Koutsoukos A. ,C4 F2,Livadia,12:56.82,12:25.30,12:16.34
Manetas Giorgo,C4 F2,Livadia,11:52.15,11:21.04,11:21.12
Manouskos Elia,C6 F2,Livadia,12:22.66,11:29.04,11:22.25
Mavraganis A. ,C4 F2,Livadia,12:32.43,12:00.17,11:47.57
Melas D.  - Va,2,Livadia,12:52.65,11:56.90,11:45.55
Panteli Chryso,C5 F2,Livadia,10:43.31,10:26.00,10:20.36
Panteli Petros,C1,Livadia,9:59.66,9:46.60,9:50.43
Papadopoulos I,C5 F2,Livadia,14:21.44,12:40.19,-
Papandreou A. ,4 1300,Livadia,13:14.79,-,-
Paradissis Gio,3 2000,Livadia,11:49.46,11:33.92,11:36.45
Paradissis P. ,C2,Livadia,10:24.29,10:10.07,10:05.54
Pavli Marialen,C6 F2,Livadia,12:45.35,12:36.83,12:26.85
Rigas Giorgos ,C3 F2,Livadia,11:42.00,-,-
Tsakalos Theod,C5 F2,Livadia,10:54.93,10:46.44,10:38.32
Tsouloftas Ale,C1,Livadia,9:28.07,9:19.87,9:24.22
Vassilopoulos ,2 2000,Livadia,12:27.93,12:33.67,12:40.12
Vorrias Ioanni,T1,Livadia,12:20.93,11:31.16,-
Xanthakos M.  ,C2,Livadia,11:47.60,14:03.34,-
