Crew,Gr/Cl,ss,Race,date,surface,competition,cou,time_SS_sec
Tsouloftas Ale,C1,1,Livadia,2/4/2023,Gravel,cup,1,568.07
Panteli Petros,C1,1,Livadia,2/4/2023,Gravel,cup,2,599.66
Paradissis P. ,C2,1,Livadia,2/4/2023,Gravel,cup,3,624.29
Panteli Chryso,C5 F2,1,Livadia,2/4/2023,Gravel,cup,4,643.31
Tsakalos Theod,C5 F2,1,Livadia,2/4/2023,Gravel,cup,5,654.93
Davaris Nikos ,C2,1,Livadia,2/4/2023,Gravel,cup,6,668.3
Antoniou K.  -,C3 F2,1,Livadia,2/4/2023,Gravel,cup,7,669.57
Christodoulou ,C2,1,Livadia,2/4/2023,Gravel,cup,8,677.38
Amoutzas Giorg,C3 F2,1,Livadia,2/4/2023,Gravel,cup,9,682.1
Agathokleous G,C3 F2,1,Livadia,2/4/2023,Gravel,cup,10,688.96
Chatzigakis G.,C3 F2,1,Livadia,2/4/2023,Gravel,cup,11,690.67
Delaportas Gio,C5 F2,1,Livadia,2/4/2023,Gravel,cup,12,698.46
Christodoulou ,4,1,Livadia,2/4/2023,Gravel,cup,13,699.13
Rigas Giorgos ,C3 F2,1,Livadia,2/4/2023,Gravel,cup,14,702.0
Halivelakis A.,3 2000,1,Livadia,2/4/2023,Gravel,cup,15,703.62
Xanthakos M.  ,C2,1,Livadia,2/4/2023,Gravel,cup,16,707.6
Paradissis Gio,3 2000,1,Livadia,2/4/2023,Gravel,cup,17,709.46
Halkias Efthim,3 2000,1,Livadia,2/4/2023,Gravel,cup,18,710.72
Athanasoulas S,C5 F2,1,Livadia,2/4/2023,Gravel,cup,19,710.8
Manetas Giorgo,C4 F2,1,Livadia,2/4/2023,Gravel,cup,20,712.15
Berssis Evange,T,1,Livadia,2/4/2023,Gravel,cup,21,713.07
Amaxopoulos D.,2 1600,1,Livadia,2/4/2023,Gravel,cup,22,716.23
Basdelis Andre,C3 F2,1,Livadia,2/4/2023,Gravel,cup,23,722.94
Kalamaras Teo ,C3 F2,1,Livadia,2/4/2023,Gravel,cup,24,727.97
Avgeris Giorgo,C3 F2,1,Livadia,2/4/2023,Gravel,cup,25,731.49
Koutsikos P.  ,3 1300,1,Livadia,2/4/2023,Gravel,cup,26,734.76
Gazetas D.  - ,C6 F2,1,Livadia,2/4/2023,Gravel,cup,27,737.3
Kassidopoulos ,3 1300,1,Livadia,2/4/2023,Gravel,cup,28,740.38
Vorrias Ioanni,T1,1,Livadia,2/4/2023,Gravel,cup,29,740.93
Manouskos Elia,C6 F2,1,Livadia,2/4/2023,Gravel,cup,30,742.66
Vassilopoulos ,2 2000,1,Livadia,2/4/2023,Gravel,cup,31,747.93
Giannakopoulos,C6 F2,1,Livadia,2/4/2023,Gravel,cup,32,749.18
Mavraganis A. ,C4 F2,1,Livadia,2/4/2023,Gravel,cup,33,752.43
Englezos T.  -,C6 F2,1,Livadia,2/4/2023,Gravel,cup,34,755.5
Kanellopoulos ,C3 F2,1,Livadia,2/4/2023,Gravel,cup,35,764.07
Kotsadam Lambr,C6 F2,1,Livadia,2/4/2023,Gravel,cup,36,765.15
Pavli Marialen,C6 F2,1,Livadia,2/4/2023,Gravel,cup,37,765.35
Dodos Giorgos ,4 1600,1,Livadia,2/4/2023,Gravel,cup,38,770.51
Bakas Alexandr,C5 F2,1,Livadia,2/4/2023,Gravel,cup,39,770.75
Kourtessis Har,C6 F2,1,Livadia,2/4/2023,Gravel,cup,40,772.31
Melas D.  - Va,2,1,Livadia,2/4/2023,Gravel,cup,41,772.65
Koutsoukos A. ,C4 F2,1,Livadia,2/4/2023,Gravel,cup,42,776.82
Dedegikas Spir,3 2000,1,Livadia,2/4/2023,Gravel,cup,43,779.34
Kofinas Konsta,4 1600,1,Livadia,2/4/2023,Gravel,cup,44,788.35
Papandreou A. ,4 1300,1,Livadia,2/4/2023,Gravel,cup,45,794.79
Kansos P.  - G,4 2000,1,Livadia,2/4/2023,Gravel,cup,46,830.9
Papadopoulos I,C5 F2,1,Livadia,2/4/2023,Gravel,cup,47,861.44
Ita Vita  - Sy,C5 F2,1,Livadia,2/4/2023,Gravel,cup,48,864.6
Ismailos Panos,C2,1,Livadia,2/4/2023,Gravel,cup,49,1020.77
Tsouloftas Ale,C1,2,Livadia,2/4/2023,Gravel,cup,1,559.87
Panteli Petros,C1,2,Livadia,2/4/2023,Gravel,cup,2,586.6
Paradissis P. ,C2,2,Livadia,2/4/2023,Gravel,cup,3,610.07
Ismailos Panos,C2,2,Livadia,2/4/2023,Gravel,cup,4,615.8
Panteli Chryso,C5 F2,2,Livadia,2/4/2023,Gravel,cup,5,626.0
Tsakalos Theod,C5 F2,2,Livadia,2/4/2023,Gravel,cup,6,646.44
Christodoulou ,C2,2,Livadia,2/4/2023,Gravel,cup,7,647.48
Antoniou K.  -,C3 F2,2,Livadia,2/4/2023,Gravel,cup,8,652.64
Amoutzas Giorg,C3 F2,2,Livadia,2/4/2023,Gravel,cup,9,656.35
Davaris Nikos ,C2,2,Livadia,2/4/2023,Gravel,cup,10,656.41
Delaportas Gio,C5 F2,2,Livadia,2/4/2023,Gravel,cup,11,656.8
Chatzigakis G.,C3 F2,2,Livadia,2/4/2023,Gravel,cup,12,671.36
Christodoulou ,4,2,Livadia,2/4/2023,Gravel,cup,13,679.53
Athanasoulas S,C5 F2,2,Livadia,2/4/2023,Gravel,cup,14,680.89
Manetas Giorgo,C4 F2,2,Livadia,2/4/2023,Gravel,cup,15,681.04
Agathokleous G,C3 F2,2,Livadia,2/4/2023,Gravel,cup,16,685.23
Manouskos Elia,C6 F2,2,Livadia,2/4/2023,Gravel,cup,17,689.04
