,,,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time
ss,,,1,2,3,4,5,6
Crew,Gr/Cl,Race,,,,,,
Amoutzas Giorg,C3 F2,Olympiako,8:53.68,11:45.35,8:33.85,11:24.68,11:26.95,11:44.43
Anastassopoulo,C4 F2,Olympiako,8:57.35 [N],12:17.46,9:11.51,12:01.38,11:57.84,11:58.58
Angelopoulos A,C5 F2,Olympiako,8:40.10,11:27.19,8:20.91,11:16.02,11:34.68,11:33.08
Athanassopoulo,C6 F2,Olympiako,9:41.32,12:22.01,9:09.69,12:09.71,12:24.54,12:38.92
Badounas I.  -,C2,Olympiako,7:41.26,10:31.34,7:42.29,10:28.92,10:30.03,10:37.05
Bris Panagioti,C3 F2,Olympiako,10:25.86,13:09.13,10:00.78,12:53.50,13:21.78,13:11.69
Christodoulou ,C2,Olympiako,9:13.51,-,-,-,-,-
Davaris Nikos ,C2,Olympiako,8:57.74,11:59.27,9:02.94,11:55.06,11:42.31,12:05.70
Delaportas Gio,C5 F2,Olympiako,9:04.50,11:49.00,8:59.03,11:37.14,11:40.61,11:54.16
Dimopoulos Ant,C4 F2,Olympiako,8:16.26,11:28.49,-,-,-,-
Eliopoulos Pan,C2,Olympiako,8:27.86,11:13.45,8:15.95,11:12.36,11:14.83,-
Giannakopoulos,C2,Olympiako,8:35.44,11:35.55,8:35.32,11:23.31,11:22.84,11:36.31
Giotis Ioannis,C4 F2,Olympiako,9:03.86,12:14.20,8:52.90,12:04.32,12:25.01,12:01.36
Golfinopoulos ,C5 F2,Olympiako,12:03.64,14:58.15,11:34.13,14:52.95,-,-
Kalaitzian I. ,C3 F2,Olympiako,10:03.89,13:05.43,9:43.33,12:48.60,13:15.69,13:29.84
Kalamaras Teo ,C3 F2,Olympiako,9:21.15,12:07.55,9:05.67,12:04.94,12:03.33,12:51.43
Karanikolas E.,C5 F2,Olympiako,7:59.26,11:15.28,7:55.19,11:11.36,11:04.38,11:00.83
Kehagias Giorg,C1,Olympiako,7:32.85,10:23.23,7:16.36,10:10.26,10:32.38,10:30.72
Kirkos Panagio,C2,Olympiako,7:52.31,10:44.18,7:38.25,10:33.70,10:24.45,10:48.53
Koutsoukos Ang,C4 F2,Olympiako,10:18.95,13:18.55,10:01.01,12:52.07,13:01.87,13:45.85
Lainopoulos St,C2,Olympiako,8:12.89,11:20.45,-,-,-,-
Lathouris Pana,C4 F2,Olympiako,10:35.98,-,-,-,-,-
Lymperis A.  -,C2,Olympiako,8:35.70,11:16.80,8:25.66,11:23.84,11:29.79,-
Manetas Giorgo,C4 F2,Olympiako,8:49.28,11:50.73,8:50.92,11:42.92,11:47.87,11:50.04
Mantas Panagio,C6 F2,Olympiako,10:40.35,13:11.37,10:11.32,12:51.95,13:13.23,13:55.65
Panteli Petros,C1,Olympiako,7:54.80,11:25.51,7:39.54,10:27.63,-,-
Papadimitriou ,C1,Olympiako,7:20.12,10:22.76,-,-,-,-
Papadopoulos A,C2,Olympiako,8:21.60,11:06.74,8:04.95,15:44.72,11:12.09,10:56.25
Paraskevopoulo,C5 F2,Olympiako,8:54.46 [N],11:58.51,8:42.99,11:57.63,11:54.63,11:55.15
Roiniotis S.  ,C3 F2,Olympiako,8:57.35,11:46.53,8:36.40,11:29.65,11:32.92,11:59.39
Simetra  - Pal,C2,Olympiako,8:56.86,12:01.60,8:39.26,11:49.21,11:47.87,11:45.32
Stavropoulos D,C6 F2,Olympiako,8:54.46 [N],11:56.37,8:43.58,11:53.57,12:05.21,11:38.92
Theocharopoulo,C2,Olympiako,8:35.43,11:28.43,8:28.11,11:16.06,11:17.04,11:48.84
Triantopoulos ,C4 F2,Olympiako,8:54.46,11:50.40,8:42.69,11:48.75,11:50.55,12:24.23
Tsetsonis Elia,C2,Olympiako,8:30.41,11:27.68,8:01.44,11:14.94,11:27.46,11:18.98
Tsouloftas Ale,C1,Olympiako,7:14.49,10:10.18,7:09.57,10:02.36,10:04.92,9:54.73
Tsoulos Argiri,C2,Olympiako,8:28.45,11:13.37,8:24.70,11:15.14,11:22.84,11:07.52
Tzavaras P.  -,C6 F2,Olympiako,9:22.77,12:19.98,9:08.49,12:04.53,12:04.00,11:58.96
Tzemos Konstan,C2,Olympiako,8:18.24,11:06.94,7:58.11,10:51.14,10:49.72,10:57.65
Yiangou Y.  - ,C2,Olympiako,9:59.61,12:51.55,9:27.03,12:26.05,12:32.23,12:59.52
Zounis Ioannis,C2,Olympiako,8:51.99,11:44.37,8:42.59,11:49.44,11:52.33,12:10.82
