Crew,Gr/Cl,ss,Race,date,surface,competition,cou,time_SS_sec
Tsouloftas Ale,C1,1,Olympiako,30/4/2023,Gravel,Championship,1,434.49
Papadimitriou ,C1,1,Olympiako,30/4/2023,Gravel,Championship,2,440.12
Kehagias Giorg,C1,1,Olympiako,30/4/2023,Gravel,Championship,3,452.85
Badounas I.  -,C2,1,Olympiako,30/4/2023,Gravel,Championship,4,461.26
Kirkos Panagio,C2,1,Olympiako,30/4/2023,Gravel,Championship,5,472.31
Panteli Petros,C1,1,Olympiako,30/4/2023,Gravel,Championship,6,474.8
Karanikolas E.,C5 F2,1,Olympiako,30/4/2023,Gravel,Championship,7,479.26
Lainopoulos St,C2,1,Olympiako,30/4/2023,Gravel,Championship,8,492.89
Dimopoulos Ant,C4 F2,1,Olympiako,30/4/2023,Gravel,Championship,9,496.26
Tzemos Konstan,C2,1,Olympiako,30/4/2023,Gravel,Championship,10,498.24
Papadopoulos A,C2,1,Olympiako,30/4/2023,Gravel,Championship,11,501.6
Eliopoulos Pan,C2,1,Olympiako,30/4/2023,Gravel,Championship,12,507.86
Tsoulos Argiri,C2,1,Olympiako,30/4/2023,Gravel,Championship,13,508.45
Tsetsonis Elia,C2,1,Olympiako,30/4/2023,Gravel,Championship,14,510.41
Theocharopoulo,C2,1,Olympiako,30/4/2023,Gravel,Championship,15,515.43
Giannakopoulos,C2,1,Olympiako,30/4/2023,Gravel,Championship,16,515.44
Lymperis A.  -,C2,1,Olympiako,30/4/2023,Gravel,Championship,17,515.7
Angelopoulos A,C5 F2,1,Olympiako,30/4/2023,Gravel,Championship,18,520.1
Manetas Giorgo,C4 F2,1,Olympiako,30/4/2023,Gravel,Championship,19,529.28
Zounis Ioannis,C2,1,Olympiako,30/4/2023,Gravel,Championship,20,531.99
Amoutzas Giorg,C3 F2,1,Olympiako,30/4/2023,Gravel,Championship,21,533.68
Triantopoulos ,C4 F2,1,Olympiako,30/4/2023,Gravel,Championship,22,534.46
Paraskevopoulo,C5 F2,1,Olympiako,30/4/2023,Gravel,Championship,23,
Stavropoulos D,C6 F2,1,Olympiako,30/4/2023,Gravel,Championship,24,
Simetra  - Pal,C2,1,Olympiako,30/4/2023,Gravel,Championship,25,536.86
Roiniotis S.  ,C3 F2,1,Olympiako,30/4/2023,Gravel,Championship,26,537.35
Anastassopoulo,C4 F2,1,Olympiako,30/4/2023,Gravel,Championship,27,
Davaris Nikos ,C2,1,Olympiako,30/4/2023,Gravel,Championship,28,537.74
Giotis Ioannis,C4 F2,1,Olympiako,30/4/2023,Gravel,Championship,29,543.86
Delaportas Gio,C5 F2,1,Olympiako,30/4/2023,Gravel,Championship,30,544.5
Christodoulou ,C2,1,Olympiako,30/4/2023,Gravel,Championship,31,553.51
Kalamaras Teo ,C3 F2,1,Olympiako,30/4/2023,Gravel,Championship,32,561.15
Tzavaras P.  -,C6 F2,1,Olympiako,30/4/2023,Gravel,Championship,33,562.77
Athanassopoulo,C6 F2,1,Olympiako,30/4/2023,Gravel,Championship,34,581.32
Yiangou Y.  - ,C2,1,Olympiako,30/4/2023,Gravel,Championship,35,599.61
Kalaitzian I. ,C3 F2,1,Olympiako,30/4/2023,Gravel,Championship,36,603.89
Koutsoukos Ang,C4 F2,1,Olympiako,30/4/2023,Gravel,Championship,37,618.95
Bris Panagioti,C3 F2,1,Olympiako,30/4/2023,Gravel,Championship,38,625.86
Lathouris Pana,C4 F2,1,Olympiako,30/4/2023,Gravel,Championship,39,635.98
Mantas Panagio,C6 F2,1,Olympiako,30/4/2023,Gravel,Championship,40,640.35
Golfinopoulos ,C5 F2,1,Olympiako,30/4/2023,Gravel,Championship,41,723.64
Tsouloftas Ale,C1,2,Olympiako,30/4/2023,Gravel,Championship,1,610.18
Papadimitriou ,C1,2,Olympiako,30/4/2023,Gravel,Championship,2,622.76
Kehagias Giorg,C1,2,Olympiako,30/4/2023,Gravel,Championship,3,623.23
Badounas I.  -,C2,2,Olympiako,30/4/2023,Gravel,Championship,4,631.34
Kirkos Panagio,C2,2,Olympiako,30/4/2023,Gravel,Championship,5,644.18
Papadopoulos A,C2,2,Olympiako,30/4/2023,Gravel,Championship,6,666.74
Tzemos Konstan,C2,2,Olympiako,30/4/2023,Gravel,Championship,7,666.94
Tsoulos Argiri,C2,2,Olympiako,30/4/2023,Gravel,Championship,8,673.37
Eliopoulos Pan,C2,2,Olympiako,30/4/2023,Gravel,Championship,9,673.45
Karanikolas E.,C5 F2,2,Olympiako,30/4/2023,Gravel,Championship,10,675.28
Lymperis A.  -,C2,2,Olympiako,30/4/2023,Gravel,Championship,11,676.8
Lainopoulos St,C2,2,Olympiako,30/4/2023,Gravel,Championship,12,680.45
Panteli Petros,C1,2,Olympiako,30/4/2023,Gravel,Championship,13,685.51
Angelopoulos A,C5 F2,2,Olympiako,30/4/2023,Gravel,Championship,14,687.19
Tsetsonis Elia,C2,2,Olympiako,30/4/2023,Gravel,Championship,15,687.68
Theocharopoulo,C2,2,Olympiako,30/4/2023,Gravel,Championship,16,688.43
Dimopoulos Ant,C4 F2,2,Olympiako,30/4/2023,Gravel,Championship,17,688.49
Giannakopoulos,C2,2,Olympiako,30/4/2023,Gravel,Championship,18,695.55
Zounis Ioannis,C2,2,Olympiako,30/4/2023,Gravel,Championship,19,704.37
Amoutzas Giorg,C3 F2,2,Olympiako,30/4/2023,Gravel,Championship,20,705.35
Roiniotis S.  ,C3 F2,2,Olympiako,30/4/2023,Gravel,Championship,21,706.53
Delaportas Gio,C5 F2,2,Olympiako,30/4/2023,Gravel,Championship,22,709.0
Triantopoulos ,C4 F2,2,Olympiako,30/4/2023,Gravel,Championship,23,710.4
Manetas Giorgo,C4 F2,2,Olympiako,30/4/2023,Gravel,Championship,24,710.73
Stavropoulos D,C6 F2,2,Olympiako,30/4/2023,Gravel,Championship,25,716.37
Paraskevopoulo,C5 F2,2,Olympiako,30/4/2023,Gravel,Championship,26,718.51
Davaris Nikos ,C2,2,Olympiako,30/4/2023,Gravel,Championship,27,719.27
Simetra  - Pal,C2,2,Olympiako,30/4/2023,Gravel,Championship,28,721.6
Kalamaras Teo ,C3 F2,2,Olympiako,30/4/2023,Gravel,Championship,29,727.55
Giotis Ioannis,C4 F2,2,Olympiako,30/4/2023,Gravel,Championship,30,734.2
Anastassopoulo,C4 F2,2,Olympiako,30/4/2023,Gravel,Championship,31,737.46
Tzavaras P.  -,C6 F2,2,Olympiako,30/4/2023,Gravel,Championship,32,739.98
Athanassopoulo,C6 F2,2,Olympiako,30/4/2023,Gravel,Championship,33,742.01
Yiangou Y.  - ,C2,2,Olympiako,30/4/2023,Gravel,Championship,34,771.55
Kalaitzian I. ,C3 F2,2,Olympiako,30/4/2023,Gravel,Championship,35,785.43
Bris Panagioti,C3 F2,2,Olympiako,30/4/2023,Gravel,Championship,36,789.13
Mantas Panagio,C6 F2,2,Olympiako,30/4/2023,Gravel,Championship,37,791.37
Koutsoukos Ang,C4 F2,2,Olympiako,30/4/2023,Gravel,Championship,38,798.55
Golfinopoulos ,C5 F2,2,Olympiako,30/4/2023,Gravel,Championship,39,898.15
Tsouloftas Ale,C1,3,Olympiako,30/4/2023,Gravel,Championship,1,429.57
Kehagias Giorg,C1,3,Olympiako,30/4/2023,Gravel,Championship,2,436.36
Kirkos Panagio,C2,3,Olympiako,30/4/2023,Gravel,Championship,3,458.25
Panteli Petros,C1,3,Olympiako,30/4/2023,Gravel,Championship,4,459.54
Badounas I.  -,C2,3,Olympiako,30/4/2023,Gravel,Championship,5,462.29
Karanikolas E.,C5 F2,3,Olympiako,30/4/2023,Gravel,Championship,6,475.19
Tzemos Konstan,C2,3,Olympiako,30/4/2023,Gravel,Championship,7,478.11
Tsetsonis Elia,C2,3,Olympiako,30/4/2023,Gravel,Championship,8,481.44
Papadopoulos A,C2,3,Olympiako,30/4/2023,Gravel,Championship,9,484.95
Eliopoulos Pan,C2,3,Olympiako,30/4/2023,Gravel,Championship,10,495.95
Angelopoulos A,C5 F2,3,Olympiako,30/4/2023,Gravel,Championship,11,500.91
Tsoulos Argiri,C2,3,Olympiako,30/4/2023,Gravel,Championship,12,504.7
Lymperis A.  -,C2,3,Olympiako,30/4/2023,Gravel,Championship,13,505.66
Theocharopoulo,C2,3,Olympiako,30/4/2023,Gravel,Championship,14,508.11
Amoutzas Giorg,C3 F2,3,Olympiako,30/4/2023,Gravel,Championship,15,513.85
Giannakopoulos,C2,3,Olympiako,30/4/2023,Gravel,Championship,16,515.32
Roiniotis S.  ,C3 F2,3,Olympiako,30/4/2023,Gravel,Championship,17,516.4
Simetra  - Pal,C2,3,Olympiako,30/4/2023,Gravel,Championship,18,519.26
Zounis Ioannis,C2,3,Olympiako,30/4/2023,Gravel,Championship,19,522.59
Triantopoulos ,C4 F2,3,Olympiako,30/4/2023,Gravel,Championship,20,522.69
Paraskevopoulo,C5 F2,3,Olympiako,30/4/2023,Gravel,Championship,21,522.99
Stavropoulos D,C6 F2,3,Olympiako,30/4/2023,Gravel,Championship,22,523.58
Manetas Giorgo,C4 F2,3,Olympiako,30/4/2023,Gravel,Championship,23,530.92
Giotis Ioannis,C4 F2,3,Olympiako,30/4/2023,Gravel,Championship,24,532.9
Delaportas Gio,C5 F2,3,Olympiako,30/4/2023,Gravel,Championship,25,539.03
Davaris Nikos ,C2,3,Olympiako,30/4/2023,Gravel,Championship,26,542.94
Kalamaras Teo ,C3 F2,3,Olympiako,30/4/2023,Gravel,Championship,27,545.67
Tzavaras P.  -,C6 F2,3,Olympiako,30/4/2023,Gravel,Championship,28,548.49
Athanassopoulo,C6 F2,3,Olympiako,30/4/2023,Gravel,Championship,29,549.69
Anastassopoulo,C4 F2,3,Olympiako,30/4/2023,Gravel,Championship,30,551.51
Yiangou Y.  - ,C2,3,Olympiako,30/4/2023,Gravel,Championship,31,567.03
Kalaitzian I. ,C3 F2,3,Olympiako,30/4/2023,Gravel,Championship,32,583.33
Bris Panagioti,C3 F2,3,Olympiako,30/4/2023,Gravel,Championship,33,600.78
Koutsoukos Ang,C4 F2,3,Olympiako,30/4/2023,Gravel,Championship,34,601.01
Mantas Panagio,C6 F2,3,Olympiako,30/4/2023,Gravel,Championship,35,611.32
Golfinopoulos ,C5 F2,3,Olympiako,30/4/2023,Gravel,Championship,36,694.13
Tsouloftas Ale,C1,4,Olympiako,30/4/2023,Gravel,Championship,1,602.36
Kehagias Giorg,C1,4,Olympiako,30/4/2023,Gravel,Championship,2,610.26
Panteli Petros,C1,4,Olympiako,30/4/2023,Gravel,Championship,3,627.63
Badounas I.  -,C2,4,Olympiako,30/4/2023,Gravel,Championship,4,628.92
Kirkos Panagio,C2,4,Olympiako,30/4/2023,Gravel,Championship,5,633.7
Tzemos Konstan,C2,4,Olympiako,30/4/2023,Gravel,Championship,6,651.14
Karanikolas E.,C5 F2,4,Olympiako,30/4/2023,Gravel,Championship,7,671.36
Eliopoulos Pan,C2,4,Olympiako,30/4/2023,Gravel,Championship,8,672.36
Tsetsonis Elia,C2,4,Olympiako,30/4/2023,Gravel,Championship,9,674.94
Tsoulos Argiri,C2,4,Olympiako,30/4/2023,Gravel,Championship,10,675.14
Angelopoulos A,C5 F2,4,Olympiako,30/4/2023,Gravel,Championship,11,676.02
Theocharopoulo,C2,4,Olympiako,30/4/2023,Gravel,Championship,12,676.06
Giannakopoulos,C2,4,Olympiako,30/4/2023,Gravel,Championship,13,683.31
Lymperis A.  -,C2,4,Olympiako,30/4/2023,Gravel,Championship,14,683.84
Amoutzas Giorg,C3 F2,4,Olympiako,30/4/2023,Gravel,Championship,15,684.68
Roiniotis S.  ,C3 F2,4,Olympiako,30/4/2023,Gravel,Championship,16,689.65
Delaportas Gio,C5 F2,4,Olympiako,30/4/2023,Gravel,Championship,17,697.14
Manetas Giorgo,C4 F2,4,Olympiako,30/4/2023,Gravel,Championship,18,702.92
Triantopoulos ,C4 F2,4,Olympiako,30/4/2023,Gravel,Championship,19,708.75
Simetra  - Pal,C2,4,Olympiako,30/4/2023,Gravel,Championship,20,709.21
Zounis Ioannis,C2,4,Olympiako,30/4/2023,Gravel,Championship,21,709.44
Stavropoulos D,C6 F2,4,Olympiako,30/4/2023,Gravel,Championship,22,713.57
Davaris Nikos ,C2,4,Olympiako,30/4/2023,Gravel,Championship,23,715.06
Paraskevopoulo,C5 F2,4,Olympiako,30/4/2023,Gravel,Championship,24,717.63
Anastassopoulo,C4 F2,4,Olympiako,30/4/2023,Gravel,Championship,25,721.38
Giotis Ioannis,C4 F2,4,Olympiako,30/4/2023,Gravel,Championship,26,724.32
Tzavaras P.  -,C6 F2,4,Olympiako,30/4/2023,Gravel,Championship,27,724.53
Kalamaras Teo ,C3 F2,4,Olympiako,30/4/2023,Gravel,Championship,28,724.94
Athanassopoulo,C6 F2,4,Olympiako,30/4/2023,Gravel,Championship,29,729.71
Yiangou Y.  - ,C2,4,Olympiako,30/4/2023,Gravel,Championship,30,746.05
Kalaitzian I. ,C3 F2,4,Olympiako,30/4/2023,Gravel,Championship,31,768.6
Mantas Panagio,C6 F2,4,Olympiako,30/4/2023,Gravel,Championship,32,771.95
Koutsoukos Ang,C4 F2,4,Olympiako,30/4/2023,Gravel,Championship,33,772.07
Bris Panagioti,C3 F2,4,Olympiako,30/4/2023,Gravel,Championship,34,773.5
Golfinopoulos ,C5 F2,4,Olympiako,30/4/2023,Gravel,Championship,35,892.95
Papadopoulos A,C2,4,Olympiako,30/4/2023,Gravel,Championship,36,944.72
Tsouloftas Ale,C1,5,Olympiako,30/4/2023,Gravel,Championship,1,604.92
Kirkos Panagio,C2,5,Olympiako,30/4/2023,Gravel,Championship,2,624.45
Badounas I.  -,C2,5,Olympiako,30/4/2023,Gravel,Championship,3,630.03
Kehagias Giorg,C1,5,Olympiako,30/4/2023,Gravel,Championship,4,632.38
Tzemos Konstan,C2,5,Olympiako,30/4/2023,Gravel,Championship,5,649.72
Karanikolas E.,C5 F2,5,Olympiako,30/4/2023,Gravel,Championship,6,664.38
Papadopoulos A,C2,5,Olympiako,30/4/2023,Gravel,Championship,7,672.09
Eliopoulos Pan,C2,5,Olympiako,30/4/2023,Gravel,Championship,8,674.83
Theocharopoulo,C2,5,Olympiako,30/4/2023,Gravel,Championship,9,677.04
Tsoulos Argiri,C2,5,Olympiako,30/4/2023,Gravel,Championship,10,682.84
Giannakopoulos,C2,5,Olympiako,30/4/2023,Gravel,Championship,11,682.84
Amoutzas Giorg,C3 F2,5,Olympiako,30/4/2023,Gravel,Championship,12,686.95
Tsetsonis Elia,C2,5,Olympiako,30/4/2023,Gravel,Championship,13,687.46
Lymperis A.  -,C2,5,Olympiako,30/4/2023,Gravel,Championship,14,689.79
Roiniotis S.  ,C3 F2,5,Olympiako,30/4/2023,Gravel,Championship,15,692.92
Angelopoulos A,C5 F2,5,Olympiako,30/4/2023,Gravel,Championship,16,694.68
Delaportas Gio,C5 F2,5,Olympiako,30/4/2023,Gravel,Championship,17,700.61
Davaris Nikos ,C2,5,Olympiako,30/4/2023,Gravel,Championship,18,702.31
Simetra  - Pal,C2,5,Olympiako,30/4/2023,Gravel,Championship,19,707.87
Manetas Giorgo,C4 F2,5,Olympiako,30/4/2023,Gravel,Championship,20,707.87
Triantopoulos ,C4 F2,5,Olympiako,30/4/2023,Gravel,Championship,21,710.55
Zounis Ioannis,C2,5,Olympiako,30/4/2023,Gravel,Championship,22,712.33
Paraskevopoulo,C5 F2,5,Olympiako,30/4/2023,Gravel,Championship,23,714.63
