,Crew,Gr/Cl,ss,Race,date,surface,competition,cou,time_SS_sec,min_time_Gr,min_time,diff,diff_G,diff_G%,SS.
2,Avgeropoulos C,C4 F2,1,Palladio,2/12/2023,Tarmac,Cup,2,125.13,125.13,124.47,0.6599999999999966,0.0,0.0,01
3,Dekas Giorgos ,C4 F2,1,Palladio,2/12/2023,Tarmac,Cup,11,,125.13,124.47,,,,01
4,Dekas K.  - Ba,C4 F2,1,Palladio,2/12/2023,Tarmac,Cup,17,,125.13,124.47,,,,01
5,Kalaitzian I. ,C4 F2,1,Palladio,2/12/2023,Tarmac,Cup,18,,125.13,124.47,,,,01
6,Zakheos Nikola,C3 F2,1,Palladio,2/12/2023,Tarmac,Cup,3,130.62,130.62,124.47,6.150000000000006,0.0,0.0,01
7,Kandiliotis V.,C3 F2,1,Palladio,2/12/2023,Tarmac,Cup,5,,130.62,124.47,,,,01
8,Gyzis Ioannis ,C3 F2,1,Palladio,2/12/2023,Tarmac,Cup,6,,130.62,124.47,,,,01
9,Moschos A.  - ,C3 F2,1,Palladio,2/12/2023,Tarmac,Cup,7,,130.62,124.47,,,,01
10,Margaronis A. ,C3 F2,1,Palladio,2/12/2023,Tarmac,Cup,8,,130.62,124.47,,,,01
11,Kapralos D.  -,C3 F2,1,Palladio,2/12/2023,Tarmac,Cup,9,,130.62,124.47,,,,01
12,Pakkos F.  - P,C3 F2,1,Palladio,2/12/2023,Tarmac,Cup,23,,130.62,124.47,,,,01
13,Karathanassis ,C5 F2,1,Palladio,2/12/2023,Tarmac,Cup,4,,,124.47,,,,01
14,Zois Dimitris ,C5 F2,1,Palladio,2/12/2023,Tarmac,Cup,12,,,124.47,,,,01
15,Papaloukas Nik,C5 F2,1,Palladio,2/12/2023,Tarmac,Cup,13,,,124.47,,,,01
16,Kondilis Panag,C5 F2,1,Palladio,2/12/2023,Tarmac,Cup,14,,,124.47,,,,01
17,Rekkas Viktora,C6 F2,1,Palladio,2/12/2023,Tarmac,Cup,10,,,124.47,,,,01
18,Rekkas Panange,C6 F2,1,Palladio,2/12/2023,Tarmac,Cup,15,,,124.47,,,,01
19,Benoukas Marin,C6 F2,1,Palladio,2/12/2023,Tarmac,Cup,16,,,124.47,,,,01
20,Tiros Nikos  -,C6 F2,1,Palladio,2/12/2023,Tarmac,Cup,19,,,124.47,,,,01
21,Kouniakis K.  ,C6 F2,1,Palladio,2/12/2023,Tarmac,Cup,20,,,124.47,,,,01
