,,,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time
ss,,,1,2,3,4,5,6
Crew,Gr/Cl,Race,,,,,,
Avgeropoulos C,C4 F2,Palladio,2:05.13,5:43.21,4:01.94,2:04.62,5:24.18,3:56.95
Benoukas Marin,C6 F2,Palladio,2:10.62,6:05.56,4:38.10,2:24.56,5:55.35,4:21.02
Chrissafi Mari,C6 F2,Palladio,2:10.62,8:17.00,5:44.42,3:09.46,7:41.18,5:26.58
Dekas Giorgos ,C4 F2,Palladio,2:10.62,-,-,-,-,-
Dekas K.  - Ba,C4 F2,Palladio,2:10.62,-,-,-,-,-
Gavriilidis Gi,4 2000+,Palladio,2:10.62,6:23.84,4:53.32,2:29.83,6:27.15,4:45.64
Gerovassilis A,4 2000,Palladio,2:10.62,6:21.29,4:43.46,2:25.84,6:16.82,4:52.93
Gyzis Ioannis ,C3 F2,Palladio,2:10.62,-,-,-,-,-
Halivelakis A.,3 2000,Palladio,2:10.62,6:27.90,4:47.85,2:27.15,6:21.84,4:47.62
Kalaitzian I. ,C4 F2,Palladio,2:10.62,6:11.23,4:38.80,2:16.85,5:58.24,4:22.31
Kandiliotis V.,C3 F2,Palladio,2:10.62,6:01.24,4:24.75,2:15.26,5:56.97,4:23.62
Kapralos D.  -,C3 F2,Palladio,2:10.62,5:50.21,4:40.39,2:08.49,5:35.89,4:14.80
Karathanassis ,C5 F2,Palladio,2:10.62,5:51.69,4:23.00,2:14.87,5:40.90,4:15.55
Katsikas Ioann,3 2000,Palladio,2:10.62,5:57.19,4:27.47,2:17.69,5:53.41,4:31.63
Kondilis Panag,C5 F2,Palladio,2:10.62,6:04.79,4:30.10,2:23.12,6:04.76,5:13.15
Koukeas Efstat,C1,Palladio,2:04.47,5:36.09,4:13.01,2:02.62,6:05.81,-
Kouniakis K.  ,C6 F2,Palladio,2:10.62,6:30.80,5:03.66,-,-,-
Margaronis A. ,C3 F2,Palladio,2:10.62,5:57.54,4:21.17,2:41.57,5:53.25,4:22.24
Melas D.  - Va,2,Palladio,2:10.62,6:22.66,4:47.26,2:24.12,6:31.02,4:46.58
Moschos A.  - ,C3 F2,Palladio,2:10.62,5:22.16,3:57.90,2:03.14,5:53.48,4:09.43
Nomikos Andrea,C1,Palladio,2:16.60,5:54.22,4:20.38,2:11.58,5:42.94,4:08.56
Pakkos F.  - P,C3 F2,Palladio,2:10.62,7:03.93,5:13.44,2:43.44,6:59.72,5:13.32
Papaloukas Nik,C5 F2,Palladio,2:10.62,6:04.80,4:30.73,2:20.04,-,-
Papazoglou L. ,4 2000+,Palladio,2:10.62,6:28.93,4:52.31,2:27.80,6:11.31,4:50.16
Rekkas Panange,C6 F2,Palladio,2:10.62,5:57.77,4:23.79,2:14.95,5:49.74,4:21.16
Rekkas Viktora,C6 F2,Palladio,2:10.62,6:10.27,4:23.35,2:17.74,5:52.91,4:19.24
Stafilopatis M,4 2000+,Palladio,2:10.62,5:28.88,4:03.82,2:10.14,5:28.94,4:09.63
Stamatakis S. ,C6 F2,Palladio,2:10.62,6:10.23,4:26.09,2:15.21,5:57.04,4:26.23
Tiros Nikos  -,C6 F2,Palladio,2:10.62,6:04.29,4:25.14,2:14.00,5:55.15,4:23.65
Tsalamatas Ioa,4,Palladio,2:10.62,6:25.39,4:46.52,2:21.12,6:15.06,4:38.14
Zakheos Nikola,C3 F2,Palladio,2:10.62,-,-,-,-,-
Zois Dimitris ,C5 F2,Palladio,2:10.62,6:04.98,4:34.71,2:21.07,6:14.70,4:29.93
