Crew,Gr/Cl,ss,Race,date,surface,competition,cou,time_SS_sec
Koukeas Efstat,C1,1,Palladio,2/12/2023,Tarmac,Cup,1,124.47
Avgeropoulos C,C4 F2,1,Palladio,2/12/2023,Tarmac,Cup,2,125.13
Zakheos Nikola,C3 F2,1,Palladio,2/12/2023,Tarmac,Cup,3,130.62
Karathanassis ,C5 F2,1,Palladio,2/12/2023,Tarmac,Cup,4,130.62
Kandiliotis V.,C3 F2,1,Palladio,2/12/2023,Tarmac,Cup,5,130.62
Gyzis Ioannis ,C3 F2,1,Palladio,2/12/2023,Tarmac,Cup,6,130.62
Moschos A.  - ,C3 F2,1,Palladio,2/12/2023,Tarmac,Cup,7,130.62
Margaronis A. ,C3 F2,1,Palladio,2/12/2023,Tarmac,Cup,8,130.62
Kapralos D.  -,C3 F2,1,Palladio,2/12/2023,Tarmac,Cup,9,130.62
Rekkas Viktora,C6 F2,1,Palladio,2/12/2023,Tarmac,Cup,10,130.62
Dekas Giorgos ,C4 F2,1,Palladio,2/12/2023,Tarmac,Cup,11,130.62
Zois Dimitris ,C5 F2,1,Palladio,2/12/2023,Tarmac,Cup,12,130.62
Papaloukas Nik,C5 F2,1,Palladio,2/12/2023,Tarmac,Cup,13,130.62
Kondilis Panag,C5 F2,1,Palladio,2/12/2023,Tarmac,Cup,14,130.62
Rekkas Panange,C6 F2,1,Palladio,2/12/2023,Tarmac,Cup,15,130.62
Benoukas Marin,C6 F2,1,Palladio,2/12/2023,Tarmac,Cup,16,130.62
Dekas K.  - Ba,C4 F2,1,Palladio,2/12/2023,Tarmac,Cup,17,130.62
Kalaitzian I. ,C4 F2,1,Palladio,2/12/2023,Tarmac,Cup,18,130.62
Tiros Nikos  -,C6 F2,1,Palladio,2/12/2023,Tarmac,Cup,19,130.62
Kouniakis K.  ,C6 F2,1,Palladio,2/12/2023,Tarmac,Cup,20,130.62
Stamatakis S. ,C6 F2,1,Palladio,2/12/2023,Tarmac,Cup,21,130.62
Chrissafi Mari,C6 F2,1,Palladio,2/12/2023,Tarmac,Cup,22,130.62
Pakkos F.  - P,C3 F2,1,Palladio,2/12/2023,Tarmac,Cup,23,130.62
Stafilopatis M,4 2000+,1,Palladio,2/12/2023,Tarmac,Cup,24,130.62
Melas D.  - Va,2,1,Palladio,2/12/2023,Tarmac,Cup,25,130.62
Katsikas Ioann,3 2000,1,Palladio,2/12/2023,Tarmac,Cup,26,130.62
Papazoglou L. ,4 2000+,1,Palladio,2/12/2023,Tarmac,Cup,27,130.62
Gavriilidis Gi,4 2000+,1,Palladio,2/12/2023,Tarmac,Cup,28,130.62
Halivelakis A.,3 2000,1,Palladio,2/12/2023,Tarmac,Cup,29,130.62
Gerovassilis A,4 2000,1,Palladio,2/12/2023,Tarmac,Cup,30,130.62
Tsalamatas Ioa,4,1,Palladio,2/12/2023,Tarmac,Cup,31,130.62
Nomikos Andrea,C1,1,Palladio,2/12/2023,Tarmac,Cup,32,136.6
Moschos A.  - ,C3 F2,2,Palladio,2/12/2023,Tarmac,Cup,1,322.16
Stafilopatis M,4 2000+,2,Palladio,2/12/2023,Tarmac,Cup,2,328.88
Koukeas Efstat,C1,2,Palladio,2/12/2023,Tarmac,Cup,3,336.09000000000003
Avgeropoulos C,C4 F2,2,Palladio,2/12/2023,Tarmac,Cup,4,343.21
Kapralos D.  -,C3 F2,2,Palladio,2/12/2023,Tarmac,Cup,5,350.21
Karathanassis ,C5 F2,2,Palladio,2/12/2023,Tarmac,Cup,6,351.69
Nomikos Andrea,C1,2,Palladio,2/12/2023,Tarmac,Cup,7,354.22
Katsikas Ioann,3 2000,2,Palladio,2/12/2023,Tarmac,Cup,8,357.19
Margaronis A. ,C3 F2,2,Palladio,2/12/2023,Tarmac,Cup,9,357.54
Rekkas Panange,C6 F2,2,Palladio,2/12/2023,Tarmac,Cup,10,357.77
Kandiliotis V.,C3 F2,2,Palladio,2/12/2023,Tarmac,Cup,11,361.24
Tiros Nikos  -,C6 F2,2,Palladio,2/12/2023,Tarmac,Cup,12,364.29
Kondilis Panag,C5 F2,2,Palladio,2/12/2023,Tarmac,Cup,13,364.79
Papaloukas Nik,C5 F2,2,Palladio,2/12/2023,Tarmac,Cup,14,364.8
Zois Dimitris ,C5 F2,2,Palladio,2/12/2023,Tarmac,Cup,15,364.98
Benoukas Marin,C6 F2,2,Palladio,2/12/2023,Tarmac,Cup,16,365.56
Stamatakis S. ,C6 F2,2,Palladio,2/12/2023,Tarmac,Cup,17,370.23
Rekkas Viktora,C6 F2,2,Palladio,2/12/2023,Tarmac,Cup,18,370.27
Kalaitzian I. ,C4 F2,2,Palladio,2/12/2023,Tarmac,Cup,19,371.23
Gerovassilis A,4 2000,2,Palladio,2/12/2023,Tarmac,Cup,20,381.29
Melas D.  - Va,2,2,Palladio,2/12/2023,Tarmac,Cup,21,382.66
Gavriilidis Gi,4 2000+,2,Palladio,2/12/2023,Tarmac,Cup,22,383.84
Tsalamatas Ioa,4,2,Palladio,2/12/2023,Tarmac,Cup,23,385.39
Halivelakis A.,3 2000,2,Palladio,2/12/2023,Tarmac,Cup,24,387.9
Papazoglou L. ,4 2000+,2,Palladio,2/12/2023,Tarmac,Cup,25,388.93
Kouniakis K.  ,C6 F2,2,Palladio,2/12/2023,Tarmac,Cup,26,390.8
Pakkos F.  - P,C3 F2,2,Palladio,2/12/2023,Tarmac,Cup,27,423.93
Chrissafi Mari,C6 F2,2,Palladio,2/12/2023,Tarmac,Cup,28,497.0
Moschos A.  - ,C3 F2,3,Palladio,2/12/2023,Tarmac,Cup,1,237.9
Avgeropoulos C,C4 F2,3,Palladio,2/12/2023,Tarmac,Cup,2,241.94
Stafilopatis M,4 2000+,3,Palladio,2/12/2023,Tarmac,Cup,3,243.82
Koukeas Efstat,C1,3,Palladio,2/12/2023,Tarmac,Cup,4,253.01
Nomikos Andrea,C1,3,Palladio,2/12/2023,Tarmac,Cup,5,260.38
Margaronis A. ,C3 F2,3,Palladio,2/12/2023,Tarmac,Cup,6,261.17
Karathanassis ,C5 F2,3,Palladio,2/12/2023,Tarmac,Cup,7,263.0
Rekkas Viktora,C6 F2,3,Palladio,2/12/2023,Tarmac,Cup,8,263.35
Rekkas Panange,C6 F2,3,Palladio,2/12/2023,Tarmac,Cup,9,263.79
Kandiliotis V.,C3 F2,3,Palladio,2/12/2023,Tarmac,Cup,10,264.75
Tiros Nikos  -,C6 F2,3,Palladio,2/12/2023,Tarmac,Cup,11,265.14
Stamatakis S. ,C6 F2,3,Palladio,2/12/2023,Tarmac,Cup,12,266.09
Katsikas Ioann,3 2000,3,Palladio,2/12/2023,Tarmac,Cup,13,267.47
Kondilis Panag,C5 F2,3,Palladio,2/12/2023,Tarmac,Cup,14,270.1
Papaloukas Nik,C5 F2,3,Palladio,2/12/2023,Tarmac,Cup,15,270.73
Zois Dimitris ,C5 F2,3,Palladio,2/12/2023,Tarmac,Cup,16,274.71
Benoukas Marin,C6 F2,3,Palladio,2/12/2023,Tarmac,Cup,17,278.1
Kalaitzian I. ,C4 F2,3,Palladio,2/12/2023,Tarmac,Cup,18,278.8
Kapralos D.  -,C3 F2,3,Palladio,2/12/2023,Tarmac,Cup,19,280.39
Gerovassilis A,4 2000,3,Palladio,2/12/2023,Tarmac,Cup,20,283.46
Tsalamatas Ioa,4,3,Palladio,2/12/2023,Tarmac,Cup,21,286.52
Melas D.  - Va,2,3,Palladio,2/12/2023,Tarmac,Cup,22,287.26
Halivelakis A.,3 2000,3,Palladio,2/12/2023,Tarmac,Cup,23,287.85
Papazoglou L. ,4 2000+,3,Palladio,2/12/2023,Tarmac,Cup,24,292.31
Gavriilidis Gi,4 2000+,3,Palladio,2/12/2023,Tarmac,Cup,25,293.32
Kouniakis K.  ,C6 F2,3,Palladio,2/12/2023,Tarmac,Cup,26,303.66
Pakkos F.  - P,C3 F2,3,Palladio,2/12/2023,Tarmac,Cup,27,313.44
Chrissafi Mari,C6 F2,3,Palladio,2/12/2023,Tarmac,Cup,28,344.42
Koukeas Efstat,C1,4,Palladio,2/12/2023,Tarmac,Cup,1,122.62
Moschos A.  - ,C3 F2,4,Palladio,2/12/2023,Tarmac,Cup,2,123.14
Avgeropoulos C,C4 F2,4,Palladio,2/12/2023,Tarmac,Cup,3,124.62
Kapralos D.  -,C3 F2,4,Palladio,2/12/2023,Tarmac,Cup,4,128.49
Stafilopatis M,4 2000+,4,Palladio,2/12/2023,Tarmac,Cup,5,130.14
Nomikos Andrea,C1,4,Palladio,2/12/2023,Tarmac,Cup,6,131.58
Tiros Nikos  -,C6 F2,4,Palladio,2/12/2023,Tarmac,Cup,7,134.0
Karathanassis ,C5 F2,4,Palladio,2/12/2023,Tarmac,Cup,8,134.87
Rekkas Panange,C6 F2,4,Palladio,2/12/2023,Tarmac,Cup,9,134.95
Stamatakis S. ,C6 F2,4,Palladio,2/12/2023,Tarmac,Cup,10,135.21
Kandiliotis V.,C3 F2,4,Palladio,2/12/2023,Tarmac,Cup,11,135.26
Kalaitzian I. ,C4 F2,4,Palladio,2/12/2023,Tarmac,Cup,12,136.85
Katsikas Ioann,3 2000,4,Palladio,2/12/2023,Tarmac,Cup,13,137.69
Rekkas Viktora,C6 F2,4,Palladio,2/12/2023,Tarmac,Cup,14,137.74
Papaloukas Nik,C5 F2,4,Palladio,2/12/2023,Tarmac,Cup,15,140.04
Zois Dimitris ,C5 F2,4,Palladio,2/12/2023,Tarmac,Cup,16,141.07
Tsalamatas Ioa,4,4,Palladio,2/12/2023,Tarmac,Cup,17,141.12
Kondilis Panag,C5 F2,4,Palladio,2/12/2023,Tarmac,Cup,18,143.12
Melas D.  - Va,2,4,Palladio,2/12/2023,Tarmac,Cup,19,144.12
Benoukas Marin,C6 F2,4,Palladio,2/12/2023,Tarmac,Cup,20,144.56
Gerovassilis A,4 2000,4,Palladio,2/12/2023,Tarmac,Cup,21,145.84
Halivelakis A.,3 2000,4,Palladio,2/12/2023,Tarmac,Cup,22,147.15
Papazoglou L. ,4 2000+,4,Palladio,2/12/2023,Tarmac,Cup,23,147.8
Gavriilidis Gi,4 2000+,4,Palladio,2/12/2023,Tarmac,Cup,24,149.82999999999998
Margaronis A. ,C3 F2,4,Palladio,2/12/2023,Tarmac,Cup,25,161.57
Pakkos F.  - P,C3 F2,4,Palladio,2/12/2023,Tarmac,Cup,26,163.44
Chrissafi Mari,C6 F2,4,Palladio,2/12/2023,Tarmac,Cup,27,189.46
Avgeropoulos C,C4 F2,5,Palladio,2/12/2023,Tarmac,Cup,1,324.18
Stafilopatis M,4 2000+,5,Palladio,2/12/2023,Tarmac,Cup,2,328.94
Kapralos D.  -,C3 F2,5,Palladio,2/12/2023,Tarmac,Cup,3,335.89
Karathanassis ,C5 F2,5,Palladio,2/12/2023,Tarmac,Cup,4,340.9
Nomikos Andrea,C1,5,Palladio,2/12/2023,Tarmac,Cup,5,342.94
Rekkas Panange,C6 F2,5,Palladio,2/12/2023,Tarmac,Cup,6,349.74
Rekkas Viktora,C6 F2,5,Palladio,2/12/2023,Tarmac,Cup,7,352.90999999999997
Margaronis A. ,C3 F2,5,Palladio,2/12/2023,Tarmac,Cup,8,353.25
Katsikas Ioann,3 2000,5,Palladio,2/12/2023,Tarmac,Cup,9,353.40999999999997
Moschos A.  - ,C3 F2,5,Palladio,2/12/2023,Tarmac,Cup,10,353.48
Tiros Nikos  -,C6 F2,5,Palladio,2/12/2023,Tarmac,Cup,11,355.15
Benoukas Marin,C6 F2,5,Palladio,2/12/2023,Tarmac,Cup,12,355.35
Kandiliotis V.,C3 F2,5,Palladio,2/12/2023,Tarmac,Cup,13,356.97
Stamatakis S. ,C6 F2,5,Palladio,2/12/2023,Tarmac,Cup,14,357.04
Kalaitzian I. ,C4 F2,5,Palladio,2/12/2023,Tarmac,Cup,15,358.24
Kondilis Panag,C5 F2,5,Palladio,2/12/2023,Tarmac,Cup,16,364.76
Koukeas Efstat,C1,5,Palladio,2/12/2023,Tarmac,Cup,17,365.81
Papazoglou L. ,4 2000+,5,Palladio,2/12/2023,Tarmac,Cup,18,371.31
Zois Dimitris ,C5 F2,5,Palladio,2/12/2023,Tarmac,Cup,19,374.7
Tsalamatas Ioa,4,5,Palladio,2/12/2023,Tarmac,Cup,20,375.06
Gerovassilis A,4 2000,5,Palladio,2/12/2023,Tarmac,Cup,21,376.82
Halivelakis A.,3 2000,5,Palladio,2/12/2023,Tarmac,Cup,22,381.84
Gavriilidis Gi,4 2000+,5,Palladio,2/12/2023,Tarmac,Cup,23,387.15
Melas D.  - Va,2,5,Palladio,2/12/2023,Tarmac,Cup,24,391.02
Pakkos F.  - P,C3 F2,5,Palladio,2/12/2023,Tarmac,Cup,25,419.72
Chrissafi Mari,C6 F2,5,Palladio,2/12/2023,Tarmac,Cup,26,461.18
Avgeropoulos C,C4 F2,6,Palladio,2/12/2023,Tarmac,Cup,1,236.95
Nomikos Andrea,C1,6,Palladio,2/12/2023,Tarmac,Cup,2,248.56
Moschos A.  - ,C3 F2,6,Palladio,2/12/2023,Tarmac,Cup,3,249.43
Stafilopatis M,4 2000+,6,Palladio,2/12/2023,Tarmac,Cup,4,249.63
Kapralos D.  -,C3 F2,6,Palladio,2/12/2023,Tarmac,Cup,5,254.8
Karathanassis ,C5 F2,6,Palladio,2/12/2023,Tarmac,Cup,6,255.55
Rekkas Viktora,C6 F2,6,Palladio,2/12/2023,Tarmac,Cup,7,259.24
Benoukas Marin,C6 F2,6,Palladio,2/12/2023,Tarmac,Cup,8,261.02
Rekkas Panange,C6 F2,6,Palladio,2/12/2023,Tarmac,Cup,9,261.16
Margaronis A. ,C3 F2,6,Palladio,2/12/2023,Tarmac,Cup,10,262.24
Kalaitzian I. ,C4 F2,6,Palladio,2/12/2023,Tarmac,Cup,11,262.31
Kandiliotis V.,C3 F2,6,Palladio,2/12/2023,Tarmac,Cup,12,263.62
Tiros Nikos  -,C6 F2,6,Palladio,2/12/2023,Tarmac,Cup,13,263.65
Stamatakis S. ,C6 F2,6,Palladio,2/12/2023,Tarmac,Cup,14,266.23
Zois Dimitris ,C5 F2,6,Palladio,2/12/2023,Tarmac,Cup,15,269.93
Katsikas Ioann,3 2000,6,Palladio,2/12/2023,Tarmac,Cup,16,271.63
Tsalamatas Ioa,4,6,Palladio,2/12/2023,Tarmac,Cup,17,278.14
Gavriilidis Gi,4 2000+,6,Palladio,2/12/2023,Tarmac,Cup,18,285.64
Melas D.  - Va,2,6,Palladio,2/12/2023,Tarmac,Cup,19,286.58
Halivelakis A.,3 2000,6,Palladio,2/12/2023,Tarmac,Cup,20,287.62
Papazoglou L. ,4 2000+,6,Palladio,2/12/2023,Tarmac,Cup,21,290.15999999999997
Gerovassilis A,4 2000,6,Palladio,2/12/2023,Tarmac,Cup,22,292.93
Kondilis Panag,C5 F2,6,Palladio,2/12/2023,Tarmac,Cup,23,313.15
Pakkos F.  - P,C3 F2,6,Palladio,2/12/2023,Tarmac,Cup,24,313.32
Chrissafi Mari,C6 F2,6,Palladio,2/12/2023,Tarmac,Cup,25,326.58
