Crew,Gr/Cl,ss,Race,date,surface,competition,cou,time_SS_sec
Anapoliotakis ,C1,1,Potamies,30/4/2023,Tarmac,cup,1,349.77
Ktistakis Dimi,C3 F2,1,Potamies,30/4/2023,Tarmac,cup,2,357.68
Peroulakis Geo,C2,1,Potamies,30/4/2023,Tarmac,cup,3,361.75
Nikolidakis I.,C5 F2,1,Potamies,30/4/2023,Tarmac,cup,4,365.32
Damianakis Gia,C4 F2,1,Potamies,30/4/2023,Tarmac,cup,5,367.46
Frantzeskakis ,C3 F2,1,Potamies,30/4/2023,Tarmac,cup,6,372.06
Titakis Titos ,C3 F2,1,Potamies,30/4/2023,Tarmac,cup,7,374.02
Kafetzakis I. ,C5 F2,1,Potamies,30/4/2023,Tarmac,cup,8,378.09
Gobakis Lefter,C3 F2,1,Potamies,30/4/2023,Tarmac,cup,9,381.99
Perakis A.  - ,C4 F2,1,Potamies,30/4/2023,Tarmac,cup,10,384.01
Polias Mihalis,C5 F2,1,Potamies,30/4/2023,Tarmac,cup,11,385.95
Ioannidis Gior,C5 F2,1,Potamies,30/4/2023,Tarmac,cup,12,391.63
Maragakis Andr,C6 F2,1,Potamies,30/4/2023,Tarmac,cup,13,394.96
Partheniadis E,C6 F2,1,Potamies,30/4/2023,Tarmac,cup,14,403.54
Poulakis Mihal,C6 F2,1,Potamies,30/4/2023,Tarmac,cup,15,406.42
Kapsalakis D. ,C3 F2,1,Potamies,30/4/2023,Tarmac,cup,16,450.47
Stivaktakis Ar,C6 F2,1,Potamies,30/4/2023,Tarmac,cup,17,465.13
Anapoliotakis ,C1,2,Potamies,30/4/2023,Tarmac,cup,1,344.07
Ktistakis Dimi,C3 F2,2,Potamies,30/4/2023,Tarmac,cup,2,350.67
Peroulakis Geo,C2,2,Potamies,30/4/2023,Tarmac,cup,3,353.39
Nikolidakis I.,C5 F2,2,Potamies,30/4/2023,Tarmac,cup,4,360.32
Frantzeskakis ,C3 F2,2,Potamies,30/4/2023,Tarmac,cup,5,360.4
Titakis Titos ,C3 F2,2,Potamies,30/4/2023,Tarmac,cup,6,363.94
Damianakis Gia,C4 F2,2,Potamies,30/4/2023,Tarmac,cup,7,367.22
Kafetzakis I. ,C5 F2,2,Potamies,30/4/2023,Tarmac,cup,8,372.12
Gobakis Lefter,C3 F2,2,Potamies,30/4/2023,Tarmac,cup,9,374.96
Polias Mihalis,C5 F2,2,Potamies,30/4/2023,Tarmac,cup,10,381.38
Ioannidis Gior,C5 F2,2,Potamies,30/4/2023,Tarmac,cup,11,385.77
Perakis A.  - ,C4 F2,2,Potamies,30/4/2023,Tarmac,cup,12,386.0
Poulakis Mihal,C6 F2,2,Potamies,30/4/2023,Tarmac,cup,13,400.51
Maragakis Andr,C6 F2,2,Potamies,30/4/2023,Tarmac,cup,14,401.89
Partheniadis E,C6 F2,2,Potamies,30/4/2023,Tarmac,cup,15,407.07
Kapsalakis D. ,C3 F2,2,Potamies,30/4/2023,Tarmac,cup,16,438.76
Stivaktakis Ar,C6 F2,2,Potamies,30/4/2023,Tarmac,cup,17,447.05
Anapoliotakis ,C1,3,Potamies,30/4/2023,Tarmac,cup,1,341.78
Peroulakis Geo,C2,3,Potamies,30/4/2023,Tarmac,cup,2,348.01
Ktistakis Dimi,C3 F2,3,Potamies,30/4/2023,Tarmac,cup,3,351.0
Frantzeskakis ,C3 F2,3,Potamies,30/4/2023,Tarmac,cup,4,357.85
Titakis Titos ,C3 F2,3,Potamies,30/4/2023,Tarmac,cup,5,364.7
Gobakis Lefter,C3 F2,3,Potamies,30/4/2023,Tarmac,cup,6,372.24
Damianakis Gia,C4 F2,3,Potamies,30/4/2023,Tarmac,cup,7,377.03
Polias Mihalis,C5 F2,3,Potamies,30/4/2023,Tarmac,cup,8,378.9
Ioannidis Gior,C5 F2,3,Potamies,30/4/2023,Tarmac,cup,9,383.53
Partheniadis E,C6 F2,3,Potamies,30/4/2023,Tarmac,cup,10,399.13
Maragakis Andr,C6 F2,3,Potamies,30/4/2023,Tarmac,cup,11,400.31
Poulakis Mihal,C6 F2,3,Potamies,30/4/2023,Tarmac,cup,12,403.56
Kapsalakis D. ,C3 F2,3,Potamies,30/4/2023,Tarmac,cup,13,440.99
Kafetzakis I. ,C5 F2,3,Potamies,30/4/2023,Tarmac,cup,14,454.73
Stivaktakis Ar,C6 F2,3,Potamies,30/4/2023,Tarmac,cup,15,478.25
