,,,Pos.,Pos.,Pos.,Pos.,Pos.
ss,,,1,2,3,4,5
Crew,Gr/Cl,Race,,,,,
Amaxopoulos D.,2 -1600,Stereas,28,29,36,-,-
Amoutzas Giorg,C3 F2,Stereas,16,12,11,-,-
Andrikopoulos ,C5 F2,Stereas,54,48,44,27,24
Antonopoulos P,3 2000,Stereas,53,51,43,-,-
Argiriou Kosta,C4 F2,Stereas,32,-,-,-,-
Athanasoulas A,3 -1600,Stereas,41,34,34,-,-
Chatzigakis Gi,C3 F2,Stereas,24,21,19,20,15
Chatzimarkos P,C3 F2,Stereas,11,7,8,5,9
Christodoulou ,4 2000,Stereas,25,18,17,-,-
Davaris Nikos ,C2,Stereas,20,23,14,13,13
Delaportas Gio,C5 F2,Stereas,42,19,16,26,22
Dimopoulos Ant,C4 F2,Stereas,9,10,12,14,10
Dodos Giorgos ,4 -1600,Stereas,43,43,46,-,-
Georgakopoulos,4 -1600,Stereas,46,40,35,-,-
Giokaris S.  -,C6 F2,Stereas,45,35,32,28,26
Giotis Ioannis,C4 F2,Stereas,19,16,24,10,16
Halivelakis A.,3 2000,Stereas,18,15,22,-,-
Halkias Efthim,C3 F2,Stereas,35,25,31,24,27
J.J.  - Stefan,C1,Stereas,21,9,7,7,7
Kafantaris Eli,C2,Stereas,15,-,-,-,-
Kalaitzian I. ,4 -1600,Stereas,40,44,-,-,-
Kalamaras Teo ,C3 F2,Stereas,34,41,26,21,20
Kansos P.  - G,4 2000,Stereas,55,50,42,-,-
Karanikolas E.,C5 F2,Stereas,10,-,-,-,-
Kassidopoulos ,4 -1600,Stereas,51,46,37,-,-
Kehagias Giorg,C1,Stereas,3,2,2,25,2
Kirkos Panagio,C2,Stereas,4,5,5,4,4
Kofinas Konsta,4 -1600,Stereas,38,42,38,-,-
Kotsopoulos An,4 2000,Stereas,50,49,41,-,-
Lefkaditis Sav,C3 F2,Stereas,8,8,9,6,-
Manouskos Elia,C6 F2,Stereas,27,32,20,17,14
Manoussaridis ,C3 F2,Stereas,49,47,-,-,-
Melas D.  - Va,2,Stereas,30,26,30,-,-
Milonas K.  - ,C4 F2,Stereas,22,20,15,11,12
Nicolaou Phivo,C2,Stereas,13,11,18,8,8
Nomikos Mihali,4 -1600,Stereas,31,39,-,-,-
Panagiotopoulo,C6 F2,Stereas,47,28,25,16,17
Panteli Petros,C1,Stereas,5,3,6,3,6
Pantieras Stam,C6 F2,Stereas,23,-,-,-,-
Papadimitriou ,4 2000,Stereas,39,22,33,-,-
Papadimitriou ,C1,Stereas,2,1,3,2,3
Paradissis Gio,3 2000,Stereas,36,24,-,-,-
Polykarpou Pan,C3 F2,Stereas,7,6,-,-,-
Rigas Giorgos ,C3 F2,Stereas,26,30,21,15,21
Serderidis Jou,C1,Stereas,6,4,4,12,5
Sotiropoulos N,C6 F2,Stereas,37,33,45,-,-
Stamatopoulos ,C2,Stereas,12,14,13,-,-
Stavropoulos D,C6 F2,Stereas,33,31,28,18,19
Tsalamatas Ioa,3 2000,Stereas,29,36,29,-,-
Tsouloftas Ale,C1,Stereas,1,27,1,1,1
Vassilakis Geo,C1,Stereas,14,17,23,19,25
Vassilopoulos ,2 2000,Stereas,52,45,40,-,-
Yfantis V.  - ,C3 F2,Stereas,48,38,27,23,18
Yiangou Y.  - ,C2,Stereas,44,37,39,22,23
Zygogiannis K.,C2,Stereas,17,13,10,9,11
